"date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"2020/03/20",0,NA,0,0,0,0,0,0.00539564613389271,NA,NA
"2020/03/21",0,NA,0,0,0,0,0,0.00539792639942089,NA,NA
"2020/03/22",0,NA,0,0,0,0,0,0.00540020762861695,NA,NA
"2020/03/23",0,NA,0,0,0,0,0,0.00540248982188816,NA,NA
"2020/03/24",0,NA,0,0,0,0,0,0.00540477297964192,NA,NA
"2020/03/25",0,NA,0,0,0,0,0,0.00540705710228587,NA,NA
"2020/03/26",0,NA,0,0,0,0,0,0.00540934219022775,NA,NA
"2020/03/27",0,NA,0,0,0,0,0,0.00541162824387554,NA,NA
"2020/03/28",0,NA,0,0,0,0,0,0.00541391526363732,NA,NA
"2020/03/29",0,NA,0,0,0,0,0,0.00541620324992141,NA,NA
"2020/03/30",0,NA,0,0,0,0,0,0.00541849220313628,NA,NA
"2020/03/31",0,NA,0,0,0,0,0,0.00542078212369054,NA,NA
"2020/04/01",0,NA,0,0,0,0,0,0.00542307301199301,NA,NA
"2020/04/02",0,NA,0,0,0,0,0,0.00542536486845269,NA,NA
"2020/04/03",0,NA,0,0,0,0,0,0.00542765769347871,NA,NA
"2020/04/04",0,NA,0,0,0,0,0,0.00542995148748041,NA,NA
"2020/04/05",0,NA,0,0,0,0,0,0.00543224625086729,NA,NA
"2020/04/06",0,NA,0,0,0,0,0,0.00543454198404901,NA,NA
"2020/04/07",0,NA,0,0,0,0,0,0.00543683868743544,NA,NA
"2020/04/08",0,NA,0,0,0,0,0,0.00543913636143659,NA,NA
"2020/04/09",0,NA,0,0,0,0,0,0.00544143500646265,NA,NA
"2020/04/10",0,NA,0,0,0,0,0,0.00544373462292399,NA,NA
"2020/04/11",0,NA,0,0,0,0,0,0.00544603521123115,NA,NA
"2020/04/12",0,NA,0,0,0,0,0,0.00544833677179485,NA,NA
"2020/04/13",0,NA,0,0,0,0,0,0.00545063930502597,NA,NA
"2020/04/14",0,NA,0,0,0,0,0,0.00545294281133557,NA,NA
"2020/04/15",0,NA,0,0,0,0,0,0.00545524729113489,NA,NA
"2020/04/16",0,NA,0,0,0,0,0,0.00545755274483534,NA,NA
"2020/04/17",0,NA,0,0,0,0,0,0.00545985917284849,NA,NA
"2020/04/18",0,NA,0,0,0,0,0,0.00546216657558611,NA,NA
"2020/04/19",0,NA,0,0,0,0,0,0.00546447495346013,NA,NA
"2020/04/20",0,NA,0,0,0,0,0,0.00546678430688264,NA,NA
"2020/04/21",0,NA,0,0,0,0,0,0.00546909463626594,NA,NA
