"date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"2020/03/15",0,NA,0,0,0,0,0,0.0459664760064242,NA,NA
"2020/03/16",0,NA,0,0,0,0,0,0.0459667146491044,NA,NA
"2020/03/17",0,NA,0,0,0,0,0,0.0459669532930235,NA,NA
"2020/03/18",0,NA,0,0,0,0,0,0.0459671919381816,NA,NA
"2020/03/19",0,NA,0,0,0,0,0,0.0459674305845787,NA,NA
"2020/03/20",0,NA,0,0,0,0,0,0.0459676692322147,NA,NA
"2020/03/21",0,NA,0,0,0,0,0,0.0459679078810897,NA,NA
"2020/03/22",0.0168969192701338,0.0171271554767485,0,0,0,0,0,0.0459681465312037,0.0288409910544552,0.0630953020079522
"2020/03/23",0.0179155725195151,0.0165155900083248,0,0,0,0,0,0.0459683851342969,0.0294527951259721,0.0624839751426217
"2020/03/24",0.0202685890109165,0.0127248531797049,0,0,0,0,0,0.0459686236361033,0.0332437704563984,0.0586934768158081
"2020/03/25",0.0312666456756785,0.00704170293601558,0,0,0,0,0,0.0459688620276133,0.0389271590915977,0.0530105649636288
"2020/03/26",0.0320685095137624,0.0102711422221472,0,0,0,0,0,0.0459691002998173,0.0356979580776701,0.0562402425219644
"2020/03/27",0.0377178771659288,0.0114519698715998,0,0,0,0,0,0.0459693384437053,0.0345173685721056,0.0574213083153051
"2020/03/28",0.0446107509723668,0.0132563034437013,0,0,0,0,0,0.0459695764502674,0.032713273006566,0.0592258798939687
"2020/03/29",0.0505082464212966,0.0177602807389941,0,0,0,0,0,0.0459698143104932,0.0282095335714991,0.0637300950494874
"2020/03/30",0.0368955496459393,0.0112994851245305,0,0,0,0,0,0.0459700520153724,0.0346705668908419,0.0572695371399029
"2020/03/31",0.0314687799066555,0.0121371595991784,0,0,0,0,0,0.0459702895558943,0.0338331299567159,0.0581074491550727
"2020/04/01",0.0443402896770584,0.0139966012180866,0,0,0,0,0,0.0459705269230481,0.0319739257049615,0.0599671281411347
"2020/04/02",0.0459920646855302,0.0170354532699238,0,0,0,0,0,0.0459707641078227,0.0289353108378989,0.0630062173777466
"2020/04/03",0.0438736790227044,0.0147594085316889,0,0,0,0,0,0.0459710011012071,0.0312115925695182,0.060730409632896
"2020/04/04",0.0417883431305899,0.015423989592306,0,0,0,0,0,0.0459712378941899,0.0305472483018839,0.0613952274864959
"2020/04/05",0.0418948674225052,0.0149802507908218,0,0,0,0,0,0.0459714744777595,0.0309912236869378,0.0609517252685813
"2020/04/06",0.0370425068014677,0.0192632619134163,0,0,0,0,0,0.0459717108429042,0.0267084489294879,0.0652349727563205
"2020/04/07",0.0384420448869581,0.0161582587261316,0,0,0,0,0,0.0459719469806122,0.0298136882544806,0.0621302057067437
"2020/04/08",0.0389991415004639,0.0151674728350637,0,0,0,0,0,0.0459721828818712,0.0308047100468075,0.0611396557169348
"2020/04/09",0.0637789480787871,0.0158098331896719,0,0,0,0,0,0.0459724185376691,0.0301625853479972,0.061782251727341
"2020/04/10",0.0615175749085588,0.0142246074287559,0,0,0,0,0,0.0459726539389933,0.0317480465102375,0.0601972613677492
"2020/04/11",0.0606333053536086,0.0132577644130549,0,0,0,0,0,0.0459728890768314,0.0327151246637765,0.0592306534898863
"2020/04/12",0.0476556348132535,0.0139667476499254,0,0,0,0,0,0.0459731239421704,0.032006376292245,0.0599398715920957
"2020/04/13",0.0444626394780946,0.0140367484220998,0,0,0,0,0,0.0459733585259973,0.0319366101038976,0.0600101069480971
"2020/04/14",0.0423180177988615,0.0136327307818635,0,0,0,0,0,0.045973592819299,0.0323408620374355,0.0596063236011626
"2020/04/15",0.0431605264647919,0.0129088639211936,0,0,0,0,0,0.0459738268130623,0.0330649628918687,0.0588826907342559
