"date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"2020/03/22",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/03/23",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/03/24",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/03/25",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/03/26",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/03/27",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/03/28",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/03/29",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/03/30",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/03/31",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/01",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/02",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/03",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/04",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/05",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/06",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/07",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/08",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/09",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/10",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/11",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/12",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/13",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/14",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/15",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/16",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/17",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/18",0,NA,0,0,0,0,0,2.22044604925031e-16,NA,NA
"2020/04/19",0,NA,0,0,0,0,0,5.2498182930105e-16,NA,NA
"2020/04/20",0,NA,0,0,0,0,0,2.3693098341293e-15,NA,NA
"2020/04/21",0,NA,0,0,0,0,0,1.06929969320571e-14,NA,NA
"2020/04/22",0,NA,0,0,0,0,0,4.8258856542079e-14,NA,NA
"2020/04/23",0,NA,0,0,0,0,0,2.17798363690443e-13,NA,NA
"2020/04/24",0,NA,0,0,0,0,0,9.82951744512895e-13,NA,NA
"2020/04/25",0,NA,0,0,0,0,0,4.43618636829706e-12,NA,NA
"2020/04/26",0,NA,0,0,0,0,0,2.00210738768432e-11,NA,NA
"2020/04/27",0,NA,0,0,0,0,0,9.03576554056922e-11,NA,NA
"2020/04/28",0,NA,0,0,0,0,0,4.07795602805157e-10,NA,NA
"2020/04/29",0,NA,0,0,0,0,0,1.84043347429247e-09,NA,NA
"2020/04/30",0,NA,0,0,0,0,0,8.30611058578445e-09,NA,NA
"2020/05/01",0,NA,0,0,0,0,0,3.74865345729508e-08,NA,NA
"2020/05/02",0,NA,0,0,0,0,0,1.69181503156728e-07,NA,NA
"2020/05/03",0,NA,0,0,0,0,0,7.6353766322863e-07,NA,NA
"2020/05/04",0,NA,0,0,0,0,0,3.44594268457682e-06,NA,NA
"2020/05/05",0,NA,0,0,0,0,0,1.55519780585243e-05,NA,NA
"2020/05/06",0.000516764687167452,0,0,0.000516764687167452,0,0,0,7.01880569910063e-05,7.01880569910063e-05,7.01880569910063e-05
"2020/05/07",0.000516764687167452,0,0,0.000516764687167452,0,0,0,0.000279790807176695,0.000279790807176695,0.000279790807176695
"2020/05/08",0.00309715161750369,0.00218613648306934,0,0.00309715161750369,0,0,0,0.000882967287235749,-0.00130316919583359,0.00306910377030509
"2020/05/09",0.00309715161750369,0.00218613648306934,0,0.00309715161750369,0,0,0,0.00225491542497612,6.87789419067789e-05,0.00444105190804546
"2020/05/10",0.0068422975541222,0.00130155290062429,0,0.0068422975541222,0,0,0,0.00476347501301703,0.00346192211239274,0.00606502791364132
"2020/05/11",0.0068422975541222,0.00130155290062429,0,0.0068422975541222,0,0,0,0.00850861817854928,0.00720706527792499,0.00981017107917357
"2020/05/12",0.0068422975541222,0.00130155290062429,0,0.0068422975541222,0,0,0,0.0131361835558701,0.0118346306552459,0.0144377364564944
"2020/05/13",0.0162882251556096,0.00117257704226367,0,0.0162882251556096,0,0,0,0.0179179338992425,0.0167453568569788,0.0190905109415061
"2020/05/14",0.0162882251556096,0.00117257704226367,0,0.0162882251556096,0,0,0,0.0220723574144171,0.0208997803721534,0.0232449344566807
"2020/05/15",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0251006574806039,-0.0386484914515337,0.0888498064127415
"2020/05/16",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0269358436100486,-0.036813305322089,0.0906849925421862
"2020/05/17",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0278816642233728,-0.0358674847087648,0.0916308131555104
"2020/05/18",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0284467621522538,-0.0353023867798838,0.0921959110843914
"2020/05/19",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.028949818340431,-0.0347993305917066,0.0926989672725686
"2020/05/20",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0294204949846804,-0.0343286539474572,0.093169643916818
"2020/05/21",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0298739803954549,-0.0338751685366827,0.0936231293275925
"2020/05/22",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.030326552663007,-0.0334225962691306,0.0940757015951446
"2020/05/23",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0307955304248776,-0.03295361850726,0.0945446793570152
"2020/05/24",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0312993180764525,-0.0324498308556851,0.0950484670085901
"2020/05/25",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0318575562468385,-0.0318915926852991,0.0956067051789761
"2020/05/26",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0324913899703604,-0.0312577589617772,0.096240538902498
"2020/05/27",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0332238704822675,-0.0305252784498701,0.0969730194144051
"2020/05/28",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0340805123169125,-0.0296686366152251,0.0978296612490501
"2020/05/29",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0350900359037594,-0.0286591130283782,0.098839184835897
"2020/05/30",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0362789044013781,-0.0274702445307595,0.100028053333516
"2020/05/31",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0376439153339123,-0.0261052335982253,0.10139306426605
"2020/06/01",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0391704106315965,-0.0245787383005411,0.102919559563734
"2020/06/02",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0408410178334921,-0.0229081310986455,0.10459016676563
"2020/06/03",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0426346272465122,-0.0211145216856254,0.10638377617865
"2020/06/04",0.0320314378247553,0.0637491489321376,0,0.0320314378247553,0,0,0,0.0445254429832955,-0.0192237059488421,0.108274591915433
"2020/06/05",0.0283119054819493,0.0586782870608084,0,0.0283119054819493,0,0,0,0.0464821574494221,-0.0121961296113863,0.105160444510231
"2020/06/06",0.0529209579526115,0.0400739699069072,0,0.0483585392868823,0,0,0,0.0484673126642264,0.00839334275731922,0.0885412825711336
"2020/06/07",0.0527038101916577,0.0376531147673757,0,0.0483344117578874,0,0,0,0.0504369274665472,0.0127838126991715,0.0880900422339229
"2020/06/08",0.0674679001895881,0.0394783252197442,0,0.0601456837562317,0,0,0,0.0523404807812831,0.0128621555615389,0.0918188060010273
"2020/06/09",0.0756079660344401,0.0327408282410608,0,0.069252605526475,0,0,0,0.0541213450131006,0.0213805167720398,0.0868621732541614
"2020/06/10",0.076356652811577,0.0309869583481112,0,0.0713165799583733,0,0,0,0.0557183718803816,0.0247314135322704,0.0867053302284928
"2020/06/11",0.076356652811577,0.0309869583481112,0,0.0713165799583733,0,0,0,0.0570948337179052,0.026107875369794,0.0880817920660164
"2020/06/12",0.076356652811577,0.0309869583481112,0,0.0713165799583733,0,0,0,0.0582539647686609,0.0272670064205497,0.0892409231167721
"2020/06/13",0.076356652811577,0.0309869583481112,0,0.0713165799583733,0,0,0,0.0592062304282543,0.0282192720801431,0.0901931887763655
"2020/06/14",0.076356652811577,0.0309869583481112,0,0.0713165799583733,0,0,0,0.0599660639633162,0.028979105615205,0.0909530223114274
"2020/06/15",0.0774863254303906,0.0326992709469356,0,0.0724846395108359,0,0,0,0.0605512134640945,0.0278519425171589,0.0932504844110301
"2020/06/16",0.0774863254303906,0.0322021948193717,0,0.0724846395108359,0,0,0,0.0609820889841746,0.0287798941648029,0.0931842838035463
"2020/06/17",0.0774863254303906,0.0322021948193717,0,0.0724846395108359,0,0,0,0.0612811416151578,0.0290789467957861,0.0934833364345295
"2020/06/18",0.0718940455846105,0.0297913030786601,0,0.0674398517175865,0,0,0,0.0614723003345754,0.0316809972559153,0.0912636034132355
"2020/06/19",0.0653631055958898,0.0285859646826301,0,0.0608747183257835,0.00400062816062997,0.000571518308661424,0,0.0615804864257924,0.0329945217431623,0.0901664511084225
"2020/06/20",0.0653631055958898,0.0285859646826301,0,0.0608747183257835,0.00400062816062997,0.000571518308661424,0,0.0616312195870764,0.0330452549044463,0.0902171842697065
"2020/06/21",0.0653631055958898,0.0285859646826301,0,0.0608747183257835,0.00400062816062997,0.000571518308661424,0,0.0616503248967569,0.0330643602141268,0.090236289579387
"2020/06/22",0.0642254673617957,0.0280112846539185,0,0.0598245907250812,0.00380372923549829,0.00054338989078547,0,0.0616612105863691,0.0336499259324506,0.0896724952402876
"2020/06/23",0.0642254673617957,0.0280112846539185,0,0.0598245907250812,0.00380372923549829,0.00054338989078547,0,0.0616706978361047,0.0336594131821862,0.0896819824900232
"2020/06/24",0.0631199981604903,0.0272460445625093,0,0.0588955261835586,0.00380372923549829,0.00054338989078547,0,0.0616789184047978,0.0344328738422885,0.0889249629673071
"2020/06/25",0.0631199981604903,0.0272460445625093,0,0.0588955261835586,0.00380372923549829,0.00054338989078547,0,0.0616859858167146,0.0344399412542053,0.0889320303792239
"2020/06/26",0.0631199981604903,0.0272460445625093,0,0.0588955261835586,0.00380372923549829,0.00054338989078547,0,0.0616920137175314,0.0344459691550221,0.0889380582800407
"2020/06/27",0.0631199981604903,0.0272460445625093,0,0.0588955261835586,0.00380372923549829,0.00054338989078547,0,0.0616971158541033,0.034451071291594,0.0889431604166126
"2020/06/28",0.0631199981604903,0.0272460445625093,0,0.0588955261835586,0.00380372923549829,0.00054338989078547,0,0.0617014060563182,0.0344553614938089,0.0889474506188275
"2020/06/29",0.0631199981604903,0.0272460445625093,0,0.0588955261835586,0.00380372923549829,0.00054338989078547,0,0.0617049982210554,0.0344589536585461,0.0889510427835647
