"date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"2020/03/23",0,NA,0,0,0,0,0,0.0410126723518706,NA,NA
"2020/03/24",0,NA,0,0,0,0,0,0.0410141326557185,NA,NA
"2020/03/25",0,NA,0,0,0,0,0,0.0410155930115623,NA,NA
"2020/03/26",0,NA,0,0,0,0,0,0.0410170534194037,NA,NA
"2020/03/27",0,NA,0,0,0,0,0,0.0410185138792446,NA,NA
"2020/03/28",0,NA,0,0,0,0,0,0.0410199743910869,NA,NA
"2020/03/29",0,NA,0,0,0,0,0,0.0410214349549324,NA,NA
"2020/03/30",0,NA,0,0,0,0,0,0.041022895570783,NA,NA
"2020/03/31",0,NA,0,0,0,0,0,0.0410243562386405,NA,NA
"2020/04/01",0,NA,0,0,0,0,0,0.0410258169585067,NA,NA
"2020/04/02",0,NA,0,0,0,0,0,0.0410272777303837,NA,NA
"2020/04/03",0,NA,0,0,0,0,0,0.0410287385542731,NA,NA
"2020/04/04",0,NA,0,0,0,0,0,0.0410301994301768,NA,NA
"2020/04/05",0,NA,0,0,0,0,0,0.0410316603580967,NA,NA
"2020/04/06",0,NA,0,0,0,0,0,0.0410331213380346,NA,NA
"2020/04/07",0,NA,0,0,0,0,0,0.0410345823699925,NA,NA
"2020/04/08",0,NA,0,0,0,0,0,0.041036043453972,NA,NA
"2020/04/09",0,0,0,0,0,0,0,0.0410375045899752,0.0410375045899752,0.0410375045899752
"2020/04/10",0,0,0,0,0,0,0,0.0410389657780038,0.0410389657780038,0.0410389657780038
"2020/04/11",0,0,0,0,0,0,0,0.0410404270180597,0.0410404270180597,0.0410404270180597
"2020/04/12",0,0,0,0,0,0,0,0.0410418883101448,0.0410418883101448,0.0410418883101448
"2020/04/13",0,0,0,0,0,0,0,0.0410433496542608,0.0410433496542608,0.0410433496542608
"2020/04/14",0,0,0,0,0,0,0,0.0410448110504097,0.0410448110504097,0.0410448110504097
"2020/04/15",0,0,0,0,0,0,0,0.0410462724985933,0.0410462724985933,0.0410462724985933
"2020/04/16",0,0,0,0,0,0,0,0.0410477339988135,0.0410477339988135,0.0410477339988135
"2020/04/17",0,0,0,0,0,0,0,0.0410491955510721,0.0410491955510721,0.0410491955510721
"2020/04/18",0,0,0,0,0,0,0,0.041050657155371,0.041050657155371,0.041050657155371
