"date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"2020/04/08",0,NA,0,0,0,0,0,0.00375972591122312,NA,NA
"2020/04/09",0,NA,0,0,0,0,0,0.00378286895702246,NA,NA
"2020/04/10",0,NA,0,0,0,0,0,0.00380615446016616,NA,NA
"2020/04/11",0,NA,0,0,0,0,0,0.00382958329755243,NA,NA
"2020/04/12",0,NA,0,0,0,0,0,0.0038531563514772,NA,NA
"2020/04/13",0,NA,0,0,0,0,0,0.00387687450966741,NA,NA
"2020/04/14",0,NA,0,0,0,0,0,0.00390073866531442,NA,NA
"2020/04/15",0,NA,0,0,0,0,0,0.00392474971710761,NA,NA
"2020/04/16",0,NA,0,0,0,0,0,0.0039489085692683,NA,NA
"2020/04/17",0,NA,0,0,0,0,0,0.00397321613158372,NA,NA
"2020/04/18",0,NA,0,0,0,0,0,0.00399767331944133,NA,NA
"2020/04/19",0,NA,0,0,0,0,0,0.00402228105386325,NA,NA
"2020/04/20",0,NA,0,0,0,0,0,0.00404704026154099,NA,NA
"2020/04/21",0,NA,0,0,0,0,0,0.00407195187487031,NA,NA
"2020/04/22",0,NA,0,0,0,0,0,0.00409701683198633,NA,NA
"2020/04/23",0,NA,0,0,0,0,0,0.0041222360767989,NA,NA
"2020/04/24",0,NA,0,0,0,0,0,0.00414761055902811,NA,NA
"2020/04/25",0,NA,0,0,0,0,0,0.00417314123424006,NA,NA
"2020/04/26",0,NA,0,0,0,0,0,0.00419882906388286,NA,NA
"2020/04/27",0,NA,0,0,0,0,0,0.00422467501532281,NA,NA
"2020/04/28",0,NA,0,0,0,0,0,0.00425068006188088,NA,NA
"2020/04/29",0,NA,0,0,0,0,0,0.00427684518286929,NA,NA
"2020/04/30",0,NA,0,0,0,0,0,0.00430317136362846,NA,NA
"2020/05/01",0,NA,0,0,0,0,0,0.00432965959556408,NA,NA
"2020/05/02",0,NA,0,0,0,0,0,0.00435631087618445,NA,NA
"2020/05/03",0,NA,0,0,0,0,0,0.00438312620913804,NA,NA
"2020/05/04",0,NA,0,0,0,0,0,0.00441010660425129,NA,NA
"2020/05/05",0,NA,0,0,0,0,0,0.00443725307756666,NA,NA
"2020/05/06",0,NA,0,0,0,0,0,0.00446456665138087,NA,NA
"2020/05/07",0,NA,0,0,0,0,0,0.00449204835428337,NA,NA
"2020/05/08",0.00487206796476968,0,0,0.00487206796476968,0,0,0,0.00451969922119515,0.00451969922119515,0.00451969922119515
"2020/05/09",0.00487206796476968,0,0,0.00487206796476968,0,0,0,0.00454753316949472,0.00454753316949472,0.00454753316949472
"2020/05/10",0.00487206796476968,0,0,0.00487206796476968,0,0,0,0.00457556195979228,0.00457556195979228,0.00457556195979228
"2020/05/11",0.00487206796476968,0,0,0.00487206796476968,0,0,0,0.00460378333734438,0.00460378333734438,0.00460378333734438
"2020/05/12",0.00487206796476968,0,0,0.00487206796476968,0,0,0,0.00463219496718254,0.00463219496718254,0.00463219496718254
"2020/05/13",0.00487206796476968,0,0,0.00487206796476968,0,0,0,0.00466079443264523,0.00466079443264523,0.00466079443264523
"2020/05/14",0.00487206796476968,0,0,0.00487206796476968,0,0,0,0.00468957923391862,0.00468957923391862,0.00468957923391862
"2020/05/15",0.00487206796476968,0,0,0.00487206796476968,0,0,0,0.00471854678658745,0.00471854678658745,0.00471854678658745
"2020/05/16",0.00487206796476968,0,0,0.00487206796476968,0,0,0,0.00474769442019669,0.00474769442019669,0.00474769442019669
"2020/05/17",0.00487206796476968,0,0,0.00487206796476968,0,0,0,0.00477701937682544,0.00477701937682544,0.00477701937682544
"2020/05/18",0.00487206796476968,0,0,0.00487206796476968,0,0,0,0.00480651880967402,0.00480651880967402,0.00480651880967402
