"date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"2020/03/22",0.00209103031407467,0.00261033158003114,0,0,0,0,0,0.00661561008848782,0.00400527850845668,0.00922594166851896
"2020/03/23",0.00203892414424521,0.0027408404177063,0,0,0,0,0,0.00676496196060773,0.00402412154290144,0.00950580237831403
"2020/03/24",0.00207214210002695,0.00246981369806902,0,0,0,0,0,0.00691278113599039,0.00444296743792137,0.00938259483405941
"2020/03/25",0.00207087689349615,0.00234814789997887,0,0,0,0,0,0.00705891631346266,0.00471076841348379,0.00940706421344152
"2020/03/26",0.00207087689349615,0.00234814789997887,0,0,0,0,0,0.00720322242730361,0.00485507452732474,0.00955137032728247
"2020/03/27",0.00207087689349615,0.00234814789997887,0,0,0,0,0,0.00734556104129224,0.00499741314131337,0.00969370894127111
"2020/03/28",0.00367440775483875,0.00289376494974458,0,0,0,0,0,0.00748580070903547,0.00459203575929089,0.0103795656587801
"2020/03/29",0.00618274908724262,0.00277267235726806,0,0,0,0,0,0.00762381729978461,0.00485114494251655,0.0103964896570527
"2020/03/30",0.00594059102263264,0.00266053436565474,0,0,0,0,0,0.00775949428919249,0.00509895992353775,0.0104200286548472
"2020/03/31",0.00677328107157397,0.00276503135936955,0,0,0,0,0,0.00789272301470237,0.00512769165533281,0.0106577543740719
"2020/04/01",0.0067882322401463,0.00274930325831222,0,0,0,0,0,0.00802340289549128,0.00527409963717906,0.0107727061538035
"2020/04/02",0.00674352759924855,0.00269274906836156,0,0,0,0,0,0.00815144161711396,0.0054586925487524,0.0108441906854755
"2020/04/03",0.00674352759924855,0.00269274906836156,0,0,0,0,0,0.00827675528120599,0.00558400621284443,0.0109695043495676
"2020/04/04",0.00674352759924855,0.00269274906836156,0,0,0,0,0,0.00839926852080708,0.00570651945244551,0.0110920175891686
"2020/04/05",0.00694500766315217,0.00237666287068206,0,0,0,0,0,0.00851891458205447,0.00614225171137241,0.0108955774527365
"2020/04/06",0.00694191910336547,0.00236983207271691,0,0,0,0,0,0.00863563537317293,0.00626580330045602,0.0110054674458898
"2020/04/07",0.00719654724832007,0.00218660569670475,0,0,0,0,0,0.00874938148184911,0.00656277578514436,0.0109359871785539
"2020/04/08",0.00681598669925805,0.0030513380779004,0,0,0,0,0,0.00886011216222711,0.00580877408432671,0.0119114502401275
"2020/04/09",0.0132073660861283,0.00315736604300167,0,0,0,0,0,0.00896779529289286,0.00581042924989119,0.0121251613358945
"2020/04/10",0.0130200167098663,0.00259280854514516,0,0,0,0,0,0.00907240730733447,0.00647959876218931,0.0116652158524796
"2020/04/11",0.0131086160546473,0.00268222542232524,0,0,0,0,0,0.00917393309846613,0.00649170767614089,0.0118561585207914
"2020/04/12",0.013154107942911,0.00467626491491073,0,0,0,0,0,0.00927236589889173,0.004596100983981,0.0139486308138025
"2020/04/13",0.0128348867035737,0.00458693174480351,0,0,0,0,0,0.0093677071386556,0.00478077539385208,0.0139546388834591
"2020/04/14",0.0127790317613896,0.00443052273688709,0,0,0,0,0,0.00945996628228602,0.00502944354539893,0.0138904890191731
"2020/04/15",0.0134446417376902,0.00439072513992298,0,0,0,0,0,0.00954916064698001,0.00515843550705704,0.013939885786903
"2020/04/16",0.0133633499278656,0.00433538809933304,0,0,0,0,0,0.00963531520380808,0.00529992710447504,0.0139707033031411
"2020/04/17",0.013275744101522,0.00429470557800648,0,0,0,0,0,0.00971846236383422,0.00542375678582774,0.0140131679418407
"2020/04/18",0.0132474541723179,0.00427961194033844,0,0,0,0,0,0.00979864175105109,0.00551902981071265,0.0140782536913895
"2020/04/19",0.013206452462958,0.00423676212465123,0,0,0,0,0,0.00987589996402308,0.00563913783937185,0.0141126620886743
"2020/04/20",0.013206452462958,0.00423676212465123,0,0,0,0,0,0.00995029032811257,0.00571352820346134,0.0141870524527638
"2020/04/21",0.0131977684403596,0.00421709292283229,0,0,0,0,0,0.010021872640137,0.00580477971730471,0.0142389655629693
"2020/04/22",0.0131977684403596,0.00421709292283229,0,0,0,0,0,0.0100907129072684,0.00587361998443609,0.0143078058301007
"2020/04/23",0.0133207348833334,0.00421578248452369,0,0,0,0,0,0.010156883081942,0.00594110059741834,0.0143726655664657
"2020/04/24",0.0132208913642232,0.00419667644101752,0,0,0,0,0,0.0102204588756213,0.00602378243460378,0.0144171353166388
"2020/04/25",0.0131309562419037,0.00418421292732742,0,0,0,0,0,0.0102814916157158,0.00609727868838836,0.0144657045430432
"2020/04/26",0.0131035953875968,0.00417641976625651,0,0,0,0,0,0.0103400135696517,0.00616359380339517,0.0145164333359082
"2020/04/27",0.0130577104503321,0.00416747241284647,0,0,0,0,0,0.0103960600932525,0.00622858768040604,0.014563532506099
"2020/04/28",0.0130517001388327,0.00416122973000575,0,0,0,0,0,0.0104496701139928,0.00628844038398709,0.0146108998439986
"2020/04/29",0.0129651308519294,0.00414908653000306,0,0,0,0,0,0.0105008859919423,0.00635179946193928,0.0146499725219454
"2020/04/30",0.0125184265615807,0.00385276211868375,0,0,0,0,0,0.0105497533786846,0.00669699126000086,0.0144025154973684
"2020/05/01",0.0124924896097678,0.00382739505690345,0,0,0,0,0,0.0105963210748198,0.00676892601791639,0.0144237161317233
"2020/05/02",0.0124924896097678,0.00381698176363106,0,0,0,0,0,0.0106406408866417,0.00682365912301068,0.0144576226502728
"2020/05/03",0.0124924896097678,0.00381698176363106,0,0,0,0,0,0.01068276748256,0.00686578571892896,0.0144997492461911
"2020/05/04",0.0124924896097678,0.00381698176363106,0,0,0,0,0,0.0107227582498185,0.00690577648618748,0.0145397400134496
