"date","p_cases_infected","p_cases_infected_error","p_fatalities","p_recovered","p_cases_recent","p_cases_daily","p_cases_active","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high"
"2020/04/11",0,NA,0,0,0,0,0,0.0181089622086169,NA,NA
"2020/04/12",0,NA,0,0,0,0,0,0.018119340837105,NA,NA
"2020/04/13",0,NA,0,0,0,0,0,0.0181297254138042,NA,NA
"2020/04/14",0,NA,0,0,0,0,0,0.0181401159421235,NA,NA
"2020/04/15",0,NA,0,0,0,0,0,0.0181505124254739,NA,NA
"2020/04/16",0,NA,0,0,0,0,0,0.0181609148672683,NA,NA
"2020/04/17",0,NA,0,0,0,0,0,0.0181713232709217,NA,NA
"2020/04/18",0,NA,0,0,0,0,0,0.018181737639851,NA,NA
"2020/04/19",0,NA,0,0,0,0,0,0.0181921579774749,NA,NA
"2020/04/20",0,NA,0,0,0,0,0,0.0182025842872142,NA,NA
"2020/04/21",0,NA,0,0,0,0,0,0.0182130165724918,NA,NA
"2020/04/22",0,NA,0,0,0,0,0,0.0182234548367322,NA,NA
"2020/04/23",0,NA,0,0,0,0,0,0.0182338990833623,NA,NA
"2020/04/24",0,NA,0,0,0,0,0,0.0182443493158105,NA,NA
"2020/04/25",0,NA,0,0,0,0,0,0.0182548055375075,NA,NA
"2020/04/26",0,NA,0,0,0,0,0,0.0182652677518859,NA,NA
"2020/04/27",0,NA,0,0,0,0,0,0.0182757359623802,NA,NA
"2020/04/28",0,NA,0,0,0,0,0,0.0182862101724269,NA,NA
"2020/04/29",0,NA,0,0,0,0,0,0.0182966903854644,NA,NA
"2020/04/30",0,NA,0,0,0,0,0,0.0183071766049333,NA,NA
"2020/05/01",0,NA,0,0,0,0,0,0.0183176688342759,NA,NA
"2020/05/02",0,NA,0,0,0,0,0,0.0183281670769365,NA,NA
"2020/05/03",0,NA,0,0,0,0,0,0.0183386713363617,NA,NA
"2020/05/04",0,NA,0,0,0,0,0,0.0183491816159997,NA,NA
"2020/05/05",0,NA,0,0,0,0,0,0.0183596979193007,NA,NA
"2020/05/06",0,NA,0,0,0,0,0,0.0183702202497172,NA,NA
"2020/05/07",0,NA,0,0,0,0,0,0.0183807486107033,NA,NA
"2020/05/08",0,NA,0,0,0,0,0,0.0183912830057154,NA,NA
"2020/05/09",0,NA,0,0,0,0,0,0.0184018234382116,NA,NA
"2020/05/10",0,NA,0,0,0,0,0,0.0184123699116522,NA,NA
"2020/05/11",0,NA,0,0,0,0,0,0.0184229224294993,NA,NA
"2020/05/12",0,NA,0,0,0,0,0,0.0184334809952171,NA,NA
"2020/05/13",0,NA,0,0,0,0,0,0.0184440456122718,NA,NA
"2020/05/14",0,NA,0,0,0,0,0,0.0184546162841315,NA,NA
"2020/05/15",0,NA,0,0,0,0,0,0.0184651930142664,NA,NA
"2020/05/16",0,NA,0,0,0,0,0,0.0184757758061486,NA,NA
"2020/05/17",0,NA,0,0,0,0,0,0.0184863646632523,NA,NA
"2020/05/18",0,NA,0,0,0,0,0,0.0184969595890534,NA,NA
"2020/05/19",0,NA,0,0,0,0,0,0.0185075605870301,NA,NA
"2020/05/20",0,NA,0,0,0,0,0,0.0185181676606626,NA,NA
"2020/05/21",0,NA,0,0,0,0,0,0.0185287808134328,NA,NA
"2020/05/22",0,NA,0,0,0,0,0,0.018539400048825,NA,NA
"2020/05/23",0,NA,0,0,0,0,0,0.018550025370325,NA,NA
"2020/05/24",0,NA,0,0,0,0,0,0.0185606567814212,NA,NA
"2020/05/25",0,NA,0,0,0,0,0,0.0185712942856034,NA,NA
"2020/05/26",0,NA,0,0,0,0,0,0.0185819378863638,NA,NA
"2020/05/27",0,NA,0,0,0,0,0,0.0185925875871965,NA,NA
"2020/05/28",0,NA,0,0,0,0,0,0.0186032433915975,NA,NA
"2020/05/29",0,NA,0,0,0,0,0,0.0186139053030649,NA,NA
"2020/05/30",0,NA,0,0,0,0,0,0.0186245733250988,NA,NA
"2020/05/31",0,NA,0,0,0,0,0,0.0186352474612014,NA,NA
"2020/06/01",0,NA,0,0,0,0,0,0.0186459277148767,NA,NA
"2020/06/02",0,NA,0,0,0,0,0,0.0186566140896308,NA,NA
"2020/06/03",0,NA,0,0,0,0,0,0.0186673065889718,NA,NA
"2020/06/04",0,NA,0,0,0,0,0,0.0186780052164099,NA,NA
"2020/06/05",0,NA,0,0,0,0,0,0.0186887099754572,NA,NA
"2020/06/06",0,NA,0,0,0,0,0,0.0186994208696279,NA,NA
"2020/06/07",0,NA,0,0,0,0,0,0.0187101379024382,NA,NA
"2020/06/08",0,NA,0,0,0,0,0,0.0187208610774061,NA,NA
"2020/06/09",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.018731590398052,0.018731590398052,0.018731590398052
"2020/06/10",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.0187423258669083,0.0187423258669083,0.0187423258669083
"2020/06/11",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.0187530674850423,0.0187530674850423,0.0187530674850423
"2020/06/12",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.0187638152537748,0.0187638152537748,0.0187638152537748
"2020/06/13",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.018774569174424,0.018774569174424,0.018774569174424
"2020/06/14",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.0187853292483049,0.0187853292483049,0.0187853292483049
"2020/06/15",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.0187960954767295,0.0187960954767295,0.0187960954767295
"2020/06/16",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.0188068678610068,0.0188068678610068,0.0188068678610068
"2020/06/17",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.0188176464024425,0.0188176464024425,0.0188176464024425
"2020/06/18",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.0188284311023397,0.0188284311023397,0.0188284311023397
"2020/06/19",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.0188392219619979,0.0188392219619979,0.0188392219619979
"2020/06/20",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.018850018982714,0.018850018982714,0.018850018982714
"2020/06/21",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.0188608221657815,0.0188608221657815,0.0188608221657815
"2020/06/22",0.0186733513698772,0,0,0.00536619557523731,0,0,0,0.0188716315124911,0.0188716315124911,0.0188716315124911
"2020/06/23",0.0183947211867402,0.00361653022145955,0,0.00843112758974355,0,0,0,0.0188824470207242,0.0152659167992647,0.0224989772421838
"2020/06/24",0.0183947211867402,0.00361653022145955,0,0.00843112758974355,0,0,0,0.0188932686735691,0.0152767384521095,0.0225097988950286
"2020/06/25",0.0183947211867402,0.00361653022145955,0,0.00843112758974355,0,0,0,0.0189040964500589,0.0152875662285994,0.0225206266715185
"2020/06/26",0.0183947211867402,0.00361653022145955,0,0.00843112758974355,0,0,0,0.018914930329173,0.0152984001077135,0.0225314605506326
"2020/06/27",0.0167565678686421,0.0175476479233662,0,0.00837828393432103,0,0,0,0.0189257702898365,0.00137812236647029,0.0364734182132027
"2020/06/28",0.0167565678686421,0.0175476479233662,0,0.00837828393432103,0,0,0,0.0189366163109202,0.00138896838755397,0.0364842642342864
"2020/06/29",0.0167565678686421,0.0175476479233662,0,0.00837828393432103,0,0,0,0.0189474683712406,0.00139982044787443,0.0364951162946068
"2020/06/30",0.0159584931752096,0.0153412742793504,0,0.0083525395893716,0,0,0,0.01895832644956,0.00361705217020965,0.0342996007289104
"2020/07/01",0.0159584931752096,0.0153412742793504,0,0.0083525395893716,0,0,0,0.0189691905245862,0.00362791624523577,0.0343104648039366
"2020/07/02",0.0159584931752096,0.0153412742793504,0,0.0083525395893716,0,0,0,0.0189800605749722,0.00363878629562184,0.0343213348543226
"2020/07/03",0.0159584931752096,0.0153412742793504,0,0.0083525395893716,0,0,0,0.0189909365793168,0.00364966229996643,0.0343322108586672
"2020/07/04",0.0160803847676233,0.0120260499047991,0,0.00893152465333641,0,0,0,0.0190018185161639,0.00697576861136475,0.031027868420963
"2020/07/05",0.0160803847676233,0.0120260499047991,0,0.00893152465333641,0,0,0,0.0190127063640025,0.00698665645920339,0.0310387562688016
"2020/07/06",0.0160803847676233,0.0120260499047991,0,0.00893152465333641,0,0,0,0.0190236000936649,0.00699755018886576,0.031049649998464
"2020/07/07",0.0160803847676233,0.0120260499047991,0,0.00893152465333641,0,0,0,0.0190344996401182,0.00700844973531907,0.0310605495449173
"2020/07/08",0.0166544631785036,0.0117350231350796,0,0.00931424359392332,0,0,0,0.0190454049276509,0.00731038179257128,0.0307804280627305
"2020/07/09",0.0166544631785036,0.0117350231350796,0,0.00931424359392332,0,0,0,0.0190563158803713,0.00732129274529166,0.0307913390154509
"2020/07/10",0.0166544631785036,0.0117350231350796,0,0.00931424359392332,0,0,0,0.0190672324222085,0.00733220928712894,0.0308022555572881
"2020/07/11",0.0170621420499984,0.0109381947319897,0,0.00958602950825315,0,0,0,0.0190781544769127,0.00813995974492301,0.0300163492089024
"2020/07/12",0.0170621420499984,0.0109381947319897,0,0.00958602950825315,0,0,0,0.0190890819680543,0.00815088723606461,0.030027276700044
"2020/07/13",0.0170621420499984,0.0109381947319897,0,0.00958602950825315,0,0,0,0.0191000148190241,0.00816182008703441,0.0300382095510138
