"","date","p_w_country","p_m_country"
"1","2020/03/22",NA,NA
"2","2020/03/23",NA,NA
"3","2020/03/24",0.00415795521421051,0.00510237359032515
"4","2020/03/25",0.0016161772022306,0.0016161772022306
"5","2020/03/28",0.00596887247457658,0.00761390552505389
"6","2020/03/29",0.00682653193108215,0.00927872658876184
"7","2020/03/30",0.0047708171427452,0.00646228491544948
"8","2020/03/31",0.00850341213336919,0.0102199449817936
"9","2020/04/01",0.00903800409965772,0.0107545369480821
"10","2020/04/02",0.00816360246259127,0.00855437109247188
"11","2020/04/05",0.00489775309957644,0.00496232844555903
"12","2020/04/06",0.00491026339924758,0.00495856648324833
"13","2020/04/07",0.00726544675914984,0.00711281665740256
"14","2020/04/08",0.00543359977855554,0.00922530380569652
"15","2020/04/09",0.00553834546283326,0.00743917866046882
"16","2020/04/10",0.00471277169313432,0.00604466778696622
"17","2020/04/11",0.0072817528483088,0.00638143245453504
"18","2020/04/12",0.0115821772658174,0.00935128162762162
"19","2020/04/13",0.0119232714726162,0.0090806052076051
"20","2020/04/14",0.0100543855710532,0.00862479274661027
"21","2020/04/15",0.0138482292443617,0.0132074666493197
"22","2020/04/16",0.0128585331731021,0.0100621697044827
"23","2020/04/17",0.0114751691115896,0.00869944891638236
"24","2020/04/18",0.0114520726729674,0.00868957481631597
"25","2020/04/19",0.0113446813956794,0.00838755706210252
"26","2020/04/21",0.011330717856832,0.00898288210885665
"27","2020/04/23",0.0121150478611197,0.00976721211314434
"28","2020/04/24",0.0108288354398811,0.00906504028811275
"29","2020/04/25",0.00794666654576867,0.00755693672504302
"30","2020/04/26",0.0073194952535787,0.00683495419238181
"31","2020/04/27",0.00576498431469339,0.00524288051228784
"32","2020/04/28",0.00576498431469339,0.00524288051228784
"33","2020/04/29",0.00576498431469339,0.00524288051228784
"34","2020/04/30",0.00884138354971923,0.00852215019207084
"35","2020/05/01",0.00885900112270149,0.00851543420550634
"36","2020/05/02",0.00885272595392949,0.00850924046938654
"37","2020/05/06",0.00870323537741093,0.00815212625204218
"38","2020/05/07",0.00774576569588894,0.00741935031541331
"39","2020/05/08",0.00773481365392048,0.00740850620981202
"40","2020/05/10",0.0077570017454287,0.00743047562958774
"41","2020/05/11",0.00779049360562943,0.00757754465145885
"42","2020/05/12",0.00786111238100632,0.00764910187601947
"43","2020/05/13",0.00644086005922814,0.0062238153927012
"44","2020/05/14",0.00825994204832018,0.00945423016242245
"45","2020/05/15",0.00825698480098902,0.00945514533428628
"46","2020/05/18",0.0086131965876492,0.00956252301526079
"47","2020/05/21",NA,NA
"48","2020/05/25",NA,NA
"49","2020/05/26",NA,NA
"50","2020/06/01",NA,NA
"51","2020/06/02",NA,NA
"52","2020/06/04",NA,NA
"53","2020/06/05",NA,NA
"54","2020/06/06",NA,NA
"55","2020/06/08",NA,NA
"56","2020/06/09",NA,NA
"57","2020/06/12",NA,NA
"58","2020/06/13",NA,NA
"59","2020/06/15",NA,NA
"60","2020/06/16",NA,NA
"61","2020/06/18",NA,NA
"62","2020/06/19",NA,NA
"63","2020/06/22",NA,NA
"64","2020/06/23",NA,NA
"65","2020/06/26",NA,NA
"66","2020/06/28",NA,NA
"67","2020/07/02",NA,NA
"68","2020/07/03",NA,NA
"69","2020/07/04",NA,NA
"70","2020/07/05",NA,NA
"71","2020/07/06",NA,NA
"72","2020/07/07",NA,NA
"73","2020/07/09",NA,NA
"74","2020/07/11",NA,NA
"75","2020/07/12",NA,NA
"76","2020/07/13",NA,NA
"77","2020/07/15",NA,NA
"78","2020/07/20",NA,NA
"79","2020/07/24",NA,NA
"80","2020/07/28",NA,NA
"81","2020/07/29",NA,NA
"82","2020/07/30",NA,NA
"83","2020/08/01",NA,NA
"84","2020/08/03",NA,NA
"85","2020/08/10",NA,NA
"86","2020/08/13",NA,NA
"87","2020/09/08",NA,NA
"88","2020/09/09",NA,NA
"89","2020/09/13",NA,NA
"90","2020/09/16",NA,NA
"91","2020/09/18",NA,NA
"92","2020/09/27",NA,NA
"93","2020/10/02",NA,NA
"94","2020/10/05",NA,NA
"95","2020/10/12",NA,NA
"96","2020/10/13",NA,NA
"97","2020/10/14",NA,NA
"98","2020/10/16",NA,NA
"99","2020/10/18",NA,NA
"100","2020/10/22",NA,NA
"101","2020/10/27",NA,NA
"102","2020/10/29",NA,NA
"103","2020/10/30",NA,NA
"104","2020/11/02",NA,NA
"105","2020/11/09",NA,NA
"106","2020/11/27",NA,NA
"107","2020/11/30",NA,NA
"108","2021/01/04",NA,NA
"109","2021/01/08",NA,NA
"110","2021/01/14",NA,NA
"111","2021/01/17",NA,NA
"112","2021/01/22",NA,NA
"113","2021/01/23",NA,NA
"114","2021/01/24",NA,NA
"115","2021/01/25",NA,NA
"116","2021/01/26",NA,NA
"117","2021/02/01",NA,NA
"118","2021/02/02",NA,NA
"119","2021/02/03",NA,NA
"120","2021/02/04",NA,NA
"121","2021/02/05",NA,NA
"122","2021/02/06",NA,NA
"123","2021/02/07",NA,NA
"124","2021/02/08",NA,NA
