"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"GR",2021-04-13,10785860,0.03,0,0.005,200,1,0.030062352149345,1894,0.00435918719253327,0.00500169724597403,1894,0.0300563968342213,0.00394283693536677,0.00394283693536677,"GRA",606170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR",2021-04-13,10785860,0.03,0,0.005,200,1,0.030062352149345,1894,0.00435918719253327,0.00500169724597403,1894,0.0300563968342213,0.00394283693536677,0.00394283693536677,"GRB",1874590,0,0,0,0,0,0,20,2,0,0,0,0,0,0
"GR",2021-04-13,10785860,0.03,0,0.005,200,1,0.030062352149345,1894,0.00435918719253327,0.00500169724597403,1894,0.0300563968342213,0.00394283693536677,0.00394283693536677,"GRC",282120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR",2021-04-13,10785860,0.03,0,0.005,200,1,0.030062352149345,1894,0.00435918719253327,0.00500169724597403,1894,0.0300563968342213,0.00394283693536677,0.00394283693536677,"GRD",336650,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR",2021-04-13,10785860,0.03,0,0.005,200,1,0.030062352149345,1894,0.00435918719253327,0.00500169724597403,1894,0.0300563968342213,0.00394283693536677,0.00394283693536677,"GRE",730730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR",2021-04-13,10785860,0.03,0,0.005,200,1,0.030062352149345,1894,0.00435918719253327,0.00500169724597403,1894,0.0300563968342213,0.00394283693536677,0.00394283693536677,"GRF",206470,0.0625,0.0633333333333333,0.025,0.0333333333333333,0.025,0.0333333333333333,80,2,0.0625,0.0633333333333333,0.025,0.0333333333333333,0.025,0.0333333333333333
"GR",2021-04-13,10785860,0.03,0,0.005,200,1,0.030062352149345,1894,0.00435918719253327,0.00500169724597403,1894,0.0300563968342213,0.00394283693536677,0.00394283693536677,"GRG",680190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR",2021-04-13,10785860,0.03,0,0.005,200,1,0.030062352149345,1894,0.00435918719253327,0.00500169724597403,1894,0.0300563968342213,0.00394283693536677,0.00394283693536677,"GRH",546870,0,0,0,0,NA,NA,100,1,0,0,0,0,NA,NA
"GR",2021-04-13,10785860,0.03,0,0.005,200,1,0.030062352149345,1894,0.00435918719253327,0.00500169724597403,1894,0.0300563968342213,0.00394283693536677,0.00394283693536677,"GRI",3812330,0.0647109577221743,0.0735382395382395,0.0103537532355479,0.0153015873015873,0.0120793787748059,0.0156349206349206,1159,30,0.0647109577221743,0.0735382395382395,0.0103537532355479,0.0153015873015873,0.0120793787748059,0.0156349206349206
"GR",2021-04-13,10785860,0.03,0,0.005,200,1,0.030062352149345,1894,0.00435918719253327,0.00500169724597403,1894,0.0300563968342213,0.00394283693536677,0.00394283693536677,"GRJ",581980,0.03,0.04,0,0,0,0,200,3,0.03,0.04,0,0,0,0
"GR",2021-04-13,10785860,0.03,0,0.005,200,1,0.030062352149345,1894,0.00435918719253327,0.00500169724597403,1894,0.0300563968342213,0.00394283693536677,0.00394283693536677,"GRK",197810,0.0774193548387097,0.0927272727272727,0,0,0,0,155,2,0.0774193548387097,0.0927272727272727,0,0,0,0
"GR",2021-04-13,10785860,0.03,0,0.005,200,1,0.030062352149345,1894,0.00435918719253327,0.00500169724597403,1894,0.0300563968342213,0.00394283693536677,0.00394283693536677,"GRL",308610,0.05,0.05,0,0,0,0,80,1,0.05,0.05,0,0,0,0
"GR",2021-04-13,10785860,0.03,0,0.005,200,1,0.030062352149345,1894,0.00435918719253327,0.00500169724597403,1894,0.0300563968342213,0.00394283693536677,0.00394283693536677,"GRM",621340,0,0,0,0,0,0,200,1,0,0,0,0,0,0
