"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT01",714200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT02",152758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT03",848185,0.0181818181818182,0.0475,0,0,0,0,550,6,0.0181818181818182,0.0475,0,0,0,0
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT04",136252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT05",196264,0.02,0.02,NA,NA,NA,NA,150,1,0.02,0.02,NA,NA,NA,NA
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT06",430104,0.0260869565217391,0.0277777777777778,NA,NA,NA,NA,230,3,0.0260869565217391,0.0277777777777778,NA,NA,NA,NA
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT07",166706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT08",451006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT09",160939,0.05,0.05,NA,NA,NA,NA,100,1,0.05,0.05,NA,NA,NA,NA
"PT",2020-07-21,10561097,0.0411111111111111,NA,NA,900,8,0.0202827293841536,2651,0.00210177455084256,0.00313970703464918,2651,0.0255616771606283,0.00156908035321983,0.00156908035321983,"PT10",470930,0.08,0.08,0,0,0.02,0.02,50,1,0.08,0.08,0,0,0.02,0.02
