"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_active_smooth","p_cases_active_smooth_low","p_cases_active_smooth_high"
"1",2020-03-20,0.0079884611117275,0,0,0,0.00709049647316921,0.0060886710310302,0.00809232191530822,1.82993807615164e-09,-5.80695335223488e-08,6.17294096746521e-08,3.21950851277214e-07,-7.9013997988745e-06,8.54530150142893e-06
"2",2020-03-21,0.00672268907563025,0,0,0,0.00709057914019017,0.00608879473841437,0.00809236354196598,1.95536338291417e-09,-6.1767085209667e-08,6.56778119754954e-08,3.37261673385287e-07,-8.23912674747431e-06,8.91365009424488e-06
"3",2020-03-22,0.00613496932515337,0,0,0,0.00709066180915317,0.00608891770488573,0.00809240591342061,2.08938543280232e-09,-6.56987018097273e-08,6.9877472675332e-08,3.53300623009393e-07,-8.591105961563e-06,9.29770720758179e-06
"4",2020-03-23,0.00482218203737191,0,0,0,0.00709074448087214,0.00608903993660598,0.0080924490251383,2.23259345293682e-09,-6.98790988090296e-08,7.43442857149032e-08,3.70102327269869e-07,-8.95792920721044e-06,9.69813386175018e-06
"5",2020-03-24,0.00628053035589672,0,0,0,0.00709082715616104,0.00608916143960966,0.00809249287271242,2.38561705650023e-09,-7.43239093170546e-08,7.90951434300551e-08,3.87703060028094e-07,-9.34021230194595e-06,1.01156184220021e-05
"6",2020-03-25,0.00579374275782155,0,0,0,0.00709090983583389,0.00608928221986906,0.00809253745179872,2.54912901082752e-09,-7.90497407245e-08,8.4147998746155e-08,4.06140820199547e-07,-9.73859606401598e-06,1.05508777044151e-05
"7",2020-03-26,0.00579374275782155,0,0,0,0.00709099252070471,0.00608940228335377,0.00809258275805565,2.72384819522346e-09,-8.4074234817468e-08,8.95219312079149e-08,4.25455413791189e-07,-1.01537472975339e-05,1.10046581251163e-05
"8",2020-03-27,0.01468788249694,0,0,0,0.00709107521158759,0.00608952163608508,0.0080926287870901,2.91054276151116e-09,-8.9416131555193e-08,9.52372170782153e-08,4.45688539840187e-07,-1.05863598147874e-05,1.14777368944677e-05
"9",2020-03-28,0.0068649885583524,0,0,0,0.00709115790929663,0.00608964028418499,0.00809267553440828,3.11003351120675e-09,-9.50953367310905e-08,1.01315403753504e-07,4.66883880439626e-07,-1.10371554970111e-05,1.19709232578903e-05
"10",2020-03-29,0.00477099236641221,0,0,0,0.00709124061464601,0.00608975823392001,0.00809272299537201,3.3231975041683e-09,-1.01132993749859e-07,1.07779388758195e-07,4.89087195045504e-07,-1.15068853949705e-05,1.24850597850616e-05
"11",2020-03-30,0.00235294117647059,0,0,0,0.00709132332844991,0.00608987549173965,0.00809277116516018,3.55097191458406e-09,-1.07551559766993e-07,1.14653503596161e-07,5.12346419268614e-07,-1.19963308707444e-05,1.30210237092817e-05
"12",2020-03-31,0.0062111801242236,0,0,0,0.00709140605152256,0.00608999206430957,0.00809282003873554,3.79435815125306e-09,-1.14374886451533e-07,1.21963602754039e-07,5.36711768364633e-07,-1.25063047821349e-05,1.35797283188642e-05
