"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_active_smooth","p_cases_active_smooth_low","p_cases_active_smooth_high"
"1",2020-04-01,0,0,0,0,0.0215523844859237,0.0205285660758326,0.0225762028960149,3.21323955146863e-07,-2.17547728547587e-07,8.60195638841313e-07,3.10952161669062e-10,-4.67200144727155e-10,1.08910446806528e-09
"2",2020-04-02,0,0,0,0,0.0215572722879038,0.0205432057752567,0.0225713388005509,3.44304661801708e-07,-2.29233305176625e-07,9.17842628780042e-07,3.50456546905519e-10,-5.2064701041429e-10,1.22156010422533e-09
"3",2020-04-03,0,0,0,0,0.0215621611983741,0.0205576673318492,0.022566655064899,3.68928921232176e-07,-2.4147762097365e-07,9.79335463438001e-07,3.94979699159177e-10,-5.80133406716465e-10,1.37009280503482e-09
"4",2020-04-04,0,0,0,0,0.0215670512175861,0.0205719451903139,0.0225621572448583,3.95314278375715e-07,-2.54300826168558e-07,1.04492938291999e-06,4.45159219096946e-10,-6.46331266306847e-10,1.53664970450074e-09
"5",2020-04-05,0,0,0,0,0.0215719423457911,0.020586033685276,0.0225578510063062,4.23586684843734e-07,-2.67723095365685e-07,1.11489646505315e-06,5.01713710271323e-10,-7.19985773117402e-10,1.72341319366005e-09
"6",2020-04-06,0.0105882352941176,0,0,0,0.0215768345832408,0.0205999270468786,0.022553742119603,4.5388110015691e-07,-2.81764527967997e-07,1.18952672828182e-06,5.65453069993371e-10,-8.01923129538551e-10,1.93282926952529e-09
"7",2020-04-07,0.0105882352941176,0,0,0,0.0215817216000367,0.0206135807507162,0.0225498624493572,4.86342135980141e-07,-2.96445034234029e-07,1.26912930619431e-06,6.37290087592012e-10,-8.93059114889395e-10,2.16763929007342e-09
"8",2020-04-08,0.0105882352941176,0,0,0,0.0215865969885739,0.0206269544344264,0.0225462395427215,5.21124746432391e-07,-3.11784205421847e-07,1.35403369828663e-06,7.18253516154398e-10,-9.94408510848027e-10,2.43091554315682e-09
"9",2020-04-09,0.0136842105263158,0,0,0,0.0215914606324846,0.0206400485287857,0.0225428727361835,5.5839496776671e-07,-3.27801166326806e-07,1.44459110186023e-06,8.09502804943083e-10,-1.10709547599174e-09,2.72610108587791e-09
"10",2020-04-10,0.0136842105263158,0,0,0,0.0215963124153225,0.0206528635280069,0.0225397613026382,5.98330710951259e-07,-3.44514408358965e-07,1.54117583026148e-06,9.12344703467973e-10,-1.23236495847797e-09,3.05705436541392e-09
"11",2020-04-11,0.0136842105263158,0,0,0,0.021601152220564,0.020665400015325,0.0225369044258029,6.41122610934784e-07,-3.61941601130952e-07,1.64418682300052e-06,1.0282519749942e-09,-1.37159524319959e-09,3.42809919318799e-09
"12",2020-04-12,0.0161904761904762,0,0,0,0.0216059799316079,0.0206776586881706,0.0225343011750453,6.86974936650573e-07,-3.80099380336347e-07,1.75404925363749e-06,1.15888448747549e-09,-1.52631173746973e-09,3.84408071242072e-09
"13",2020-04-13,0.0182608695652174,0,0,0,0.0216107954317768,0.0206896403827508,0.0225319504808029,7.36106566102789e-07,-3.99003109491023e-07,1.8712162416966e-06,1.30611298394922e-09,-1.69820210742063e-09,4.31042807531906e-09
"14",2020-04-14,0.02,0,0,0,0.0216155986043174,0.020701346097852,0.0225298511107828,7.88752031189829e-07,-4.1866661288394e-07,1.9961706752636e-06,1.47204587280042e-09,-1.88913288581523e-09,4.83322463141606e-09
"15",2020-04-15,0.0224489795918367,0,0,0,0.021620389332401,0.0207127770176733,0.0225280016471287,8.45162637252181e-07,-4.39101876838053e-07,2.12942715134241e-06,1.65905942154922e-09,-2.10116768083856e-09,5.41928652393701e-09
"16",2020-04-16,0.0224489795918367,0,0,0,0.0216251674991245,0.0207239345334992,0.0225264004647498,9.05607662689045e-07,-4.60318716114545e-07,2.27153404149263e-06,1.86983178655633e-09,-2.33658712460871e-09,6.07625069772136e-09
"17",2020-04-17,0.0224489795918367,0,0,0,0.0216299329875109,0.0207348202640209,0.0225250457110008,9.70375644370104e-07,-4.82324402002716e-07,2.42307569074292e-06,2.10738136597401e-09,-2.59791070955915e-09,6.81267344150717e-09
"18",2020-04-18,0.0224489795918367,0,0,0,0.0216346856805097,0.0207454360741167,0.0225239352869028,1.03977575497835e-06,-5.05123248321583e-07,2.58467475827829e-06,2.37511002518227e-09,-2.88792067041001e-09,7.63814072077456e-09
"19",2020-04-19,0.0224489795918367,0,0,0,0.0216394254609982,0.0207557840919103,0.022523066830086,1.11413927885896e-06,-5.2871615121549e-07,2.75699470893342e-06,2.6768518137267e-09,-3.20968807904913e-09,8.56339170650252e-09
"20",2020-04-20,0.0265432098765432,0,0,0,0.0216441522117813,0.0207658667239317,0.0225224376996309,1.19382119341898e-06,-5.53100078252193e-07,2.94074246509015e-06,3.01692787141598e-09,-3.5666013291426e-09,9.60045707197457e-09
"21",2020-04-21,0.0265432098765432,0,0,0,0.0216488658155929,0.0207756866682185,0.0225220449629673,1.27920186362689e-06,-5.78267501925946e-07,3.13667122917973e-06,3.40020830987092e-09,-3.96239719650688e-09,1.07628138162487e-08
"22",2020-04-22,0.0265432098765432,0,0,0,0.0216535661550965,0.0207852469252083,0.0225218853849846,1.37068885770084e-06,-6.04205772226837e-07,3.34558348762852e-06,3.83218195570878e-09,-4.40119466997288e-09,1.20655585813904e-08
"23",2020-04-23,0.0265432098765432,0,0,0,0.0216582531128853,0.0207945508062871,0.0225219554194835,1.46871889265261e-06,-6.30896422458337e-07,3.56833420776355e-06,4.31903495413124e-09,-4.88753175537905e-09,1.35256016636415e-08
"24",2020-04-24,0.0265432098765432,0,0,0,0.0216629265714836,0.0208036019398806,0.0225222512030867,1.57375991897463e-06,-6.58314401964662e-07,3.80583423991391e-06,4.86773935857055e-09,-5.4264054621032e-09,1.51618841792443e-08
"25",2020-04-25,0.0265432098765432,0,0,0,0.0216675864133472,0.0208124042749916,0.0225227685517029,1.68631335442135e-06,-6.86427228864193e-07,4.05905393770689e-06,5.4861529750557e-09,-6.02331518676595e-09,1.69956211368773e-08
"26",2020-04-26,0.0265432098765432,0,0,0,0.0216722325208641,0.0208209620821102,0.022523502959618,1.80691647754795e-06,-7.15194055271754e-07,4.32902701036765e-06,6.18313189113545e-09,-6.6843097119095e-09,1.90505734941804e-08
"27",2020-04-27,0.0265432098765432,0,0,0,0.0216768647763551,0.020829279951445,0.0225244496012652,1.9361449924321e-06,-7.44564636826393e-07,4.61685462169059e-06,6.96865730084527e-09,-7.41603803796681e-09,2.13533526396574e-08
