"","date","p_cases_infected","p_cases_recent","p_cases_active","p_cases_daily","p_cases_infected_smooth","p_cases_infected_smooth_low","p_cases_infected_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_active_smooth","p_cases_active_smooth_low","p_cases_active_smooth_high"
"1",2020-04-16,0,0,0,0,0.015328951930586,0.0150695642691807,0.0155883395919912,178088365471149408,-2014758817917588736,2370935548859887616,178088365471149408,-2014758817917588736,2370935548859887616
"2",2020-04-17,0,0,0,0,0.0153417449021641,0.015083385088123,0.0156001047162051,141934179185008816,-1597168419459635968,1881036777829653760,141934179185008816,-1597168419459635968,1881036777829653760
"3",2020-04-18,0,0,0,0,0.0153545485502791,0.0150972177430607,0.0156118793574975,113119749106638320,-1266093743555026432,1492333241768303104,113119749106638320,-1266093743555026432,1492333241768303104
"4",2020-04-19,0,0,0,0,0.0153673628838414,0.0151110622327563,0.0156236635349264,90155012072743072,-1003617846071886720,1183927870217372928,90155012072743072,-1003617846071886720,1183927870217372928
"5",2020-04-20,0,0,0,0,0.0153801879117685,0.0151249185557403,0.0156354572677967,71852406551660928,-795532843780167552,939237656883489408,71852406551660928,-795532843780167552,939237656883489408
"6",2020-04-21,0,0,0,0,0.0153930236429856,0.0151387867103051,0.0156472605756661,57265460994033456,-630572374752673920,745103296740740736,57265460994033456,-630572374752673920,745103296740740736
"7",2020-04-22,0,0,0,0,0.0154058700864253,0.0151526666944995,0.0156590734783511,45639849522645744,-499802830841720640,591082529887012096,45639849522645744,-499802830841720640,591082529887012096
"8",2020-04-23,0,0,0,0,0.0154187272510275,0.0151665585061226,0.0156708959959325,36374383935671712,-396140534731861248,468889302603204736,36374383935671712,-396140534731861248,468889302603204736
"9",2020-04-24,0,0,0,0,0.0154315951457399,0.0151804621427181,0.0156827281487616,28989924825294180,-313968811647952960,371948661298541376,28989924825294180,-313968811647952960,371948661298541376
"10",2020-04-25,0,0,0,0,0.0154444737795172,0.0151943776015677,0.0156945699574667,23104604131921172,-248834297246673344,295043505510515712,23104604131921172,-248834297246673344,295043505510515712
"11",2020-04-26,0,0,0,0,0.0154573631613219,0.015208304879685,0.0157064214429588,18414077832562400,-197206090353975072,234034246019099872,18414077832562400,-197206090353975072,234034246019099872
"12",2020-04-27,0,0,0,0,0.015470263300124,0.0152222439738089,0.0157182826264392,14675787582742504,-156284751085689504,185636326251174496,14675787582742504,-156284751085689504,185636326251174496
"13",2020-04-28,0,0,0,0,0.0154831742049009,0.0152361948803964,0.0157301535294053,11696417443885072,-123850832271565440,147243667159335584,11696417443885072,-123850832271565440,147243667159335584
"14",2020-04-29,0,0,0,0,0.0154960958846373,0.0152501575956166,0.015742034173658,9321897053244876,-98144764095627232,116788558202116992,9321897053244876,-98144764095627232,116788558202116992
"15",2020-04-30,0,0,0,0,0.0155090283483257,0.0152641321153428,0.0157539245813086,7429434276621704,-77771604932500896,92630473485744320,7429434276621704,-77771604932500896,92630473485744320
"16",2020-05-01,0,0,0,0,0.015521971604966,0.0152781184351453,0.0157658247747867,5921165333129455,-61625512194959696,73467842861218608,5921165333129455,-61625512194959696,73467842861218608
"17",2020-05-02,0,0,0,0,0.0155349256635655,0.0152921165502844,0.0157777347768467,4719094024772781,-48829852112449016,58268040161994584,4719094024772781,-48829852112449016,58268040161994584
"18",2020-05-03,0,0,0,0,0.0155478905331393,0.0153061264557021,0.0157896546105764,3761058366337185,-38689711525087232,46211828257761600,3761058366337185,-38689711525087232,46211828257761600
"19",2020-05-04,0,0,0,0,0.0155608662227096,0.0153201481460146,0.0158015842994046,2997516040313368,-30654244400093164,36649276480719896,2997516040313368,-30654244400093164,36649276480719896
"20",2020-05-05,0,0,0,0,0.0155738527413065,0.0153341816155037,0.0158135238671093,2388982445035994,-24286817199414808,29064782089486792,2388982445035994,-24286817199414808,29064782089486792
"21",2020-05-06,0,0,0,0,0.0155868500979675,0.0153482268581089,0.0158254733378261,1903988851413054,-19241338348645560,23049316051471664,1903988851413054,-19241338348645560,23049316051471664
"22",2020-05-07,0,0,0,0,0.0155998583017376,0.0153622838674186,0.0158374327360567,1517455079604919,-15243491377318068,18278401536527904,1517455079604919,-15243491377318068,18278401536527904
