"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USAK",731545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USAL",4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USAR",3017825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USAZ",7278717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USCA",39512223,0.0351351351351351,0.0107142857142857,0,0,0.0142857142857143,0.0142857142857143,370,18,0.0351351351351351,0.0107142857142857,0,0,0.0142857142857143,0.0142857142857143
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USCO",5758736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USCT",3565287,0,0,0,0,NA,NA,5,1,0,0,0,0,NA,NA
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USDC",705749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USDE",973764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USFL",21477737,0.0344827586206897,0.06375,0.0103448275862069,0.0375,0.0105263157894737,0.0333333333333333,580,8,0.0344827586206897,0.06375,0.0103448275862069,0.0375,0.0105263157894737,0.0333333333333333
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USGA",10617423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USHI",1415872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USIA",3155070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USID",1787065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USIL",12671821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USIN",6732219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USKS",2913314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USKY",4467673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USLA",4648794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USMA",6949503,0.0577367205542725,0.0812121212121212,0,0,0,0,433,24,0.0577367205542725,0.0812121212121212,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USMD",6045680,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USME",1344212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USMI",9986857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USMN",5639632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USMO",6137428,0.01,0.01,0,0,0,0,200,2,0.01,0.01,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USMS",2976149,0.0420168067226891,0.0420168067226891,0,0,0,0,595,17,0.0420168067226891,0.0420168067226891,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USMT",1068778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USNC",10488084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USND",762062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USNE",1934408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USNH",1359711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USNJ",8882190,0,0,0,0,NA,NA,2,1,0,0,0,0,NA,NA
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USNM",2096829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
