"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2020-01-05","CN",1414031000,1,0,1,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-12","CN",1414031000,44,1,45,1,0,NA,NA,0,0,0,NA,NA,0,0
"2020-01-19","CN",1414031000,80,2,125,3,0,NA,NA,0,0,0,NA,NA,0,0
"2020-01-23","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-24","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-25","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-26","CN",1414031000,1860,53,1985,56,0,NA,NA,0,0,0,NA,NA,0,0
"2020-01-27","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-28","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-29","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-30","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-31","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-02","CN",1414031000,12426,305,14411,361,448321.704752902,446090.911264418,450563.653903746,448321.704752902,448321.704752902,0.000317052246204575,0.000315474633345675,0.000318637748326413,0.000317052246204575,0.000317052246204575
"2020-02-03","CN",1414031000,0,0,0,0,0,0,0,0,448321.704752902,0,0,0,0,0.000317052246204575
"2020-02-04","CN",1414031000,0,0,0,0,0,0,0,0,448321.704752902,0,0,0,0,0.000317052246204575
"2020-02-05","CN",1414031000,0,0,0,0,0,0,0,0,448321.704752902,0,0,0,0,0.000317052246204575
"2020-02-06","CN",1414031000,0,0,0,0,0,0,0,0,448321.704752902,0,0,0,0,0.000317052246204575
"2020-02-07","CN",1414031000,0,0,0,0,0,0,0,0,448321.704752902,0,0,0,0,0.000317052246204575
"2020-02-08","CN",1414031000,0,0,0,0,0,0,0,0,448321.704752902,0,0,0,0,0.000317052246204575
"2020-02-09","CN",1414031000,22840,544,37251,905,374777.545479242,373373.068815939,376187.3052089,0,448321.704752902,0.000265041958400659,0.000264048715209171,0.000266038937766499,0,0.000317052246204575
"2020-02-10","CN",1414031000,0,0,0,0,0,0,0,0,448321.704752902,0,0,0,0,0.000317052246204575
"2020-02-11","CN",1414031000,0,0,0,0,0,0,0,0,448321.704752902,0,0,0,0,0.000317052246204575
"2020-02-12","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-13","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-14","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-15","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-16","CN",1414031000,31333,862,68584,1767,441817.237339499,440537.776359647,443100.414278541,0,0,0.000312452299376392,0.00031154746703548,0.000313359759636487,0,0
"2020-02-17","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-18","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-19","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-20","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-21","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-22","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-23","CN",1414031000,8458,679,77042,2446,329864.228311405,328993.398468079,330737.363199816,0,0,0.000233279346995508,0.000232663497807388,0.000233896826307072,0,0
"2020-02-24","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-25","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-26","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-27","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-28","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-29","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-01","CN",1414031000,2926,427,79968,2873,285761.714095718,285037.351943969,286487.917060692,0,0,0.000202090133876639,0.000201577866357929,0.000202603703214917,0,0
"2020-03-02","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-03","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-04","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-05","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-06","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-07","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-08","CN",1414031000,891,228,80859,3101,266257.394390578,265594.487540593,266921.955813653,0,0,0.000188296716543399,0.000187827910095742,0.000188766693101957,0,0
"2020-03-09","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-10","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-11","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-12","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-13","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-14","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-15","CN",1414031000,189,103,81048,3204,255099.61737731,254469.113633952,255731.683333718,0,0,0.000180405958127728,0.000179960067094676,0.000180852953954841,0,0
"2020-03-16","CN",1414031000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
