"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2020-01-03","IR",84038000,565,38,593,43,0,NA,NA,0,0,0,NA,NA,0,0
"2020-01-04","IR",84038000,0,0,593,43,0,NA,NA,0,0,0,NA,NA,0,0
"2020-01-05","IR",84038000,0,0,593,43,0,NA,NA,0,0,0,NA,NA,0,0
"2020-01-06","IR",84038000,0,0,593,43,22376.4962477649,21788.7113466977,22980.1375748697,22376.4962477649,22376.4962477649,0.000266266406241997,0.000259272131020464,0.000273449363084196,0.000266266406241997,0.000266266406241997
"2020-01-07","IR",84038000,0,0,593,43,14258.100703226,13748.0947792063,14787.0260518433,0,22376.4962477649,0.000169662541983698,0.000163593788276807,0.000175956425091545,0,0.000266266406241997
"2020-01-08","IR",84038000,0,0,593,43,10464.8502616235,10045.4290385513,10901.7833462288,0,22376.4962477649,0.000124525217896946,0.000119534365864863,0.000129724450203822,0,0.000266266406241997
"2020-01-09","IR",84038000,0,0,593,43,8355.71746824867,8000.69867684913,8726.48967661059,0,22376.4962477649,9.94278477385072e-05,9.52033446399144e-05,0.000103839806713756,0,0.000266266406241997
"2020-01-10","IR",84038000,0,0,593,43,7045.88550917553,6735.71297705188,7370.34116173673,0,22376.4962477649,8.38416610244833e-05,8.01508005551284e-05,8.77024817551195e-05,0,0.000266266406241997
"2020-01-11","IR",84038000,50067,2544,612772,34864,0,NA,NA,0,22376.4962477649,0,NA,NA,0,0.000266266406241997
"2020-01-12","IR",84038000,0,0,612772,34864,0,NA,NA,0,22376.4962477649,0,NA,NA,0,0.000266266406241997
"2020-01-13","IR",84038000,0,0,612772,34864,33117919.4731622,33049024.8800888,33186957.6851463,33001408.5533701,33023785.0496178,0.394082670615224,0.39326286775136,0.394904182454916,0.392696263040173,0.392962529446415
"2020-01-14","IR",84038000,0,0,612772,34864,16832971.0108195,16793278.1813774,16872757.6587938,0,33023785.0496178,0.20030189926961,0.199829579254354,0.200775335667124,0,0.392962529446415
"2020-01-15","IR",84038000,0,0,612772,34864,10904450.0157105,10877634.3572744,10931331.7803894,0,33023785.0496178,0.129756181914259,0.12943709223535,0.130076058216395,0,0.392962529446415
"2020-01-16","IR",84038000,0,0,612772,34864,8067473.96994853,8047244.58108016,8087754.21202136,0,33001408.5533701,0.0959979291504858,0.0957572119883881,0.0962392514341293,0,0.392696263040173
"2020-01-17","IR",84038000,0,0,612772,34864,6470710.24848195,6454308.58289976,6487153.59391728,0,33001408.5533701,0.0769974326909487,0.0768022630583755,0.077193098287885,0,0.392696263040173
"2020-01-18","IR",84038000,0,0,612772,34864,5471900.65387299,5457937.50755576,5485899.52237554,0,33001408.5533701,0.0651122189232608,0.0649460661552603,0.0652787967630779,0,0.392696263040173
"2020-01-19","IR",84038000,0,0,0,0,0,0,0,0,33001408.5533701,0,0,0,0,0.392696263040173
"2020-01-20","IR",84038000,0,0,0,0,0,0,0,0,33001408.5533701,0,0,0,0,0.392696263040173
"2020-01-21","IR",84038000,0,0,0,0,0,0,0,0,33001408.5533701,0,0,0,0,0.392696263040173
"2020-01-22","IR",84038000,0,0,0,0,0,0,0,0,33001408.5533701,0,0,0,0,0.392696263040173
"2020-01-23","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-24","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-25","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-26","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-27","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-28","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-29","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-30","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-31","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-02","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-03","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-04","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-05","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-06","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-07","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-08","IR",84038000,17913,1498,306752,16982,1962546.27220928,1957983.81324145,1967119.36253764,0,0,0.0233530816084304,0.0232987911806736,0.0234074985427739,0,0
"2020-02-09","IR",84038000,0,0,306752,16982,1937507.3644646,1933002.06766843,1942023.16186994,0,0,0.0230551341591257,0.0230015239257054,0.0231088693432725,0,0
"2020-02-10","IR",84038000,0,0,306752,16982,1891486.91598929,1887086.75537675,1895897.33655059,0,0,0.0225075194077595,0.0224551602296193,0.0225600006729169,0,0
"2020-02-11","IR",84038000,0,0,306752,16982,1835685.7869845,1831413.22701206,1839968.31454287,0,0,0.0218435206333385,0.0217926798235568,0.0218944800512015,0,0
"2020-02-12","IR",84038000,0,0,306752,16982,1779401.22018682,1775257.50281023,1783554.6096215,0,0,0.0211737692494683,0.0211244615865469,0.0212231920038733,0,0
"2020-02-13","IR",84038000,0,0,306752,16982,1727167.45003597,1723143.42551196,1731200.87178899,0,0,0.020552219829553,0.0205043364372303,0.0206002150430637,0,0
"2020-02-14","IR",84038000,0,0,306752,16982,1680574.89455434,1676657.73469034,1684501.20604249,0,0,0.0199977973601745,0.0199511855909273,0.0200445180280645,0,0
"2020-02-15","IR",84038000,0,0,306752,16982,1639786.42372554,1635962.89372153,1643618.88998461,0,0,0.0195124398929715,0.0194669422609001,0.0195580438609273,0,0
"2020-02-16","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-17","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-18","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-19","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-20","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-21","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-22","IR",84038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-23","IR",84038000,28,5,28,5,133.178699459043,132.867717395953,133.490409387753,0,0,1.58474379993625e-06,1.58104330655124e-06,1.58845295447004e-06,0,0
"2020-02-24","IR",84038000,0,0,28,5,132.078652653123,131.770204958902,132.387822361702,0,0,1.57165392623721e-06,1.56798359026753e-06,1.57533285372929e-06,0,0
"2020-02-25","IR",84038000,0,0,28,5,131.100735723625,130.7945415515,131.407646706023,0,0,1.56001732220692e-06,1.5563738017504e-06,1.56366937226044e-06,0,0
"2020-02-26","IR",84038000,0,0,28,5,130.22884292335,129.924658342307,130.533739672971,0,0,1.54964233945774e-06,1.54602273188685e-06,1.55327042139236e-06,0,0
"2020-02-27","IR",84038000,0,0,28,5,129.449448316012,129.147060430663,129.752544219281,0,0,1.54036802774949e-06,1.53676979974135e-06,1.54397468073111e-06,0,0
