"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_active"
"2020-03-04","LI",39062,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-05","LI",39062,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-06","LI",39062,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-07","LI",39062,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-08","LI",39062,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-09","LI",39062,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-10","LI",39062,0,0,1,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-11","LI",39062,2,0,3,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-12","LI",39062,1,0,4,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-13","LI",39062,1,0,5,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-14","LI",39062,2,0,7,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-15","LI",39062,4,0,11,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-16","LI",39062,3,0,14,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-17","LI",39062,5,0,19,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-18","LI",39062,6,0,25,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-19","LI",39062,9,0,34,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-20","LI",39062,2,0,36,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-21","LI",39062,8,0,44,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-22","LI",39062,2,0,46,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-23","LI",39062,2,0,48,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-24","LI",39062,3,0,51,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-25","LI",39062,2,0,53,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-26","LI",39062,4,0,57,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-27","LI",39062,4,0,61,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-28","LI",39062,1,0,62,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-29","LI",39062,1,0,63,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-30","LI",39062,2,0,65,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-31","LI",39062,4,0,69,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-01","LI",39062,4,0,73,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-02","LI",39062,3,0,76,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-03","LI",39062,1,0,77,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-04","LI",39062,1,1,78,1,122.710659188726,18.0031802358321,836.402551176021,122.710659188726,122.710659188726,0.00314143308557488,0.000460887313394913,0.0214121793860023,0.00314143308557488,0.00314143308557488
"2020-04-05","LI",39062,0,0,78,1,116.048091744437,16.9813417246453,793.056274109378,0,122.710659188726,0.00297086917578304,0.000434727912668201,0.0203025004892063,0,0.00314143308557488
"2020-04-06","LI",39062,0,0,78,1,110.343459075132,16.1212735072873,755.255405546064,0,122.710659188726,0.00282482871013086,0.000412709884473076,0.0193347858672383,0,0.00314143308557488
"2020-04-07","LI",39062,1,0,79,1,106.87413458633,15.5810998645007,733.07280891002,0,122.710659188726,0.00273601286637475,0.000398881262211374,0.0187669041244693,0,0.00314143308557488
"2020-04-08","LI",39062,0,0,79,1,102.736830782783,14.958522197943,705.608231857391,0,122.710659188726,0.00263009653327486,0.000382943069938636,0.0180638019522142,0,0.00314143308557488
"2020-04-09","LI",39062,1,0,80,1,100.453342215639,14.608403905718,690.758143560267,0,122.710659188726,0.00257163847769287,0.000373979926929445,0.0176836348256686,0,0.00314143308557488
"2020-04-10","LI",39062,0,0,80,1,97.363679911354,14.1431501436674,670.266953937776,0,122.710659188726,0.00249254211026967,0.000362069278164647,0.0171590536566939,0,0.00314143308557488
"2020-04-11","LI",39062,0,0,80,1,94.6711125524332,13.7446624874919,652.080002697174,0,122.710659188726,0.00242361150356954,0.000351867863588447,0.016693461745358,0,0.00314143308557488
