"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_active"
"2020-03-17","LR",4661010,5,0,5,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-18","LR",4661010,1,0,6,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-19","LR",4661010,0,0,6,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-20","LR",4661010,0,0,6,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-21","LR",4661010,-3,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-22","LR",4661010,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-23","LR",4661010,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-24","LR",4661010,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-25","LR",4661010,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-26","LR",4661010,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-27","LR",4661010,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-28","LR",4661010,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-29","LR",4661010,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-30","LR",4661010,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-31","LR",4661010,0,0,3,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-01","LR",4661010,3,0,6,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-02","LR",4661010,0,0,6,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-03","LR",4661010,0,0,6,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-04","LR",4661010,1,0,7,0,0,0,NA,0,0,0,0,NA,0,0
"2020-04-05","LR",4661010,3,1,10,1,219.587501359473,59.3347200139674,812.655233595875,219.587501359473,219.587501359473,4.71115705307376e-05,1.27300134550167e-05,0.000174351746423173,4.71115705307376e-05,4.71115705307376e-05
"2020-04-06","LR",4661010,3,2,13,3,777.095248489871,658.7473657324,916.705032367211,557.507747130398,777.095248489871,0.000166722501880466,0.000141331463724043,0.000196675191078159,0.000119610931349729,0.000166722501880466
"2020-04-07","LR",4661010,1,0,14,3,738.479406642003,626.012531563415,871.151624828265,0,777.095248489871,0.000158437636186578,0.000134308343376954,0.000186901899980533,0,0.000166722501880466
"2020-04-08","LR",4661010,0,0,14,3,638.935949985718,491.06739927109,831.330177466712,0,777.095248489871,0.000137081008190439,0.000105356435465938,0.000178358376718074,0,0.000166722501880466
"2020-04-09","LR",4661010,17,1,31,4,1634.71579217296,1479.31548156973,1806.44071834092,680.845403331067,1457.94065182094,0.000350721365578053,0.000317380885595554,0.000387564222848892,0.000146072504313672,0.000312795006194138
"2020-04-10","LR",4661010,0,0,31,4,1380.10293401078,1116.57793493481,1705.82280812881,0,1457.94065182094,0.000296095252747963,0.00023955707774384,0.000365977075382547,0,0.000312795006194138
"2020-04-11","LR",4661010,6,1,37,5,1667.94882797455,1437.21200792131,1935.72922951392,132.170458343453,1590.11111016439,0.000357851372980223,0.000308347763236146,0.000415302526601298,2.83566133399098e-05,0.000341151619534048
"2020-04-12","LR",4661010,11,0,48,5,1750.91113258453,1436.5534484312,2134.05898510519,160.800022420143,1750.91113258453,0.000375650584869918,0.000308206472080344,0.000457853337603908,3.44989653358699e-05,0.000375650584869918
"2020-04-13","LR",4661010,2,0,50,5,1478.6515606544,1174.1851347145,1862.0661880184,0,1750.91113258453,0.000317238444168624,0.000251916459032376,0.000399498432317974,0,0.000375650584869918
"2020-04-14","LR",4661010,1,1,51,6,1477.73516037542,1212.42334976293,1801.10454375261,0,1750.91113258453,0.000317041834361098,0.00026012030649214,0.000386419369139437,0,0.000375650584869918
"2020-04-15","LR",4661010,8,0,59,6,1427.44741577315,1145.93460620317,1778.11727978848,0,1531.32363122506,0.000306252811251886,0.000245855427515317,0.000381487548790602,0,0.00032853901433918
"2020-04-16","LR",4661010,0,0,59,6,1217.86543361338,962.594394833969,1540.83196655859,0,973.815884094663,0.000261287882586259,0.000206520559885941,0.000330578987506698,0,0.000208928082989451
"2020-04-17","LR",4661010,14,0,73,6,1307.67726896873,1021.59281521556,1673.87614155911,0,973.815884094663,0.000280556632354089,0.000219178421675894,0.000359123053063415,0,0.000208928082989451
"2020-04-18","LR",4661010,3,1,76,7,1394.74178444523,1128.42155687424,1723.9165925419,0,973.815884094663,0.000299235956250948,0.000242098076784697,0.000369859020371529,0,0.000208928082989451
"2020-04-19","LR",4661010,5,0,81,7,1311.75957653514,1054.1194112395,1632.37026876142,0,292.970480763596,0.000281432474192319,0.000226156865408892,0.000350218143441318,0,6.28555786757797e-05
"2020-04-20","LR",4661010,10,1,91,8,1498.27949268528,1237.91430509593,1813.40616952261,0,292.970480763596,0.000321449534046329,0.000265589283244604,0.00038905863096681,0,6.28555786757797e-05
"2020-04-21","LR",4661010,8,0,99,8,1459.77910770239,1199.19685466882,1776.98518386531,0,160.800022420143,0.000313189439134949,0.000257282617859396,0.000381244662394053,0,3.44989653358699e-05
"2020-04-22","LR",4661010,2,0,101,8,1338.89540859195,1093.62833193755,1639.16831961792,0,0,0.000287254352295308,0.000234633337396304,0.000351676636526829,0,0
"2020-04-23","LR",4661010,0,0,101,8,1210.38988751064,985.000006345445,1487.35398005086,0,0,0.000259684035758482,0.000211327589158883,0.000319105511477311,0,0
"2020-04-24","LR",4661010,0,0,101,8,1104.63159119441,895.479022093285,1362.63488273831,0,0,0.000236994040174643,0.000192121240266227,0.000292347556160212,0,0
"2020-04-25","LR",4661010,16,0,117,8,1181.1980865143,955.066528436865,1460.87092159809,0,0,0.000253421058207192,0.000204905487960091,0.000313423683192719,0,0
"2020-04-26","LR",4661010,3,3,120,11,1548.66770568705,1335.00709727063,1796.52352975604,0,0,0.000332260112226116,0.000286420131531712,0.000385436531943944,0,0
"2020-04-27","LR",4661010,4,1,124,12,1626.31031789705,1420.18619066501,1862.35105473031,0,0,0.000348918006590213,0.000304694946087868,0.000399559549267285,0,0
"2020-04-28","LR",4661010,9,4,133,16,2173.6916787563,1973.17337475887,2394.58710255089,0,0,0.000466356364555387,0.000423336009740136,0.000513748544317838,0,0
"2020-04-29","LR",4661010,8,0,141,16,2160.25949373192,1957.42205738152,2384.11591545139,0,0,0.000463474546017262,0.000419956631155377,0.000511501995372545,0,0
"2020-04-30","LR",4661010,0,0,141,16,2028.22911264377,1834.86533409124,2241.97016366498,0,0,0.000435147985660569,0.000393662604047457,0.000481005224975914,0,0
"2020-05-01","LR",4661010,0,0,141,16,1908.96283351153,1724.54160622856,2113.10593294284,0,0,0.000409559909442702,0.000369993114416953,0.000453357948801406,0,0
"2020-05-02","LR",4661010,11,2,152,18,2189.83653195589,2002.88166740687,2394.24231332508,0,0,0.000469820174587889,0.000429709798392809,0.000513674571246379,0,0
"2020-05-03","LR",4661010,2,0,154,18,2107.55214238493,1925.87488171389,2306.36791364061,0,0,0.000452166406505228,0.0004131883179212,0.000494821490114933,0,0
"2020-05-04","LR",4661010,4,0,158,18,2058.96110921426,1879.53265335211,2255.51859484648,0,0,0.000441741405664065,0.000403245788649265,0.000483911983635838,0,0
"2020-05-05","LR",4661010,8,0,166,18,2065.56042517813,1883.79783892654,2264.86079445408,0,0,0.000443157261018133,0.000404160866191349,0.000485916313085379,0,0
"2020-05-06","LR",4661010,4,2,170,20,2249.03183757532,2071.82221579724,2441.39876861058,0,0,0.000482520277273664,0.000444500701735726,0.000523791789464211,0,0
"2020-05-07","LR",4661010,8,0,178,20,2256.44509750874,2077.35219194006,2450.97797948077,0,0,0.000484110760867009,0.000445687134749778,0.000525846968678628,0,0
"2020-05-08","LR",4661010,11,0,189,20,2298.40129655995,2114.45033015532,2498.3554565883,0,0,0.000493112286083907,0.000453646383542477,0.00053601160619443,0,0
"2020-05-09","LR",4661010,10,0,199,20,2321.60710852276,2134.38088959117,2525.2566646508,0,0,0.000498090994982366,0.000457922400851139,0.000541783146710864,0,0
"2020-05-10","LR",4661010,0,0,199,20,2225.10495608738,2044.16933815786,2422.0557334386,0,0,0.00047738686595553,0.00043856789368782,0.000519641823003726,0,0
"2020-05-11","LR",4661010,5,0,204,20,2186.3014012662,2007.39986121002,2381.14683055589,37.5519780941363,37.5519780941363,0.000469061727236415,0.000430679157781257,0.00051086499075434,8.05661822097277e-06,8.05661822097277e-06
"2020-05-12","LR",4661010,7,0,211,20,2171.35552393701,1992.44564929733,2366.33045071745,382.892413258342,420.444391352478,0.000465855152410532,0.000427470794805703,0.000507686199067895,8.21479493196414e-05,9.02045675406142e-05
"2020-05-13","LR",4661010,1,0,212,20,2098.64436165924,1924.80903121216,2288.17928703841,0,420.444391352478,0.000450255279791128,0.000412959644199896,0.000490919197135044,0,9.02045675406142e-05
"2020-05-14","LR",4661010,1,0,213,20,2032.14120283329,1862.82706316029,2216.84446716532,0,420.444391352478,0.000435987308079856,0.000399661674864523,0.000475614612962711,0,9.02045675406142e-05
"2020-05-15","LR",4661010,2,0,215,20,1982.17056122085,1816.2738554223,2163.22011245217,0,420.444391352478,0.000425266318077165,0.000389673880858934,0.000464109734253343,0,9.02045675406142e-05
"2020-05-16","LR",4661010,4,0,219,20,1956.79545658012,1792.33176838956,2136.3502708726,0,420.444391352478,0.000419822196601191,0.000384537207255414,0.000458344923283279,0,9.02045675406142e-05
"2020-05-17","LR",4661010,4,0,223,20,1935.99889125454,1772.64086650199,2114.41120295001,0,420.444391352478,0.000415360381388271,0.000380312607461041,0.000453637988965914,0,9.02045675406142e-05
"2020-05-18","LR",4661010,3,1,226,21,2005.43706006707,1844.30254854249,2180.64970146506,0,420.444391352478,0.000430258047090022,0.000395687318530209,0.000467849178925826,0,9.02045675406142e-05
"2020-05-19","LR",4661010,3,1,229,22,2075.34962627182,1916.08797627788,2247.8488068347,0,420.444391352478,0.00044525749274767,0.000411088578715318,0.000482266463027263,0,9.02045675406142e-05
"2020-05-20","LR",4661010,4,1,233,23,2155.01531958481,1996.86776712461,2325.68781173352,0,420.444391352478,0.00046234943061371,0.000428419541499505,0.000498966492612871,0,9.02045675406142e-05
"2020-05-21","LR",4661010,5,0,238,23,2151.31247286111,1992.96483635583,2322.24135190987,0,382.892413258342,0.00046155500049584,0.000427582184195235,0.00049822706922102,0,8.21479493196414e-05
"2020-05-22","LR",4661010,2,0,240,23,2121.84352344276,1965.11109951664,2291.07653968441,0,0,0.000455232561921722,0.000421606282654755,0.000491540790447652,0,0
