"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020-02-29","QA",NA,0,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-01","QA",NA,2,0,3,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-02","QA",NA,0,0,3,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-03","QA",NA,4,0,7,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-04","QA",NA,1,0,8,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-05","QA",NA,0,0,8,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-06","QA",NA,0,0,8,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-07","QA",NA,0,0,8,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-08","QA",NA,7,0,15,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-09","QA",NA,3,0,18,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-10","QA",NA,6,0,24,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-11","QA",NA,238,0,262,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-12","QA",NA,0,0,262,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-13","QA",NA,58,0,320,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-14","QA",NA,17,0,337,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-15","QA",NA,64,0,401,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-16","QA",NA,38,0,439,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-17","QA",NA,0,0,439,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-18","QA",NA,13,0,452,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-19","QA",NA,8,0,460,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-20","QA",NA,10,0,470,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-21","QA",NA,11,0,481,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-22","QA",NA,13,0,494,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-23","QA",NA,7,0,501,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-24","QA",NA,25,0,526,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-25","QA",NA,11,0,537,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-26","QA",NA,12,0,549,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-27","QA",NA,13,0,562,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-28","QA",NA,28,1,590,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-29","QA",NA,44,0,634,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-30","QA",NA,59,0,693,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-03-31","QA",NA,88,1,781,2,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-01","QA",NA,54,0,835,2,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-02","QA",NA,114,1,949,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-03","QA",NA,126,0,1075,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-04","QA",NA,250,0,1325,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-05","QA",NA,279,1,1604,4,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-06","QA",NA,228,0,1832,4,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-07","QA",NA,225,2,2057,6,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-08","QA",NA,153,0,2210,6,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-09","QA",NA,166,0,2376,6,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-10","QA",NA,136,0,2512,6,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-11","QA",NA,216,0,2728,6,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-12","QA",NA,251,1,2979,7,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-13","QA",NA,252,0,3231,7,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-14","QA",NA,197,0,3428,7,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-15","QA",NA,283,0,3711,7,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-16","QA",NA,392,0,4103,7,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-17","QA",NA,560,0,4663,7,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"2020-04-18","QA",NA,345,1,5008,8,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
