"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2020-01-05","RO",19414458,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-12","RO",19414458,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-19","RO",19414458,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-26","RO",19414458,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-02","RO",19414458,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-09","RO",19414458,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-16","RO",19414458,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-02-23","RO",19414458,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-01","RO",19414458,4,0,4,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-03-08","RO",19414458,11,0,15,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-15","RO",19414458,124,0,139,0,0,NA,NA,0,0,0,NA,NA,0,0
"2020-03-16","RO",19414458,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-17","RO",19414458,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-18","RO",19414458,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-19","RO",19414458,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-20","RO",19414458,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-21","RO",19414458,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-22","RO",19414458,228,0,367,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-23","RO",19414458,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-24","RO",19414458,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-25","RO",19414458,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-26","RO",19414458,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-27","RO",19414458,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-28","RO",19414458,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
"2020-03-29","RO",19414458,1085,37,1452,37,20202.4419203359,19319.1427792642,21126.1267752839,20202.4419203359,20202.4419203359,0.00104058747971928,0.000995090503132468,0.00108816464385892,0.00104058747971928,0.00104058747971928
"2020-03-30","RO",19414458,0,0,0,0,0,0,0,0,20202.4419203359,0,0,0,0,0.00104058747971928
"2020-03-31","RO",19414458,0,0,0,0,0,0,0,0,20202.4419203359,0,0,0,0,0.00104058747971928
"2020-04-01","RO",19414458,0,0,0,0,0,0,0,0,20202.4419203359,0,0,0,0,0.00104058747971928
"2020-04-02","RO",19414458,0,0,0,0,0,0,0,0,20202.4419203359,0,0,0,0,0.00104058747971928
"2020-04-03","RO",19414458,0,0,0,0,0,0,0,0,20202.4419203359,0,0,0,0,0.00104058747971928
"2020-04-04","RO",19414458,0,0,0,0,0,0,0,0,20202.4419203359,0,0,0,0,0.00104058747971928
"2020-04-05","RO",19414458,2161,109,3613,146,52739.6787486121,52078.7703551149,53408.9744350813,0,20202.4419203359,0.00271651563739828,0.00268247356455251,0.0027509897229725,0,0.00104058747971928
"2020-04-06","RO",19414458,0,0,0,0,0,0,0,0,20202.4419203359,0,0,0,0,0.00104058747971928
"2020-04-07","RO",19414458,0,0,0,0,0,0,0,0,20202.4419203359,0,0,0,0,0.00104058747971928
"2020-04-08","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-09","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-10","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-11","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-12","RO",19414458,2377,145,5990,291,63903.0860958243,63417.1397748786,64392.7560761416,0,0,0.00329152047900716,0.00326649035347155,0.00331674240280834,0,0
"2020-04-13","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-14","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-15","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-16","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-17","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-18","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-19","RO",19414458,2428,130,8418,421,68171.6847321583,67762.2009423923,68583.6430131857,0,0,0.00351138747896842,0.00349029578587217,0.00353260662817297,0,0
"2020-04-20","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-21","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-22","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-23","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-24","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-25","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-26","RO",19414458,2217,180,10635,601,79142.0531235706,78761.8373534862,79524.1043514944,0,0,0.00407644926907414,0.00405686511328239,0.00409612796563748,0,0
"2020-04-27","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-28","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-29","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04-30","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-01","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-02","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-03","RO",19414458,2097,170,12732,771,88918.3389791592,88546.8475173604,89291.3890047021,0,0,0.00458000624993802,0.00456087146586118,0.004599221312524,0,0
"2020-05-04","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-05","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-06","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-07","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-08","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-09","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-10","RO",19414458,2399,168,15131,939,101814.366586287,101429.931337246,102200.258904842,0,0,0.00524425490458126,0.00522445341184624,0.00526413144806009,0,0
"2020-05-11","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-12","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-13","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-14","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-15","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-16","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-17","RO",19414458,1573,155,16704,1094,107426.425726365,107048.726428453,107805.457658157,0,0,0.00553332087490494,0.00551386633757446,0.00555284405354799,0,0
"2020-05-18","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-19","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-20","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-21","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-22","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-23","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-24","RO",19414458,1153,82,17857,1176,106503.286581948,106139.775523876,106868.042604867,0,0,0.00548577181922608,0.00546704808982439,0.00550455967428333,0,0
"2020-05-25","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-26","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-27","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-28","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-29","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-30","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05-31","RO",19414458,1276,83,19133,1259,109982.553561491,109617.711234797,110348.610198554,0,0,0.00566498192025197,0.00564618961985946,0.00568383676734905,0,0
"2020-06-01","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-06-02","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-06-03","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-06-04","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-06-05","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-06-06","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-06-07","RO",19414458,1157,59,20290,1318,112092.878354411,111727.690607235,112459.259736664,0,0,0.00577368054026595,0.00575487044795354,0.00579255211433993,0,0
"2020-06-08","RO",19414458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
