"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2020-01-03","SV",645355,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-04","SV",645355,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-05","SV",645355,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-06","SV",645355,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-07","SV",645355,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-08","SV",645355,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-09","SV",645355,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-10","SV",645355,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
"2020-01-11","SV",645355,860,31,33445,975,0,NA,NA,0,0,0,NA,NA,0,0
"2020-01-12","SV",645355,0,0,33445,975,0,NA,NA,0,0,0,NA,NA,0,0
"2020-01-13","SV",645355,0,0,33445,975,645355,645355,645355,645355,645355,1,1,1,1,1
"2020-01-14","SV",645355,0,0,33445,975,645355,645039.178144906,645355,0,645355,1,0.999510623060031,1,0,1
"2020-01-15","SV",645355,0,0,33445,975,430989.091832791,408393.777009012,454834.543854363,0,645355,0.66783257561,0.632820350053865,0.704781932199119,0,1
"2020-01-16","SV",645355,0,0,33445,975,316327.988159235,298837.398185568,334842.281121499,0,645355,0.490161210743289,0.463058933742774,0.518849751100555,0,1
"2020-01-17","SV",645355,0,0,33445,975,252573.828605171,238218.334061199,267794.41283426,0,645355,0.391371924917559,0.369127587236791,0.414956749129177,0,1
"2020-01-18","SV",645355,0,0,33445,975,212980.666918021,200665.331695071,226051.825184106,0,645355,0.330020944934216,0.310937905021378,0.350275158918899,0,1
"2020-01-19","SV",645355,0,0,0,0,0,0,0,0,645355,0,0,0,0,1
"2020-01-20","SV",645355,0,0,0,0,0,0,0,0,645355,0,0,0,0,1
"2020-01-21","SV",645355,0,0,0,0,0,0,0,0,645355,0,0,0,0,1
"2020-01-22","SV",645355,0,0,0,0,0,0,0,0,645355,0,0,0,0,1
