"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_active","p_cum_cases","p_cum_deaths","p_infected","p_daily","p_active"
"2019/12/23","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/24","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/25","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/26","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/27","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/28","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/29","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/30","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/31","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/01","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/02","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/03","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/04","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/05","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/06","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/07","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/08","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/09","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/10","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/11","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/12","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/13","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/14","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/15","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/16","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/17","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/18","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/19","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/20","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/21","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/22","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/23","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/24","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/25","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/26","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/27","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/28","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/29","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/30","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/31","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/01","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/02","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/03","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/04","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/05","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/06","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/07","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/08","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/09","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/10","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/11","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/12","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/13","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/14","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/15","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/16","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/17","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/18","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/19","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/20","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/21","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/22","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/23","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/24","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/25","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/26","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/27","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/28","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/29","BR",211049519,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/01","BR",211049519,1,0,1,0,0,0,0,4.73822449223398e-09,0,0,0,0
"2020/03/02","BR",211049519,0,0,1,0,0,0,0,4.73822449223398e-09,0,0,0,0
"2020/03/03","BR",211049519,0,0,1,0,0,0,0,4.73822449223398e-09,0,0,0,0
"2020/03/04","BR",211049519,0,0,1,0,0,0,0,4.73822449223398e-09,0,0,0,0
"2020/03/05","BR",211049519,0,0,1,0,0,0,0,4.73822449223398e-09,0,0,0,0
"2020/03/06","BR",211049519,0,0,1,0,0,0,0,4.73822449223398e-09,0,0,0,0
"2020/03/07","BR",211049519,0,0,1,0,0,0,0,4.73822449223398e-09,0,0,0,0
"2020/03/08","BR",211049519,12,0,13,0,0,0,0,6.15969183990417e-08,0,0,0,0
"2020/03/09","BR",211049519,0,0,13,0,797.101449275362,797.101449275362,797.101449275362,6.15969183990417e-08,0,3.77684560975172e-06,3.77684560975172e-06,3.77684560975172e-06
"2020/03/10","BR",211049519,0,0,13,0,797.101449275362,0,797.101449275362,6.15969183990417e-08,0,3.77684560975172e-06,0,3.77684560975172e-06
"2020/03/11","BR",211049519,0,0,13,0,797.101449275362,0,797.101449275362,6.15969183990417e-08,0,3.77684560975172e-06,0,3.77684560975172e-06
"2020/03/12","BR",211049519,0,0,13,0,797.101449275362,0,797.101449275362,6.15969183990417e-08,0,3.77684560975172e-06,0,3.77684560975172e-06
"2020/03/13","BR",211049519,0,0,13,0,797.101449275362,0,797.101449275362,6.15969183990417e-08,0,3.77684560975172e-06,0,3.77684560975172e-06
"2020/03/14","BR",211049519,0,0,13,0,797.101449275362,0,797.101449275362,6.15969183990417e-08,0,3.77684560975172e-06,0,3.77684560975172e-06
"2020/03/15","BR",211049519,71,0,84,0,797.101449275362,0,797.101449275362,3.98010857347654e-07,0,3.77684560975172e-06,0,3.77684560975172e-06
"2020/03/16","BR",211049519,0,0,84,0,6666.66666666667,5869.5652173913,6666.66666666667,3.98010857347654e-07,0,3.15881632815598e-05,2.78113176718081e-05,3.15881632815598e-05
"2020/03/17","BR",211049519,0,0,84,0,6666.66666666667,0,6666.66666666667,3.98010857347654e-07,0,3.15881632815598e-05,0,3.15881632815598e-05
"2020/03/18","BR",211049519,0,0,84,0,6666.66666666667,0,6666.66666666667,3.98010857347654e-07,0,3.15881632815598e-05,0,3.15881632815598e-05
"2020/03/19","BR",211049519,0,0,84,0,6666.66666666667,0,5869.5652173913,3.98010857347654e-07,0,3.15881632815598e-05,0,2.78113176718081e-05
"2020/03/20","BR",211049519,0,0,84,0,6666.66666666667,0,5869.5652173913,3.98010857347654e-07,0,3.15881632815598e-05,0,2.78113176718081e-05
"2020/03/21","BR",211049519,0,0,84,0,6666.66666666667,0,5869.5652173913,3.98010857347654e-07,0,3.15881632815598e-05,0,2.78113176718081e-05
"2020/03/22","BR",211049519,820,11,904,11,6666.66666666667,0,5869.5652173913,4.28335494097951e-06,5.21204694145737e-08,3.15881632815598e-05,0,2.78113176718081e-05
"2020/03/23","BR",211049519,0,0,904,11,26014.4927536232,19347.8260869565,25217.3913043478,4.28335494097951e-06,5.21204694145737e-08,0.000123262506718261,9.16743434367008e-05,0.000119485661108509
"2020/03/24","BR",211049519,0,0,904,11,26014.4927536232,0,25217.3913043478,4.28335494097951e-06,5.21204694145737e-08,0.000123262506718261,0,0.000119485661108509
"2020/03/25","BR",211049519,0,0,904,11,26014.4927536232,0,25217.3913043478,4.28335494097951e-06,5.21204694145737e-08,0.000123262506718261,0,0.000119485661108509
"2020/03/26","BR",211049519,0,0,904,11,26014.4927536232,0,19347.8260869565,4.28335494097951e-06,5.21204694145737e-08,0.000123262506718261,0,9.16743434367008e-05
"2020/03/27","BR",211049519,0,0,904,11,26014.4927536232,0,19347.8260869565,4.28335494097951e-06,5.21204694145737e-08,0.000123262506718261,0,9.16743434367008e-05
"2020/03/28","BR",211049519,0,0,904,11,26014.4927536232,0,19347.8260869565,4.28335494097951e-06,5.21204694145737e-08,0.000123262506718261,0,9.16743434367008e-05
"2020/03/29","BR",211049519,2513,81,3417,92,26014.4927536232,0,19347.8260869565,1.61905130899635e-05,4.35916653285526e-07,0.000123262506718261,0,9.16743434367008e-05
"2020/03/30","BR",211049519,0,0,3417,92,76521.7391304348,50507.2463768116,69855.0724637681,1.61905130899635e-05,4.35916653285526e-07,0.000362577178536165,0.000239314671817904,0.000330989015254605
"2020/03/31","BR",211049519,0,0,3417,92,76521.7391304348,0,69855.0724637681,1.61905130899635e-05,4.35916653285526e-07,0.000362577178536165,0,0.000330989015254605
"2020/04/01","BR",211049519,0,0,3417,92,76521.7391304348,0,69855.0724637681,1.61905130899635e-05,4.35916653285526e-07,0.000362577178536165,0,0.000330989015254605
"2020/04/02","BR",211049519,0,0,3417,92,76521.7391304348,0,50507.2463768116,1.61905130899635e-05,4.35916653285526e-07,0.000362577178536165,0,0.000239314671817904
