"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2019/12/19","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/20","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/21","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/22","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/23","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/24","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/25","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/26","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/27","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/28","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/29","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/30","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/31","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/01","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/02","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/03","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/04","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/05","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/06","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/07","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/08","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/09","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/10","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/11","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/12","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/13","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/14","UY",3461731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
