"date","countrycode","cum_cases","cum_deaths","population","cases","deaths","cases_daily","cases_infected","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active","p_cases_active_smooth","p_cases_active_smooth_slope","p_cases_active_smooth_slope2"
2020-03-13,"AG",1,0,99000,0,0,0,1,0,0,1.01010101010101e-05,0,0,0,5.44567203378918e-05,0,0
2020-03-14,"AG",1,0,99000,0,0,0,1,0,0,1.01010101010101e-05,0,0,0,5.75248767300577e-05,0,0
2020-03-15,"AG",1,0,99000,0,0,0,1,0,0,1.01010101010101e-05,0,0,0,6.06860265104712e-05,0,0
2020-03-16,"AG",1,0,99000,0,0,0,1,0,0,1.01010101010101e-05,0,0,0,6.3929406434183e-05,0,0
2020-03-17,"AG",1,0,99000,0,0,0,1,0,0,1.01010101010101e-05,0,0,0,6.7241562721417e-05,0,0
2020-03-18,"AG",1,0,99000,0,0,0,1,0,0,1.01010101010101e-05,0,0,0,7.0609246366682e-05,0,0
2020-03-19,"AG",1,0,99000,0,0,0,1,0,0,1.01010101010101e-05,0,0,0,7.4007785006159e-05,3.25851077804453e-06,5.43085129674088e-07
2020-03-20,"AG",1,0,99000,0,0,0,1,0,0,1.01010101010101e-05,0,0,0,7.74167436600135e-05,3.31531115499264e-06,5.52551859165439e-07
2020-03-21,"AG",1,0,99000,0,0,0,1,0,0,1.01010101010101e-05,0,0,0,8.08100340378299e-05,3.35400125455978e-06,5.59000209093297e-07
2020-03-22,"AG",1,0,99000,0,0,0,1,0,0,1.01010101010101e-05,0,0,0,8.4158225391582e-05,3.37146982623317e-06,5.61911637705528e-07
2020-03-23,"AG",3,0,99000,2,0,2,3,2,30,3.03030303030303e-05,2.02020202020202e-05,2.02020202020202e-05,0.000303030303030303,8.74286721626602e-05,3.36451824020719e-06,5.60753040034532e-07
2020-03-24,"AG",3,0,99000,0,0,0,3,2,0,3.03030303030303e-05,0,2.02020202020202e-05,0,9.05857753332295e-05,3.32942149442458e-06,5.54903582404097e-07
2020-03-25,"AG",3,0,99000,0,0,0,3,2,0,3.03030303030303e-05,0,2.02020202020202e-05,0,9.35913937369279e-05,3.26393478846148e-06,9.04001736157893e-10
2020-03-26,"AG",7,0,99000,4,0,4,7,6,60,7.07070707070707e-05,4.04040404040404e-05,6.06060606060606e-05,0.000606060606060606,9.6405416228184e-05,3.16477876136175e-06,-2.50887322718139e-08
2020-03-27,"AG",7,0,99000,0,0,0,7,6,0,7.07070707070707e-05,0,6.06060606060606e-05,0,9.89864981334716e-05,3.02941068260695e-06,-5.40984286588064e-08
2020-03-28,"AG",7,0,99000,0,0,0,7,6,0,7.07070707070707e-05,0,6.06060606060606e-05,0,0.000101292955980123,2.85578843142343e-06,-8.59468991349561e-08
2020-03-29,"AG",7,0,99000,0,0,0,7,6,0,7.07070707070707e-05,0,6.06060606060606e-05,0,0.000103283803550974,2.64252189805225e-06,-1.20332723692491e-07
2020-03-30,"AG",7,0,99000,0,0,0,7,6,0,7.07070707070707e-05,0,6.06060606060606e-05,0,0.000104919900552673,2.38902086990716e-06,-1.5673343741957e-07
2020-03-31,"AG",7,0,99000,0,0,0,7,6,0,7.07070707070707e-05,0,6.06060606060606e-05,0,0.000106165173563423,2.09562997108252e-06,-1.94717469563159e-07
2020-04-01,"AG",7,0,99000,0,0,0,7,6,0,7.07070707070707e-05,0,6.06060606060606e-05,0,0.000106987858563608,1.76374038923725e-06,-2.33506395354083e-07
2020-04-02,"AG",9,0,99000,2,0,2,9,8,30,9.09090909090909e-05,2.02020202020202e-05,8.08080808080808e-05,0.000303030303030303,0.000107361706423437,1.39586804832752e-06,-2.72257105713238e-07
2020-04-03,"AG",15,0,99000,6,0,6,15,14,90,0.000151515151515152,6.06060606060606e-05,0.000141414141414141,0.000909090909090909,0.000107267088303387,9.95688720543994e-07,-3.10016618479906e-07
2020-04-04,"AG",15,0,99000,0,0,0,15,12,0,0.000151515151515152,0,0.000121212121212121,0,0.000106691937842167,5.68022381865604e-07,-3.4574991936444e-07
2020-04-05,"AG",15,0,99000,0,0,0,15,12,0,0.000151515151515152,0,0.000121212121212121,0,0.000105632471701145,1.18761858078752e-07,-3.78376501971402e-07
2020-04-06,"AG",15,0,99000,0,0,0,15,12,0,0.000151515151515152,0,0.000121212121212121,0,0.000104093639460488,-3.45255683822435e-07,-4.06814275817492e-07
2020-04-07,"AG",19,1,99000,4,1,4,19,12,60,0.000191919191919192,4.04040404040404e-05,0.000121212121212121,0.000606060606060606,0.000102089267469975,-8.16431848938816e-07,-4.30028706362678e-07
2020-04-08,"AG",19,2,99000,0,1,0,19,12,0,0.000191919191919192,0,0.000121212121212121,0,9.96418780341391e-05,-1.28663806488294e-06,-4.47084352201743e-07
2020-04-09,"AG",19,2,99000,0,0,0,19,12,0,0.000191919191919192,0,0.000121212121212121,0,9.67821838976668e-05,-1.74748406761997e-06,-4.57195464693994e-07
2020-04-10,"AG",19,2,99000,0,0,0,19,12,0,0.000191919191919192,0,0.000121212121212121,0,9.3548276847959e-05,-2.19061016570139e-06,-4.59772091261165e-07
2020-04-11,"AG",21,2,99000,2,0,2,21,14,30,0.000212121212121212,2.02020202020202e-05,0.000141414141414141,0.000303030303030303,8.9984546820861e-05,-2.60798748004734e-06,-4.54458223021016e-07
2020-04-12,"AG",21,2,99000,0,0,0,21,14,0,0.000212121212121212,0,0.000141414141414141,0,8.61403828069252e-05,-2.99220944226052e-06,-4.41158959739681e-07
2020-04-13,"AG",23,2,99000,2,0,2,23,16,30,0.000232323232323232,2.02020202020202e-05,0.000161616161616162,0.000303030303030303,8.20687180425972e-05,-3.33675823789623e-06,-4.20054398159569e-07
2020-04-14,"AG",23,2,99000,0,0,0,23,14,0,0.000232323232323232,0,0.000141414141414141,0,7.78244887614815e-05,-3.63623154544292e-06,-3.91598913426664e-07
2020-04-15,"AG",23,2,99000,0,0,0,23,8,0,0.000232323232323232,0,8.08080808080808e-05,0,7.3463077927001e-05,-3.88651766177763e-06,-3.56505599026277e-07
2020-04-16,"AG",23,3,99000,0,1,0,23,8,0,0.000232323232323232,0,8.08080808080808e-05,0,6.90388130209508e-05,-4.0849106378347e-06,-3.15716745355552e-07
2020-04-17,"AG",23,3,99000,0,0,0,23,8,0,0.000232323232323232,0,8.08080808080808e-05,0,6.46057459698379e-05,-4.22980014183717e-06,-2.70302110298305e-07
2020-04-18,"AG",23,3,99000,0,0,0,23,8,0,0.000232323232323232,0,8.08080808080808e-05,0,6.02086886017507e-05,-4.32194903419575e-06,-2.21623265322539e-07
2020-04-19,"AG",23,3,99000,0,0,0,23,4,0,0.000232323232323232,0,4.04040404040404e-05,0,5.58928124048973e-05,-4.36265093961666e-06,-1.70982116953405e-07
2020-04-20,"AG",23,3,99000,0,0,0,23,4,0,0.000232323232323232,0,4.04040404040404e-05,0,5.16963785441651e-05,-4.3546850362194e-06,-1.19742248462746e-07
2020-04-21,"AG",23,3,99000,0,0,0,23,4,0,0.000232323232323232,0,4.04040404040404e-05,0,4.76517426727613e-05,-4.30188920903994e-06,-6.92285912103854e-08
2020-04-22,"AG",24,3,99000,1,0,1,24,5,15,0.000242424242424242,1.01010101010101e-05,5.05050505050505e-05,0.000151515151515152,4.3785102581869e-05,-4.20895173984697e-06,-2.06735170020462e-08
2020-04-23,"AG",24,3,99000,0,0,0,24,3,0,0.000242424242424242,0,3.03030303030303e-05,0,4.01164880198185e-05,-4.08154299166991e-06,2.47095250278771e-08
2020-04-24,"AG",24,3,99000,0,0,0,24,3,0,0.000242424242424242,0,3.03030303030303e-05,0,3.6659970139593e-05,-3.92478641035962e-06,6.61937706393564e-08
2020-04-25,"AG",24,3,99000,0,0,0,24,1,0,0.000242424242424242,0,1.01010101010101e-05,0,3.34240595663385e-05,-3.7447921397598e-06,1.0297646664281e-07
2020-04-26,"AG",24,3,99000,0,0,0,24,1,0,0.000242424242424242,0,1.01010101010101e-05,0,3.0412256027566e-05,-3.54735375276652e-06,1.34555213908814e-07
2020-04-27,"AG",24,3,99000,0,0,0,24,1,0,0.000242424242424242,0,1.01010101010101e-05,0,2.76239842206778e-05,-3.33795974201392e-06,1.60654911171003e-07
2020-04-28,"AG",24,3,99000,0,0,0,24,1,0,0.000242424242424242,0,1.01010101010101e-05,0,2.5054369802322e-05,-3.12178879659116e-06,1.81193823875969e-07
2020-04-29,"AG",24,3,99000,0,0,0,24,1,0,0.000242424242424242,0,1.01010101010101e-05,0,2.26961286050616e-05,-2.90339323579281e-06,1.96358292646184e-07
2020-04-30,"AG",24,3,99000,0,0,0,24,1,0,0.000242424242424242,0,1.01010101010101e-05,0,2.05398475900202e-05,-2.68668709159547e-06,2.06349886460691e-07
2020-05-01,"AG",25,3,99000,1,0,1,25,2,15,0.000252525252525253,1.01010101010101e-05,2.02020202020202e-05,0.000151515151515152,1.85746993361916e-05,-2.47489337169114e-06,2.1164979467811e-07
2020-05-02,"AG",25,3,99000,0,0,0,25,2,0,0.000252525252525253,0,2.02020202020202e-05,0,1.6789086590223e-05,-2.27052823955718e-06,2.12804252201557e-07
2020-05-03,"AG",25,3,99000,0,0,0,25,2,0,0.000252525252525253,0,2.02020202020202e-05,0,1.51711971456559e-05,-2.07546451250365e-06,2.10415871585046e-07
2020-05-04,"AG",25,3,99000,0,0,0,25,1,0,0.000252525252525253,0,1.01010101010101e-05,0,1.37094560116249e-05,-1.89081896511619e-06,2.05161638579162e-07
2020-05-05,"AG",25,3,99000,0,0,0,25,1,0,0.000252525252525253,0,1.01010101010101e-05,0,1.23928684254954e-05,-1.7172100299277e-06,1.97697200977518e-07
2020-05-06,"AG",25,3,99000,0,0,0,25,1,0,0.000252525252525253,0,1.01010101010101e-05,0,1.12112534188018e-05,-1.55476569520307e-06,1.886535660654e-07
2020-05-07,"AG",25,3,99000,0,0,0,25,1,0,0.000252525252525253,0,1.01010101010101e-05,0,1.01523533907183e-05,-1.40372432424555e-06,1.78528174574265e-07
2020-05-08,"AG",25,3,99000,0,0,0,25,1,0,0.000252525252525253,0,1.01010101010101e-05,0,9.2148772527007e-06,-1.26236822292038e-06,1.68026669439467e-07
2020-05-09,"AG",25,3,99000,0,0,0,25,1,0,0.000252525252525253,0,1.01010101010101e-05,0,8.38727181123199e-06,-1.13065422240399e-06,1.57468381683277e-07
2020-05-10,"AG",25,3,99000,0,0,0,25,1,0,0.000252525252525253,0,1.01010101010101e-05,0,7.6570640399671e-06,-1.0087319952763e-06,1.47014494973315e-07
2020-05-11,"AG",25,3,99000,0,0,0,25,1,0,0.000252525252525253,0,1.01010101010101e-05,0,7.03239520639792e-06,-8.93412203182912e-07,1.37299637790798e-07
2020-05-12,"AG",25,3,99000,0,0,0,25,1,0,0.000252525252525253,0,1.01010101010101e-05,0,6.58386181765958e-06,-7.712319335237e-07,1.30588960279895e-07
2020-05-13,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,6.1733157869458e-06,-6.63172933962084e-07,1.23425231713911e-07
2020-05-14,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,5.85825105283337e-06,-5.59437699977888e-07,1.17155087157082e-07
2020-05-15,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,5.64683992001339e-06,-4.56738648536433e-07,1.12319262311259e-07
2020-05-16,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,5.52595613639776e-06,-3.5518465059489e-07,1.08924557446901e-07
2020-05-17,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,5.50072687649602e-06,-2.55278054983649e-07,1.06355691366544e-07
2020-05-18,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,5.57276054451412e-06,-1.68516878857577e-07,1.00452509111021e-07
2020-05-19,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,5.76441345468712e-06,-6.81503887097799e-08,9.91704242087174e-08
2020-05-20,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,6.07336836989541e-06,3.58528861770062e-08,9.92150976924824e-08
2020-05-21,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,6.50758693077614e-06,1.43457835127124e-07,1.0003274727726e-07
2020-05-22,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,7.07748718855621e-06,2.58588508693075e-07,1.02295526547994e-07
2020-05-23,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,7.82040478333748e-06,3.86612984473576e-07,1.06981839909538e-07
2020-05-24,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,8.74484531749012e-06,5.28680795496e-07,1.16199612392263e-07
2020-05-25,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,9.88318102028689e-06,6.86461260933295e-07,1.25768608273846e-07
2020-05-26,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,1.12738683134244e-05,8.66749990588163e-07,1.38482850735193e-07
2020-05-27,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,1.29566271025153e-05,1.0748400286232e-06,1.55230365582679e-07
2020-05-28,"AG",25,3,99000,0,0,0,25,0,0,0.000252525252525253,0,0,0,1.49722435326592e-05,1.31579272401717e-06,1.76200702554016e-07
