"date","countrycode","cum_cases","cum_deaths","population","cases","deaths","cases_daily","cases_infected","cases_active","p_cases_infected","p_cases_daily","p_cases_active","p_cases_active_smooth"
2020-03-02,"MA",1,0,36471766,0,0,0,1,0,2.74184693990414e-08,0,0,1.64487192155448e-06
2020-03-03,"MA",1,0,36471766,0,0,0,1,0,2.74184693990414e-08,0,0,1.82090275983542e-06
2020-03-04,"MA",1,0,36471766,0,0,0,1,0,2.74184693990414e-08,0,0,2.01582034217071e-06
2020-03-05,"MA",2,0,36471766,1,0,1,2,10,5.48369387980829e-08,2.74184693990414e-08,2.74184693990414e-07,2.23024361646128e-06
2020-03-06,"MA",2,0,36471766,0,0,0,2,0,5.48369387980829e-08,0,0,2.46699745328788e-06
2020-03-07,"MA",2,0,36471766,0,0,0,2,0,5.48369387980829e-08,0,0,2.72779449652077e-06
2020-03-08,"MA",2,0,36471766,0,0,0,2,0,5.48369387980829e-08,0,0,3.01426205668297e-06
2020-03-09,"MA",2,0,36471766,0,0,0,2,0,5.48369387980829e-08,0,0,3.32878199964788e-06
2020-03-10,"MA",3,1,36471766,1,1,1,3,10,8.22554081971243e-08,2.74184693990414e-08,2.74184693990414e-07,3.67239026583185e-06
2020-03-11,"MA",5,1,36471766,2,0,2,5,20,1.37092346995207e-07,5.48369387980829e-08,5.48369387980829e-07,4.04768164722608e-06
2020-03-12,"MA",6,1,36471766,1,0,1,6,10,1.64510816394249e-07,2.74184693990414e-08,2.74184693990414e-07,4.45595597557921e-06
2020-03-13,"MA",7,1,36471766,1,0,1,7,10,1.9192928579329e-07,2.74184693990414e-08,2.74184693990414e-07,4.89919501891175e-06
2020-03-14,"MA",17,1,36471766,10,0,10,17,100,4.66113979783704e-07,2.74184693990414e-07,2.74184693990414e-06,5.37833761726941e-06
2020-03-15,"MA",28,1,36471766,11,0,11,28,110,7.6771714317316e-07,3.01603163389456e-07,3.01603163389456e-06,5.89542281284432e-06
2020-03-16,"MA",29,1,36471766,1,0,1,29,10,7.95135612572202e-07,2.74184693990414e-08,2.74184693990414e-07,6.45107684821147e-06
2020-03-17,"MA",38,2,36471766,9,1,9,38,90,1.04190183716357e-06,2.46766224591373e-07,2.46766224591373e-06,7.0465185784431e-06
2020-03-18,"MA",49,2,36471766,11,0,11,49,110,1.34350500055303e-06,3.01603163389456e-07,3.01603163389456e-06,7.68245403252631e-06
2020-03-19,"MA",63,2,36471766,14,0,14,63,140,1.72736357213961e-06,3.8385857158658e-07,3.8385857158658e-06,8.35915999524522e-06
2020-03-20,"MA",77,3,36471766,14,1,14,77,140,2.11122214372619e-06,3.8385857158658e-07,3.8385857158658e-06,9.07670919225175e-06
2020-03-21,"MA",96,3,36471766,19,0,19,96,190,2.63217306230798e-06,5.20950918581787e-07,5.20950918581787e-06,9.83471792400588e-06
2020-03-22,"MA",115,4,36471766,19,1,19,115,190,3.15312398088977e-06,5.20950918581787e-07,5.20950918581787e-06,1.0632756161319e-05
2020-03-23,"MA",143,4,36471766,28,0,28,143,280,3.92084112406293e-06,7.6771714317316e-07,7.6771714317316e-06,1.14700044028608e-05
2020-03-24,"MA",170,5,36471766,27,1,27,170,270,4.66113979783704e-06,7.40298673774119e-07,7.40298673774119e-06,1.23450447427219e-05
2020-03-25,"MA",225,6,36471766,55,1,55,225,550,6.16915561478432e-06,1.50801581694728e-06,1.50801581694728e-05,1.32566384066295e-05
2020-03-26,"MA",275,11,36471766,50,5,50,275,500,7.5400790847364e-06,1.37092346995207e-06,1.37092346995207e-05,1.42031167069409e-05
2020-03-27,"MA",345,23,36471766,70,12,70,345,700,9.4593719426693e-06,1.9192928579329e-06,1.9192928579329e-05,1.51821854110894e-05
2020-03-28,"MA",402,25,36471766,57,2,57,402,570,1.10222246984147e-05,1.56285275574536e-06,1.56285275574536e-05,1.61919211120448e-05
2020-03-29,"MA",479,26,36471766,77,1,77,479,770,1.31334468421408e-05,2.11122214372619e-06,2.11122214372619e-05,1.72292615291867e-05
2020-03-30,"MA",556,33,36471766,77,7,77,556,770,1.5244668985867e-05,2.11122214372619e-06,2.11122214372619e-05,1.82913755794905e-05
2020-03-31,"MA",617,36,36471766,61,3,61,617,610,1.69171956192086e-05,1.67252663334153e-06,1.67252663334153e-05,1.93751702983289e-05
2020-04-01,"MA",654,39,36471766,37,3,37,654,370,1.79316789869731e-05,1.01448336776453e-06,1.01448336776453e-05,2.04768971795354e-05
2020-04-02,"MA",708,44,36471766,54,5,54,708,540,1.94122763345213e-05,1.48059734754824e-06,1.48059734754824e-05,2.15929393767942e-05
2020-04-03,"MA",791,48,36471766,83,4,83,791,830,2.16880092946418e-05,2.27573296012044e-06,2.27573296012044e-05,2.27190478889445e-05
2020-04-04,"MA",919,59,36471766,128,11,128,919,1280,2.51975733777191e-05,3.5095640830773e-06,3.5095640830773e-05,2.38502788192907e-05
2020-04-05,"MA",1021,70,36471766,102,11,102,1021,1020,2.79942572564213e-05,2.79668387870223e-06,2.79668387870223e-05,2.49816701876917e-05
2020-04-06,"MA",1120,80,36471766,99,10,99,1120,990,3.07086857269264e-05,2.7144284705051e-06,2.7144284705051e-05,2.61079875399312e-05
2020-04-07,"MA",1184,90,36471766,64,10,64,1184,640,3.24634677684651e-05,1.75478204153865e-06,1.75478204153865e-05,2.72232686049824e-05
2020-04-08,"MA",1275,93,36471766,91,3,91,1275,910,3.49585484837778e-05,2.49508071531277e-06,2.49508071531277e-05,2.83217550843446e-05
2020-04-09,"MA",1374,97,36471766,99,4,99,1374,990,3.76729769542829e-05,2.7144284705051e-06,2.7144284705051e-05,2.93969555698194e-05
2020-04-10,"MA",1448,107,36471766,74,10,74,1448,740,3.9701943689812e-05,2.02896673552907e-06,2.02896673552907e-05,3.04425119857193e-05
2020-04-11,"MA",1545,111,36471766,97,4,97,1545,970,4.2361535221519e-05,2.65959153170702e-06,2.65959153170702e-05,3.14525292275728e-05
2020-04-12,"MA",1661,118,36471766,116,7,116,1661,1160,4.55420776718078e-05,3.18054245028881e-06,3.18054245028881e-05,3.24204669233116e-05
2020-04-13,"MA",1763,126,36471766,102,8,102,1763,1020,4.83387615505101e-05,2.79668387870223e-06,2.79668387870223e-05,3.33405178602682e-05
2020-04-14,"MA",1888,126,36471766,125,0,125,1888,1250,5.17660702253902e-05,3.42730867488018e-06,3.42730867488018e-05,3.42073396832382e-05
2020-04-15,"MA",2024,127,36471766,136,1,136,2024,1360,5.54949820636599e-05,3.72891183826964e-06,3.72891183826964e-05,3.5016069580966e-05
2020-04-16,"MA",2283,130,36471766,259,3,259,2283,2590,6.25963656380116e-05,7.10138357435173e-06,7.10138357435173e-05,3.57626981041996e-05
2020-04-17,"MA",2564,135,36471766,281,5,281,2564,2810,7.03009555391423e-05,7.70458990113065e-06,7.70458990113064e-05,3.64431003076524e-05
2020-04-18,"MA",2685,137,36471766,121,2,121,2685,1210,7.36185903364263e-05,3.31763479728401e-06,3.31763479728401e-05,3.70546515543028e-05
2020-04-19,"MA",2855,141,36471766,170,4,170,2855,1700,7.82797301342633e-05,4.66113979783704e-06,4.66113979783704e-05,3.75954609698266e-05
2020-04-20,"MA",3046,143,36471766,191,2,191,3046,1910,8.35166577894802e-05,5.23692765521691e-06,5.23692765521692e-05,3.80644905424385e-05
2020-04-21,"MA",3209,145,36471766,163,2,163,3209,1630,8.7985868301524e-05,4.46921051204375e-06,4.46921051204375e-05,3.8461423103669e-05
2020-04-22,"MA",3446,149,36471766,237,4,237,3446,2370,9.44840455490968e-05,6.49817724757282e-06,6.49817724757282e-05,3.87864858407894e-05
2020-04-23,"MA",3568,155,36471766,122,6,122,3568,1220,9.78290988157799e-05,3.34505326668306e-06,3.34505326668306e-05,3.9040685881519e-05
2020-04-24,"MA",3758,158,36471766,190,3,190,3758,1900,0.000103038608001598,5.20950918581787e-06,5.20950918581787e-05,3.92253513660669e-05
2020-04-25,"MA",3897,159,36471766,139,1,139,3897,1390,0.000106849775248064,3.81116724646676e-06,3.81116724646676e-05,3.93422397416823e-05
2020-04-26,"MA",4065,161,36471766,168,2,168,4065,1680,0.000111456078107103,4.60630285903896e-06,4.60630285903896e-05,3.93934822905846e-05
2020-04-27,"MA",4120,162,36471766,55,1,55,4120,550,0.000112964093924051,1.50801581694728e-06,1.50801581694728e-05,3.93806817559662e-05
2020-04-28,"MA",4252,165,36471766,132,3,132,4252,1320,0.000116583331884724,3.61923796067347e-06,3.61923796067347e-05,3.93057792086701e-05
2020-04-29,"MA",4321,168,36471766,69,3,69,4321,690,0.000118475206273258,1.89187438853386e-06,1.89187438853386e-05,3.9170908118957e-05
2020-04-30,"MA",4423,170,36471766,102,2,102,4423,1020,0.00012127189015196,2.79668387870223e-06,2.79668387870223e-05,3.89776720253759e-05
2020-05-01,"MA",4569,171,36471766,146,1,146,4569,1460,0.00012527498668422,4.00309653226005e-06,4.00309653226005e-05,3.87275346659829e-05
2020-05-02,"MA",4729,173,36471766,160,2,160,4729,1600,0.000129661941788067,4.38695510384663e-06,4.38695510384663e-05,3.84217424569491e-05
2020-05-03,"MA",4903,174,36471766,174,1,174,4903,1740,0.0001344327554635,4.77081367543321e-06,4.77081367543321e-05,3.80613224701959e-05
2020-05-04,"MA",5053,179,36471766,150,5,150,5053,1500,0.000138545525873356,4.11277040985622e-06,4.11277040985622e-05,3.76476088531347e-05
2020-05-05,"MA",5219,181,36471766,166,2,166,5219,1660,0.000143096991793597,4.55146592024088e-06,4.55146592024088e-05,3.71817560091191e-05
2020-05-06,"MA",5408,183,36471766,189,2,189,5408,1890,0.000148279082510016,5.18209071641883e-06,5.18209071641883e-05,3.6666914377452e-05
2020-05-07,"MA",5548,183,36471766,140,0,140,5548,1400,0.000152117668225882,3.8385857158658e-06,3.8385857158658e-05,3.61024301012534e-05
2020-05-08,"MA",5711,186,36471766,163,3,163,5711,1630,0.000156586878737926,4.46921051204375e-06,4.46921051204375e-05,3.54910448643441e-05
2020-05-09,"MA",5910,186,36471766,199,0,199,5910,1990,0.000162043154148335,5.45627541040925e-06,5.45627541040925e-05,3.48358549804012e-05
2020-05-10,"MA",6063,188,36471766,153,2,153,6063,1530,0.000166238179966388,4.19502581805334e-06,4.19502581805334e-05,3.41401117767185e-05
2020-05-11,"MA",6281,188,36471766,218,0,218,6281,2180,0.000172215406295379,5.97722632899103e-06,5.97722632899103e-05,3.34094250330498e-05
2020-05-12,"MA",6418,188,36471766,137,0,137,6418,1370,0.000175971736603048,3.75633030766868e-06,3.75633030766868e-05,3.26473533029897e-05
2020-05-13,"MA",6512,188,36471766,94,0,94,6512,940,0.000178549072726558,2.5773361235099e-06,2.5773361235099e-05,3.18594333594347e-05
2020-05-14,"MA",6607,190,36471766,95,2,95,6607,950,0.000181153827319467,2.60475459290894e-06,2.60475459290894e-05,3.10524768375304e-05
