"date","countrycode","cum_cases","cum_deaths","population","cases","deaths","cases_daily","cases_infected","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active","p_cases_active_smooth","p_cases_active_smooth_slope","p_cases_active_smooth_slope2"
2020-01-22,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,2.61271652524073e-11,4.35452754206788e-12,7.25754590344647e-13
2020-02-22,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,7.850705108571e-11,1.3084508514285e-11,2.1807514190475e-12
2020-02-23,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,1.80175671510246e-10,3.0029278585041e-11,5.00487976417351e-12
2020-02-24,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,3.71231126083481e-10,6.18718543472468e-11,1.03119757245411e-11
2020-02-25,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,7.18832976336828e-10,1.19805496056138e-10,1.9967582676023e-11
2020-02-26,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,1.3311197039891e-09,2.21853283998184e-10,3.69755473330306e-11
2020-02-27,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,2.37530539871373e-09,3.91529705576888e-10,6.45291963391367e-11
2020-02-28,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,4.09935898561135e-09,6.70141989087607e-10,1.09509580095554e-10
2020-02-29,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,6.93370682357598e-09,1.12558852534429e-09,1.82593207793208e-10
2020-03-01,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,1.13561229424246e-08,1.83081530272351e-09,2.94823908062711e-10
2020-03-02,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,1.80260277251464e-08,2.88453245813493e-09,4.60787827013132e-10
2020-03-03,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,2.78181886650264e-08,4.41451149350622e-09,6.98776368251339e-10
2020-03-04,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,4.18332828076411e-08,6.57632956815456e-09,1.03079997709628e-09
2020-03-05,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,6.13690894341916e-08,9.54495507476338e-09,1.4791355142793e-09
2020-03-06,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,8.78257673769219e-08,1.34820100922243e-08,2.05940359448001e-09
2020-03-07,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,1.22785280876231e-07,1.85715263223011e-08,2.79011850326294e-09
2020-03-08,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,1.67943377999159e-07,2.49862250456688e-08,3.68361543125565e-09
2020-03-09,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,2.25088976190593e-07,3.28784645875945e-08,4.74399218234805e-09
2020-03-10,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,2.96024281776314e-07,4.23651664947789e-08,5.96480615443739e-09
2020-03-11,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,3.82742877986861e-07,5.35622980921115e-08,7.33622383622469e-09
2020-03-12,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,4.87322469313909e-07,6.65827836561645e-08,8.85012892732336e-09
2020-03-13,"SZ",0,0,1093238,0,0,0,0,0,0,0,0,0,0,6.11982675968713e-07,8.15328991820802e-08,1.04935621432965e-08
2020-03-14,"SZ",1,0,1093238,1,0,1,1,1,1,9.14713904931954e-07,9.14713904931954e-07,9.14713904931954e-07,9.14713904931954e-07,7.59016447982665e-07,9.85121783305842e-08,1.22543255474859e-08
2020-03-15,"SZ",1,0,1093238,0,0,0,1,1,1,9.14713904931954e-07,0,9.14713904931954e-07,9.14713904931954e-07,9.30754821977397e-07,1.17610974297801e-07,1.4122084951701e-08
2020-03-16,"SZ",1,0,1093238,0,0,0,1,1,1,9.14713904931954e-07,0,9.14713904931954e-07,9.14713904931954e-07,1.12938491358478e-06,1.38893438634744e-07,1.60880453566609e-08
2020-03-17,"SZ",1,0,1093238,0,0,0,1,1,1,9.14713904931954e-07,0,9.14713904931954e-07,9.14713904931954e-07,1.35661142106567e-06,1.62311423846467e-07,1.81248542923927e-08
2020-03-18,"SZ",1,0,1093238,0,0,0,1,1,1,9.14713904931954e-07,0,9.14713904931954e-07,9.14713904931954e-07,1.61313340135211e-06,1.87635155339701e-07,2.01753952805894e-08
2020-03-19,"SZ",1,0,1093238,0,0,0,1,1,1,9.14713904931954e-07,0,9.14713904931954e-07,9.14713904931954e-07,1.89821858893252e-06,2.14372652160635e-07,2.21399588297591e-08
2020-03-20,"SZ",1,0,1093238,0,0,0,1,1,1,9.14713904931954e-07,0,9.14713904931954e-07,9.14713904931954e-07,2.20915820596737e-06,2.4169029299745e-07,2.38630191111444e-08
2020-03-21,"SZ",1,0,1093238,0,0,0,1,1,1,9.14713904931954e-07,0,9.14713904931954e-07,9.14713904931954e-07,2.54088942893332e-06,2.68355767825986e-07,2.51241322546976e-08
2020-03-22,"SZ",4,0,1093238,3,0,3,4,4,4,3.65885561972782e-06,2.74414171479586e-06,3.65885561972782e-06,3.65885561972782e-06,2.88568333015938e-06,2.92716402762433e-07,2.56371606879482e-08
2020-03-23,"SZ",4,0,1093238,0,0,0,4,4,4,3.65885561972782e-06,0,3.65885561972782e-06,3.65885561972782e-06,3.23324911922927e-06,3.12772949693935e-07,2.50769209745779e-08
2020-03-24,"SZ",4,0,1093238,0,0,0,4,4,3,3.65885561972782e-06,0,3.65885561972782e-06,2.74414171479586e-06,3.57118823047806e-06,3.26342471520992e-07,2.31178860302151e-08
2020-03-25,"SZ",4,0,1093238,0,0,0,4,4,3,3.65885561972782e-06,0,3.65885561972782e-06,2.74414171479586e-06,3.88579907884369e-06,3.31263414985196e-07,1.94817938040935e-08
2020-03-26,"SZ",6,0,1093238,2,0,2,6,5,5,5.48828342959173e-06,1.82942780986391e-06,4.57356952465977e-06,4.57356952465977e-06,4.16323121937287e-06,3.25678835567584e-07,1.39980904283556e-08
2020-03-27,"SZ",9,0,1093238,3,0,3,9,8,8,8.23242514438759e-06,2.74414171479586e-06,7.31771123945564e-06,7.31771123945564e-06,4.39096853771768e-06,3.08346518130727e-07,6.66512505079005e-09
2020-03-28,"SZ",9,0,1093238,0,0,0,9,8,8,8.23242514438759e-06,0,7.31771123945564e-06,7.31771123945564e-06,4.55905550261511e-06,2.78895362075955e-07,-2.30350678107978e-09
2020-03-29,"SZ",9,0,1093238,0,0,0,9,8,8,8.23242514438759e-06,0,7.31771123945564e-06,7.31771123945564e-06,4.66163450360411e-06,2.38064230729139e-07,-1.24514531607993e-08
2020-03-30,"SZ",9,0,1093238,0,0,0,9,8,8,8.23242514438759e-06,0,7.31771123945564e-06,7.31771123945564e-06,4.69794355011613e-06,1.87792553273011e-07,-2.309165304133e-08
2020-03-31,"SZ",9,0,1093238,0,0,0,9,8,8,8.23242514438759e-06,0,7.31771123945564e-06,7.31771123945564e-06,4.67246672821105e-06,1.31111274894559e-07,-3.33586900151061e-08
2020-04-01,"SZ",9,0,1093238,0,0,0,9,8,5,8.23242514438759e-06,0,7.31771123945564e-06,4.57356952465977e-06,4.59521810081935e-06,7.19978135744125e-08,-4.22801703321952e-08
2020-04-02,"SZ",9,0,1093238,0,0,0,9,8,5,8.23242514438759e-06,0,7.31771123945564e-06,4.57356952465977e-06,4.48107828917126e-06,1.50182919089314e-08,-4.88880377036325e-08
2020-04-03,"SZ",9,0,1093238,0,0,0,9,5,5,8.23242514438759e-06,0,4.57356952465977e-06,4.57356952465977e-06,4.34886981246365e-06,-3.50309483585758e-08,-5.23210517390884e-08
2020-04-04,"SZ",9,0,1093238,0,0,0,9,5,5,8.23242514438759e-06,0,4.57356952465977e-06,4.57356952465977e-06,4.21912338154103e-06,-7.37518536771795e-08,-5.1969347401053e-08
2020-04-05,"SZ",9,0,1093238,0,0,0,9,5,3,8.23242514438759e-06,0,4.57356952465977e-06,2.74414171479586e-06,4.11345233026848e-06,-9.74152033079423e-08,-4.75346260968256e-08
2020-04-06,"SZ",10,0,1093238,1,0,1,10,6,1,9.14713904931954e-06,9.14713904931954e-07,5.48828342959173e-06,9.14713904931954e-07,4.05271636455783e-06,-1.03291727275536e-07,-3.90671670283492e-08
2020-04-07,"SZ",10,0,1093238,0,0,0,10,4,1,9.14713904931954e-06,0,3.65885561972782e-06,9.14713904931954e-07,4.0568608066905e-06,-8.97262156881404e-08,-2.69540048770921e-08
2020-04-08,"SZ",12,0,1093238,2,0,2,12,3,3,1.09765668591835e-05,1.82942780986391e-06,2.74414171479586e-06,2.74414171479586e-06,4.14344984677532e-06,-5.62714070659913e-08,-1.18816164958204e-08
2020-04-09,"SZ",12,0,1093238,0,0,0,12,3,3,1.09765668591835e-05,0,2.74414171479586e-06,2.74414171479586e-06,4.32833150057402e-06,-3.42305198160444e-09,5.26798272949523e-09
2020-04-10,"SZ",12,0,1093238,0,0,0,12,3,3,1.09765668591835e-05,0,2.74414171479586e-06,2.74414171479586e-06,4.62648048067135e-06,6.78928498550539e-08,2.36074505887056e-08
2020-04-11,"SZ",12,0,1093238,0,0,0,12,3,3,1.09765668591835e-05,0,2.74414171479586e-06,2.74414171479586e-06,5.05291660448954e-06,1.56577379036843e-07,4.23320970574642e-08
