"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_infected","p_infected_low","p_infected_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_hospital","p_hospital_low","p_hospital_high","p_recent","p_recent_low","p_recent_high","p_daily","p_daily_low","p_daily_high","p_active","p_active_low","p_active_high"
"2023/07/04","ESCE",84777,2,56,1,6,0.910714285714286,0.836028811871163,0.985399759557408,0,0,0,0.0892857142857143,0.014600240442592,0.163971188128837,0,0,0,0,0,0,0,0,0
"2023/07/04","ESML",86487,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07/04","ESC",1119596,18,428,8,207,0.651869158878505,0.606737876559354,0.697000441197656,0.0188235294117647,0.00590307711574258,0.0317439817077868,0.0658823529411765,0.0422971854368594,0.0894675204454936,0.0241545893719807,0.00323981134281659,0.0450693674011448,0.00345065562456867,0,0.0114391168510852,0.0483091787439614,0.0190995736199084,0.0775187838680143
"2023/07/04","ESVI",331549,1,100,1,100,0.95,0.907283575292053,0.992716424707947,0,0,0,0.01,0,0.0295013954179879,0,0,0,0,0,0,0,0,0
"2023/07/04","ESAB",388167,2,85,2,85,0.552941176470588,0.447244719482857,0.65863763345832,0,0,0,0,0,0,0.0117647058823529,0,0.034687066756159,0.00168067226890756,0,0.0103886013803228,0,0,0
"2023/07/04","ESA",1858683,15,476,6,151,0.592436974789916,0.548293849141477,0.636580100438355,0.0147058823529412,0.00389221257215237,0.02551955213373,0.0588235294117647,0.0376859289546201,0.0799611298689093,0,0,0,0,0,0,0,0,0
"2023/07/04","ESAL",716820,6,124,1,30,0.620967741935484,0.53557718328872,0.706358300582248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023/07/04","ESO",1022800,4,175,0,0,0.542857142857143,0.469050098497931,0.616664187216354,0.0125,0,0.0297151835812792,0.0125,0,0.0297151835812792,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07/04","ESAV",157640,1,38,0,0,0.947368421052632,0.87637159328319,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07/04","ESBA",673559,1,15,1,15,0.0666666666666667,0,0.1929003400397,0,0,0,0,0,0,0.0666666666666667,0,0.1929003400397,0.00952380952380952,0,0.0586745236337683,0,0,0
"2023/07/04","ESPM",1149460,2,60,0,0,0.966666666666667,0.921246344530366,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
