"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_infected","p_infected_low","p_infected_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_hospital","p_hospital_low","p_hospital_high","p_recent","p_recent_low","p_recent_high","p_daily","p_daily_low","p_daily_high","p_active","p_active_low","p_active_high"
"2022/10/23","FR01",614331,5,78,2,23,0.397435897435897,0.288834362648101,0.506037432223694,0,0,0,0.0232558139534884,0,0.0683032474545791,0,0,0,0,0,0,0,0,0
"2022/10/23","FR02",555094,3,60,3,60,0.0833333333333333,0.0133994632577105,0.153267203408956,0,0,0,0.0222222222222222,0,0.0652903168500976,0,0,0,0,0,0,0,0,0
"2022/10/23","FR03",353124,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR04",165155,2,35,2,35,0.485714285714286,0.320134720551221,0.65129385087735,0,0,0,0,0,0,0.0285714285714286,0,0.0837646169591168,0.00408163265306122,0,0.0252040148982692,0.0285714285714286,0,0.0837646169591168
"2022/10/23","FR06",1094579,23,289,15,175,0.487889273356401,0.430260186134895,0.545518360577908,0,0,0,0.015,0,0.0318460016139967,0.0242424242424242,0.000775017084519779,0.0477098314003287,0.00346320346320346,0,0.0124269959122278,0.0171428571428571,0,0.0363744771285186
"2022/10/23","FR07",324885,3,65,1,20,0.415384615384615,0.295586017136852,0.535183213632379,0.0571428571428571,0,0.134041379068973,0.0571428571428571,0,0.134041379068973,0.05,0,0.145516829402721,0.00714285714285714,0,0.044050172663911,0.1,0,0.231478381086487
"2022/10/23","FR08",291678,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR09",157582,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR10",311720,1,15,0,0,0.333333333333333,0.0947741141710458,0.571892552495621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR11",365854,1,15,1,15,0.8,0.597575790098934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022/10/23","FR12",288364,2,27,2,27,0.222222222222222,0.0654071807157733,0.379037263728671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022/10/23","FR67",1115226,19,261,11,159,0.432950191570881,0.372838713145796,0.493061669995966,0.00446428571428571,0,0.013194572193212,0.0287081339712919,0.00606939114297131,0.0513468767996124,0.0628930817610063,0.0251579788490818,0.100628184672931,0.00898472596585804,0,0.0236517539548411,0.0817610062893082,0.0391717056479707,0.124350306930646
"2022/10/23","FR13",2000550,25,428,14,235,0.558411214953271,0.511366343080849,0.605456086825693,0,0,0,0.00826446280991736,0,0.0175776864358311,0.00425531914893617,0,0.0125778272452066,0.00060790273556231,0,0.00375927105095281,0.00425531914893617,0,0.0125778272452066
"2022/10/23","FR14",699561,7,85,7,85,0.364705882352941,0.262377188841685,0.467034575864198,0,0,0,0,0,0,0.0266666666666667,0,0.0631280065277497,0.00380952380952381,0,0.017751489131763,0.0470588235294118,0.00204020046742162,0.0920774465914019
"2022/10/23","FR15",154135,1,3,1,3,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2022/10/23","FR16",364429,9,129,4,60,0.271317829457364,0.194588487339966,0.348047171574763,0,0,0,0,0,0,0.0166666666666667,0,0.0490593720655673,0.00238095238095238,0,0.0147128578487627,0.0166666666666667,0,0.0490593720655673
"2022/10/23","FR17",640803,1,8,1,8,0.75,0.449943020227793,1,0,0,0,0,0,0,0.125,0,0.354172303767662,0.0178571428571429,0,0.109626230762519,0,0,0
"2022/10/23","FR18",319600,1,15,1,15,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0
"2022/10/23","FR19",252235,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR2A",145998,1,20,1,20,0.15,0,0.306490574738305,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"2022/10/23","FR21",538505,1,15,0,0,0.866666666666667,0.694639167281811,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR22",612383,6,95,5,80,0.631578947368421,0.534578814209384,0.728579080527458,0,0,0,0,0,0,0.0125,0,0.0368459460993876,0.00178571428571429,0,0.0110374022021743,0.0125,0,0.0368459460993876
"2022/10/23","FR23",127919,4,55,1,15,0.254545454545455,0.139423009997755,0.369667899093154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022/10/23","FR79",380569,1,15,0,0,0.666666666666667,0.428107447504379,0.905225885828954,0,0,0,0.0666666666666667,0,0.1929003400397,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR24",426607,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/10/23","FR25",542509,4,46,1,15,0.804347826086957,0.689708543323254,0.918987108850659,0.025,0,0.0733827342019907,0.075,0,0.156624323226238,0,0,0,0,0,0,0,0,0
"2022/10/23","FR26",499313,1,15,0,0,0.866666666666667,0.694639167281811,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
