"date","region","regionname","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","cases","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error","p_vaccinated","p_vaccinated_error","p_refusevaccine","p_refusevaccine_error","p_longcovid","p_longcovid_error","p_vaccinesideeffects","p_vaccinesideeffects_error"
"2023/07/04","ESCE","Ciudad Autónoma:Ceuta",84777,3,96,1,6,0.84375,0.0726322303481908,71530.59375,0,0,0,0,0,0,0,0,0.791666666666667,0.0812387131545612,NA,NA,0,0,NA,NA
"2023/07/04","ESML","Ciudad Autónoma:Melilla",86487,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/07/04","ESC","Provincia:A Coruña",1119596,37,1438,9,432,0.613351877607789,0.0251698976937488,686706.30876217,0.033195020746888,0.0101148740424429,0.0162037037037037,0.011906002127764,0.00231481481481481,0.00453169952177901,0.0462962962962963,0.0198146349964832,0.868292682926829,0.0174968618454849,NA,NA,0.10207468879668,0.0170936066814916,NA,NA
"2023/07/04","ESVI","Provincia:Álava",331549,5,280,1,100,0.575,0.0579025196622715,190640.675,0.025,0.0182869546354009,0,0,0,0,0,0,0.607142857142857,0.0572047177704258,NA,NA,0.0107142857142857,0.0120590072399058,NA,NA
"2023/07/04","ESAB","Provincia:Albacete",388167,7,425,2,85,0.651764705882353,0.0452934537587694,252993.550588235,0.00235294117647059,0.00460625126254987,0.0117647058823529,0.0229223608738061,0.00168067226890756,0.00870792911141519,0,0,0.788235294117647,0.0388426055168857,NA,NA,0.00705882352941176,0.00795942232340721,NA,NA
"2023/07/04","ESA","Provincia:Alicante",1858683,37,1625,6,151,0.376615384615385,0.0235585456689474,700008.612923077,0.00811992504684572,0.00439600338676293,0,0,0,0,0,0,0.675744680851064,0.026764801706752,NA,NA,0.0137414116177389,0.00570247642566607,NA,NA
"2023/07/04","ESAL","Provincia:Almería",716820,11,274,1,30,0.525547445255474,0.0591255466393242,376722.919708029,0,0,0,0,0,0,0,0,0.886861313868613,0.0375064733652411,NA,NA,0.0347826086956522,0.023679788424799,NA,NA
"2023/07/04","ESO","Provincia:Asturias",1022800,20,1273,1,200,0.615868028279654,0.0267188613575847,629909.819324431,0.00160901045856798,0.00222813903236714,0,0,0,0,0,0,0.770620581304006,0.0230957151712867,NA,NA,0.00482703137570394,0.00385302540954478,NA,NA
"2023/07/04","ESAV","Provincia:Ávila",157640,1,38,0,0,0.947368421052632,0.0709968277694411,149343.157894737,0,0,NA,NA,NA,NA,NA,NA,0.947368421052632,0.0709968277694411,NA,NA,0.0263157894736842,0.0508948171167447,NA,NA
"2023/07/04","ESBA","Provincia:Badajoz",673559,7,226,1,15,0.367256637168142,0.0628481498429391,247369.013274336,0,0,0.0666666666666667,0.126233673373033,0.00952380952380952,0.0491507141099588,0,0,0.752212389380531,0.0562864562242777,NA,NA,0.0158730158730159,0.0218231839682176,NA,NA
