"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2020/03/15","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/16","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/17","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/18","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/19","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/20","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/21","ESMD",6663394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/22","ESMD",6663394,100,10382,100,10382,0.0420920824503949,0.00386251044115608,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/23","ESMD",6663394,100,10582,100,10582,0.0413910413910414,0.00379523026596956,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/24","ESMD",6663394,100,11135,100,11135,0.0487651549169286,0.00400038379928892,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/25","ESMD",6663394,100,10277,100,10277,0.0493334630728812,0.004186969697369,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/26","ESMD",6663394,100,9722,100,9722,0.0522526229170952,0.00442354679649312,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/27","ESMD",6663394,100,9377,100,9377,0.0550282606377306,0.00461549660764565,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/28","ESMD",6663394,100,9569,100,9569,0.0618664437245271,0.0048269713942892,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/29","ESMD",6663394,100,8860,100,8860,0.0613995485327314,0.0049986669122699,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/30","ESMD",6663394,100,8755,100,8755,0.0675042832667047,0.0052554402617426,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/31","ESMD",6663394,100,8365,100,8365,0.0637178720860729,0.00523418558402335,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/01","ESMD",6663394,100,9731,100,9731,0.0624807316822526,0.00480875343181153,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/02","ESMD",6663394,100,9888,100,9888,0.0705906148867314,0.00504859893576092,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/03","ESMD",6663394,100,9670,100,9670,0.0760082730093071,0.00528201132292093,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/04","ESMD",6663394,100,10229,100,10229,0.0764493107830677,0.00514930548496267,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/05","ESMD",6663394,100,10462,100,10462,0.0672911489199006,0.0048005694159076,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/06","ESMD",6663394,100,10609,100,10609,0.0699406164577246,0.00485323067207271,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/07","ESMD",6663394,100,10342,100,10342,0.0726165151808161,0.00500141859969826,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/08","ESMD",6663394,100,9727,100,9727,0.0773105788012748,0.00530769386833637,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/09","ESMD",6663394,100,7172,100,7172,0.115170105967652,0.00738801429748273,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/10","ESMD",6663394,100,7792,100,7792,0.110369609856263,0.00695749940486333,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/11","ESMD",6663394,100,8747,100,8747,0.0960329255744827,0.00617454433967401,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/12","ESMD",6663394,100,8428,100,8428,0.0950403417180826,0.0062611546629359,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/13","ESMD",6663394,100,8154,100,8154,0.101545253863135,0.00655602582893845,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/14","ESMD",6663394,100,8160,100,8160,0.085906862745098,0.00608012020522415,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/15","ESMD",6663394,100,8032,100,8032,0.0932519920318725,0.00635928963046893,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/16","ESMD",6663394,100,7216,100,7216,0.0916019955654102,0.00665564856391339,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/17","ESMD",6663394,100,7454,100,7454,0.089079688757714,0.0064667032963998,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/18","ESMD",6663394,100,7809,100,7809,0.092201306185171,0.00641672892912981,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/19","ESMD",6663394,100,7889,100,7889,0.0940550133096717,0.00644138118841843,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/20","ESMD",6663394,100,7797,100,7797,0.0942670257791458,0.00648581140168038,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/21","ESMD",6663394,100,8050,100,8050,0.10944099378882,0.00681979805761559,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/22","ESMD",6663394,100,7920,93,7320,0.110479797979798,0.00690406456079634,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/23","ESMD",6663394,100,8075,57,4921,0.118018575851393,0.00703690567278807,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/24","ESMD",6663394,100,8345,55,4827,0.124745356500899,0.00708947909966428,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/25","ESMD",6663394,100,8452,53,4613,0.124822527212494,0.00704632868628315,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/26","ESMD",6663394,100,8458,60,5148,0.129699692598723,0.00716008688688971,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/27","ESMD",6663394,100,8394,61,5348,0.127114605670717,0.00712590370364903,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/28","ESMD",6663394,100,8544,54,4693,0.126053370786517,0.00703780385520584,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/29","ESMD",6663394,100,8522,51,4451,0.126026754283032,0.00704624550682267,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/30","ESMD",6663394,100,8532,46,3921,0.126699484294421,0.00705816732089055,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/01","ESMD",6663394,100,8438,46,3661,0.130599668167812,0.00718967514794108,0,0,NA,NA,NA,NA,NA,NA
"2020/05/02","ESMD",6663394,100,8406,40,3033,0.131572686176541,0.00722608400532094,0,0,NA,NA,NA,NA,NA,NA
"2020/05/03","ESMD",6663394,100,8396,33,2488,0.1304192472606,0.00720340246198727,0,0,NA,NA,NA,NA,NA,NA
"2020/05/04","ESMD",6663394,100,8306,31,2448,0.128942932819648,0.00720732662395215,0,0,NA,NA,NA,NA,NA,NA
"2020/05/05","ESMD",6663394,100,8156,30,2338,0.12873957822462,0.00726841166108911,0,0,NA,NA,NA,NA,NA,NA
"2020/05/06","ESMD",6663394,100,8446,32,2590,0.1298839687426,0.00716950072275253,0,0,0,0,0,0,0,0
"2020/05/07","ESMD",6663394,100,8708,57,5087,0.126320624712908,0.00697753550417049,0,0,0.00480576692030437,0.00271252717041909,0.00104516200011002,0.00124273019064813,0.00878117316473481,0.00342701021813671
"2020/05/08","ESMD",6663394,100,8725,55,5084,0.11702005730659,0.00674482903244781,0,0,0.00401978973407545,0.00218074610884909,0.000856971462850287,0.000993258532660718,0.00948660714285714,0.00317358200257707
"2020/05/09","ESMD",6663394,100,8615,56,5264,0.122112594312246,0.0069138521557536,0,0,0.00419697817571349,0.00211946325822993,0.000855431993156544,0.000945334320407223,0.00891946992864424,0.00294176235906453
"2020/05/10","ESMD",6663394,100,8857,57,5524,0.121711640510331,0.00680909494837932,0,0,0.00362844702467344,0.00183287947572591,0.000742290302989405,0.000820348355060918,0.00847457627118644,0.00268303422514252
"2020/05/11","ESMD",6663394,100,8703,57,5320,0.120762955302769,0.00684594576789618,0,0,0.0034965034965035,0.00176634625469534,0.000715912788805727,0.000791207466580626,0.0084051724137931,0.00262681531901296
"2020/05/12","ESMD",6663394,100,8485,59,5367,0.120683559222157,0.00693136580300746,0,0,0.0032559149120903,0.00164500545277388,0.000667698564448086,0.000737940210522495,0.00887633649384709,0.00261107551934975
"2020/05/13","ESMD",6663394,100,8748,60,5610,0.120827617741198,0.00682989188200376,0,0,0.00298210735586481,0.00150687494420979,0.000612642717905876,0.000677111160100365,0.0104089219330855,0.00271198769333601
"2020/05/14","ESMD",6663394,100,7068,100,7068,0.0881437464629315,0.00660935020203803,NA,NA,0.00199231535505906,0.00104257930017173,0.000284616479294151,0.000394394929495007,0.00541965724329867,0.00174156218392457
"2020/05/15","ESMD",6663394,100,6584,100,6584,0.0795868772782503,0.0065375543633752,NA,NA,0.00339202067517364,0.00144830194655847,0.000571337157483374,0.000592373301825448,0.00522755227552276,0.00175254384127859
"2020/05/16","ESMD",6663394,100,7003,100,7003,0.0769670141367985,0.00624262084174274,NA,NA,0.00359281437125748,0.00143481422865722,0.000593471810089021,0.000581419082058773,0.00572000572000572,0.00176753860895491
"2020/05/17","ESMD",6663394,100,7241,100,7241,0.0805137411959674,0.00626695307123795,NA,NA,0.00331268903932018,0.00135158794121861,0.000550784357724241,0.000549512014801005,0.00567003180749551,0.00173064073720757
"2020/05/18","ESMD",6663394,100,7307,100,7307,0.0812919118653346,0.00626600844817116,NA,NA,0.00328149522043087,0.0013388817126218,0.000545641937635147,0.000544382874480962,0.00589283267096067,0.00175612156107363
"2020/05/19","ESMD",6663394,100,7459,100,7459,0.0811100683737766,0.00619550793672937,NA,NA,0.00391006842619746,0.00144544878404244,0.000633074168595564,0.000580148536926402,0.00563834071687475,0.00170038375480031
"2020/05/20","ESMD",6663394,100,7469,100,7469,0.0826081135359486,0.00624317719059484,NA,NA,0.00390461581369405,0.00144343704823229,0.000632198668431555,0.000579346483218435,0.00549671537739643,0.00167788628112912
"2020/05/21","ESMD",6663394,100,7554,100,7554,0.0827376224516812,0.00621237852302881,NA,NA,0.00385887541345094,0.0014265607393819,0.000624853549949231,0.000572617525306446,0.00530222693531283,0.00163878499859269
