"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2022/07/23","BRDF",2914830,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRAC",803513,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRAL",3340932,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRAM",3938336,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRAP",766679,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRBA",15203934,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRCE",8904459,1,20,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRES",3929911,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRFN",3061,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRGO",6610681,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRMA",6904241,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRMG",20869101,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRMS",2651235,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRMT",3265486,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRPA",8175113,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRPB",3972202,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRPE",9345173,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRPI",3204028,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRPR",11163018,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRRJ",16550024,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRRN",3442175,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRRO",1768204,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRRR",505665,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRRS",11247972,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRSC",6819190,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRSE",2242937,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRSP",44396484,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/23","BRTO",1515126,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
