"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2022/10/16","CLAI",103158,6,260,1,60,0.226923076923077,0.0509110558011573,0,0,0,0,0,0,0,0
"2022/10/16","CLAN",607534,13,483,3,150,0.32712215320911,0.0418405725535189,0.0269151138716356,0.014432713811452,0.0333333333333333,0.0287263340018553,0.00476190476190476,0.0110168214233683,0.02,0.0224042544896581
"2022/10/16","CLAP",226068,8,207,3,80,0.338164251207729,0.0644468769238348,0.0112994350282486,0.0155712046874776,0.025,0.0342117594465739,0.00357142857142857,0.0130721543695701,0.025,0.0342117594465739
"2022/10/16","CLAR",957224,54,1853,13,344,0.293038316243929,0.0207238540311248,0.0005941770647653,0.00116421961687218,0.0174418604651163,0.0138338926892221,0.00249169435215947,0.00526834872026181,0.00581395348837209,0.00803412303068687
"2022/10/16","CLAT",286168,15,348,3,70,0.609195402298851,0.051264486288381,0,0,0.0142857142857143,0.0277987697479265,0.00204081632653061,0.0105720064773301,0,0
"2022/10/16","CLBI",1556805,89,2547,25,735,0.36866902237927,0.0187361559210808,0.00289735099337748,0.00214323659507917,0.0041958041958042,0.00473794104582844,0.000599400599400599,0.00179400421615787,0.019047619047619,0.00988208835563725
"2022/10/16","CLCO",757586,40,1124,10,340,0.427046263345196,0.0289175953688097,0.00317796610169492,0.00359042234967542,0.00294117647058824,0.00575611635912399,0.000420168067226891,0.00217835620180114,0.00294117647058824,0.00575611635912399
"2022/10/16","CLLI",914555,40,931,8,191,0.47046186895811,0.0320615182671814,0.0110294117647059,0.00716590217255138,0.00523560209424084,0.0102346934839247,0.00074794315632012,0.00387706631298957,0,0
"2022/10/16","CLLL",828708,24,547,7,125,0.287020109689214,0.0379096025496953,0.00454545454545455,0.00628522934307129,0,0,0,0,0,0
"2022/10/16","CLLR",384837,17,553,3,34,0.280289330922242,0.0374341330138211,0,0,0,0,0,0,0,0
"2022/10/16","CLMA",166533,3,128,0,0,0.3203125,0.0808322543700604,0.0078125,0.0152522879936616,NA,NA,NA,NA,NA,NA
"2022/10/16","CLML",1044950,42,1142,8,166,0.359894921190893,0.0278373913236326,0.0018034265103697,0.00249712096043675,0.00602409638554217,0.0117713949449363,0.000860585197934595,0.004460710400985,0.00602409638554217,0.0117713949449363
"2022/10/16","CLNB",480609,20,526,8,199,0.414448669201521,0.0420991260091779,0.00391389432485323,0.00541365567447881,0.0100502512562814,0.0138585115245467,0.00143575017946877,0.00526076617569541,0,0
"2022/10/16","CLRM",7112808,300,9020,146,4367,0.459645232815965,0.010284796335583,0.00367647058823529,0.00127146494591104,0.0120084765716977,0.00327587655111644,0.00196607684361358,0.00132600220093611,0.00618273414243188,0.00232487736902318
"2022/10/16","CLTA",330558,3,32,1,7,0.4375,0.171879227825746,0,0,0,0,0,0,0,0
"2022/10/16","CLVS",1815902,147,4401,40,1186,0.384230856623495,0.0143706855788718,0.00681551116333725,0.00247207982166356,0.0085397096498719,0.00527022137741418,0.00121995852141027,0.00199929602991152,0.00590219224283305,0.00435940261158057
