"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2023/01/06","GRA",606170,84,2291,21,512,0.758184199039721,0.0175333639914361,0.00353825740822645,0.00244750076860721,0.0234375,0.0131044492948034,0.00334821428571429,0.00500370223830357,0.015625,0.0107424517391091
"2023/01/06","GRI",3812330,300,8527,170,5098,0.753137093936906,0.00915197652014877,0.00750151240169389,0.00186022726168389,0.0308872712964785,0.00475625309174069,0.00441246732806835,0.00182208449390395,0.0219693997646136,0.00402377319085096
"2023/01/06","GRG",680190,21,580,4,188,0.586206896551724,0.0400821657897252,0.00344827586206897,0.00477073197080519,0.0478723404255319,0.0305182121220499,0.00683890577507599,0.0117807333369854,0.0159574468085106,0.0179125662100079
"2023/01/06","GRC",282120,31,845,10,324,0.674556213017751,0.0315912494161222,0.00946745562130178,0.00652936204090327,0.0401234567901235,0.0213689137610579,0.00573192239858906,0.0082201072693024,0.0524691358024691,0.0242786326559881
"2023/01/06","GRF",206470,24,982,7,145,0.512219959266802,0.0312631409453733,0.0221052631578947,0.00934932350426331,0.0482758620689655,0.0348886890362915,0.00689655172413793,0.0134703020352146,0.0482758620689655,0.0348886890362915
"2023/01/06","GRD",336650,32,970,6,205,0.735051546391753,0.0277716584992209,0.00827300930713547,0.00570903462485113,0.0315789473684211,0.024865787980162,0.00696864111498258,0.0113874554672239,0.0439024390243902,0.0280457197403128
"2023/01/06","GRB",1874590,300,8554,89,2445,0.648585457096095,0.010117120820878,0.0104958378574014,0.00219388768517847,0.0389233954451346,0.00771389788411116,0.00556048506359065,0.00296575348395221,0.0336755646817248,0.00716502207010912
"2023/01/06","GRM",621340,44,1453,13,416,0.663454920853407,0.0242964384438602,0.00827586206896552,0.00466300792667519,0.0336538461538462,0.0173294643694975,0.00480769230769231,0.0066469630332268,0.0264423076923077,0.0154181387371006
"2023/01/06","GRL",308610,31,854,7,98,0.557377049180328,0.0333127634741901,0.00372670807453416,0.00420922442637844,0,0,0,0,0.0306122448979592,0.0341060486713027
"2023/01/06","GRJ",581980,38,970,8,260,0.696907216494845,0.0289226114196583,0.00346020761245675,0.00390874144217815,0.00769230769230769,0.0106197164203132,0.0010989010989011,0.00402718857683213,0.00384615384615385,0.00752381227635062
"2023/01/06","GRH",546870,26,747,4,70,0.736278447121821,0.0315996044340307,0.00749625187406297,0.00654595984731394,0.0428571428571429,0.0474459404807572,0.00612244897959184,0.0182737676656699,0.0428571428571429,0.0474459404807572
"2023/01/06","GRE",730730,72,2333,18,648,0.725675096442349,0.01810482990097,0.0101634997790544,0.00413246503112651,0.0216049382716049,0.0111942300821584,0.00308641975308642,0.00427087478723972,0.0262345679012346,0.0123062213533732
"2023/01/06","GRK",197810,13,254,2,50,0.633858267716535,0.0592450306352076,0,0,0,0,0,0,0,0
