"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2020/03/28","GRI",3812330,13,696,13,696,0.00718390804597701,0.00627419854168701,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/29","GRI",3812330,14,746,14,746,0.00670241286863271,0.00585509513474996,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/30","GRI",3812330,24,1245,24,1245,0.00642570281124498,0.00443837412141011,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/31","GRI",3812330,30,1475,30,1475,0.00677966101694915,0.00418773192579852,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/01","GRI",3812330,41,1929,41,1929,0.00881285640228098,0.00417078837333962,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/02","GRI",3812330,60,3116,60,3116,0.0141206675224647,0.00414275129212499,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/03","GRI",3812330,61,3141,61,3141,0.0143266475644699,0.00415578354667773,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/04","GRI",3812330,65,3301,52,2605,0.0202968797334141,0.00481046671138835,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/05","GRI",3812330,65,3301,51,2555,0.0202968797334141,0.00481046671138835,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/06","GRI",3812330,68,3401,44,2156,0.0202881505439577,0.0047382195996182,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/07","GRI",3812330,85,4311,55,2836,0.0178612850846671,0.00395368300758268,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/08","GRI",3812330,93,4891,52,2962,0.0163565732978941,0.00355479261070364,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/09","GRI",3812330,93,4891,33,1775,0.0163565732978941,0.00355479261070364,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/10","GRI",3812330,94,4991,33,1850,0.0160288519334803,0.00348414881869494,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/11","GRI",3812330,98,5181,33,1880,0.0154410345493148,0.00335737890884962,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/12","GRI",3812330,99,5201,34,1900,0.015381657373582,0.00334456924408543,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/13","GRI",3812330,100,5381,34,2050,0.0148671250696896,0.00323353449682168,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/14","GRI",3812330,100,5376,19,1260,0.0150669642857143,0.00325637710482992,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/15","GRI",3812330,100,5371,12,705,0.0152671755725191,0.00327913330476715,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/16","GRI",3812330,100,5456,13,805,0.0150293255131965,0.00322843692435137,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/17","GRI",3812330,100,5336,14,835,0.0155547226386807,0.00332022187263766,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/18","GRI",3812330,100,5336,10,645,0.0155547226386807,0.00332022187263766,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/19","GRI",3812330,100,5357,10,666,0.0156804181444839,0.00332685712555254,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/20","GRI",3812330,100,5372,8,441,0.0158227848101266,0.00333701534005749,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/21","GRI",3812330,100,5372,6,321,0.0158227848101266,0.00333701534005749,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/22","GRI",3812330,100,5372,5,296,0.0158227848101266,0.00333701534005749,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/23","GRI",3812330,100,5372,4,196,0.0158227848101266,0.00333701534005749,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/24","GRI",3812330,100,5372,2,66,0.0158227848101266,0.00333701534005749,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/25","GRI",3812330,100,5372,2,66,0.0158227848101266,0.00333701534005749,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/26","GRI",3812330,100,5372,1,25,0.0158227848101266,0.00333701534005749,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/27","GRI",3812330,100,5273,1,1,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/28","GRI",3812330,100,5273,1,1,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/29","GRI",3812330,100,5273,1,1,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/30","GRI",3812330,100,5273,1,1,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/01","GRI",3812330,100,5273,1,1,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/02","GRI",3812330,100,5273,1,1,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/03","GRI",3812330,100,5273,1,1,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/04","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/05","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/06","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/07","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/08","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/09","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/10","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/11","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/12","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/13","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/14","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/15","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/16","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/17","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/18","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/19","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/20","GRI",3812330,100,5273,0,0,0.0157405651431822,0.00335957359443491,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/21","GRI",3812330,100,5252,1,15,0.0165651180502666,0.00345188091002199,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/22","GRI",3812330,100,5252,1,15,0.0165651180502666,0.00345188091002199,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/23","GRI",3812330,100,5252,1,15,0.0165651180502666,0.00345188091002199,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","GRI",3812330,100,5252,1,15,0.0165651180502666,0.00345188091002199,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/25","GRI",3812330,100,5252,1,15,0.0165651180502666,0.00345188091002199,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/26","GRI",3812330,100,5237,2,40,0.0168035134619057,0.00348118426755558,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/27","GRI",3812330,100,5237,2,40,0.0168035134619057,0.00348118426755558,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/28","GRI",3812330,100,5237,1,25,0.0168035134619057,0.00348118426755558,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/29","GRI",3812330,100,5237,1,25,0.0168035134619057,0.00348118426755558,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/30","GRI",3812330,100,5237,1,25,0.0168035134619057,0.00348118426755558,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/31","GRI",3812330,100,5237,1,25,0.0168035134619057,0.00348118426755558,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/01","GRI",3812330,100,5237,1,25,0.0168035134619057,0.00348118426755558,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/02","GRI",3812330,100,5237,0,0,0.0168035134619057,0.00348118426755558,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/03","GRI",3812330,100,5237,0,0,0.0168035134619057,0.00348118426755558,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/04","GRI",3812330,100,5237,0,0,0.0168035134619057,0.00348118426755558,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/05","GRI",3812330,100,5197,2,60,0.0169328458726188,0.00350774733383369,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/06","GRI",3812330,100,5182,3,65,0.016981860285604,0.00351781328299411,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/07","GRI",3812330,100,5182,3,65,0.016981860285604,0.00351781328299411,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/08","GRI",3812330,100,5182,3,65,0.016981860285604,0.00351781328299411,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/09","GRI",3812330,100,5182,3,65,0.016981860285604,0.00351781328299411,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/10","GRI",3812330,100,5182,3,65,0.016981860285604,0.00351781328299411,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/11","GRI",3812330,100,5195,4,95,0.0180943214629451,0.00362461056292232,NA,NA,0.0105263157894737,0.0205223273103532,0.00150375939849624,0.00779199531516214,0,0
"2020/06/12","GRI",3812330,100,5195,3,75,0.0180943214629451,0.00362461056292232,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/13","GRI",3812330,100,5154,4,89,0.0184322856034148,0.00367219396086236,NA,NA,0.0112359550561798,0.021897998270293,0.00160513643659711,0.00831687613293532,0,0
"2020/06/14","GRI",3812330,100,5154,4,89,0.0184322856034148,0.00367219396086236,NA,NA,0.0112359550561798,0.021897998270293,0.00160513643659711,0.00831687613293532,0,0
"2020/06/15","GRI",3812330,100,5204,5,239,0.0182551883166795,0.00363723962012091,NA,NA,0.00418410041841004,0.00818351189714608,0.000597728631201434,0.0030986415218614,0,0
"2020/06/16","GRI",3812330,100,5204,5,239,0.0182551883166795,0.00363723962012091,NA,NA,0.00418410041841004,0.00818351189714608,0.000597728631201434,0.0030986415218614,0,0
"2020/06/17","GRI",3812330,100,5204,5,239,0.0182551883166795,0.00363723962012091,NA,NA,0.00418410041841004,0.00818351189714608,0.000597728631201434,0.0030986415218614,0,0
"2020/06/18","GRI",3812330,100,5159,5,214,0.0182205853847645,0.00364966876598222,NA,NA,0,0,0,0,0,0
"2020/06/19","GRI",3812330,100,5159,5,214,0.0182205853847645,0.00364966876598222,NA,NA,0,0,0,0,0,0
"2020/06/20","GRI",3812330,100,5159,4,200,0.0182205853847645,0.00364966876598222,NA,NA,0,0,0,0,0,0
"2020/06/21","GRI",3812330,100,5159,2,155,0.0182205853847645,0.00364966876598222,NA,NA,0,0,0,0,0,0
"2020/06/22","GRI",3812330,100,5159,1,5,0.0182205853847645,0.00364966876598222,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/23","GRI",3812330,100,5159,1,5,0.0182205853847645,0.00364966876598222,NA,NA,NA,NA,NA,NA,NA,NA
"2020/06/24","GRI",3812330,100,5149,3,85,0.018450184501845,0.00367572637621654,NA,NA,0,0,0,0,0,0
"2020/06/25","GRI",3812330,100,5149,3,85,0.018450184501845,0.00367572637621654,NA,NA,0,0,0,0,0,0
"2020/06/26","GRI",3812330,100,5149,3,85,0.018450184501845,0.00367572637621654,NA,NA,0,0,0,0,0,0
"2020/06/27","GRI",3812330,100,5149,3,85,0.018450184501845,0.00367572637621654,NA,NA,0,0,0,0,0,0
"2020/06/28","GRI",3812330,100,5149,3,85,0.018450184501845,0.00367572637621654,NA,NA,0,0,0,0,0,0
"2020/06/29","GRI",3812330,100,5149,3,85,0.018450184501845,0.00367572637621654,NA,NA,0,0,0,0,0,0
"2020/06/30","GRI",3812330,100,5149,2,80,0.018450184501845,0.00367572637621654,NA,NA,0,0,0,0,0,0
"2020/07/01","GRI",3812330,100,5148,4,81,0.0180652680652681,0.00363824832363908,NA,NA,0,0,0,0,0,0
"2020/07/02","GRI",3812330,100,5148,4,81,0.0180652680652681,0.00363824832363908,NA,NA,0,0,0,0,0,0
"2020/07/03","GRI",3812330,100,5148,4,81,0.0180652680652681,0.00363824832363908,NA,NA,0,0,0,0,0,0
"2020/07/04","GRI",3812330,100,5053,5,86,0.0184049079754601,0.00370600888498316,NA,NA,0,0,0,0,0,0
"2020/07/05","GRI",3812330,100,5063,6,146,0.0203436697610113,0.00388862129854629,NA,NA,0.00684931506849315,0.0133783578498663,0.000978473581213307,0.00507146740279341,0,0
"2020/07/06","GRI",3812330,100,5063,6,146,0.0203436697610113,0.00388862129854629,NA,NA,0.00684931506849315,0.0133783578498663,0.000978473581213307,0.00507146740279341,0,0
"2020/07/07","GRI",3812330,100,5063,6,146,0.0203436697610113,0.00388862129854629,NA,NA,0.00684931506849315,0.0133783578498663,0.000978473581213307,0.00507146740279341,0,0
"2020/07/08","GRI",3812330,100,5537,31,1941,0.0323279754379628,0.00465869389849602,NA,NA,0.0012970168612192,0.00179637452972291,0.000185288123031314,0.000679343550360804,0.000661375661375661,0.00129584374411438
"2020/07/09","GRI",3812330,100,5793,35,2421,0.0298636285171759,0.00438312652778167,NA,NA,0.000989119683481701,0.0013701466294768,0.000141302811925957,0.000518086447591198,0.000502008032128514,0.000983670664634171
"2020/07/10","GRI",3812330,100,5773,36,2461,0.0297938680062359,0.00438573881597526,NA,NA,0.000969932104752667,0.00134358054799915,0.000138561729250381,0.000508036970402717,0.000492125984251968,0.000964311835919285
"2020/07/11","GRI",3812330,100,5773,35,2456,0.0297938680062359,0.00438573881597526,NA,NA,0.000972289742343218,0.00134684483273097,0.00013889853462046,0.000509271782465709,0.000493339911198816,0.000966689916461889
"2020/07/12","GRI",3812330,100,5773,34,2396,0.0297938680062359,0.00438573881597526,NA,NA,0.000500751126690035,0.000981208410618361,7.15358752414336e-05,0.000370941540955311,0.000508388408744281,0.000996169654152043
"2020/07/13","GRI",3812330,100,5773,34,2396,0.0297938680062359,0.00438573881597526,NA,NA,0.000500751126690035,0.000981208410618361,7.15358752414336e-05,0.000370941540955311,0.000508388408744281,0.000996169654152043
"2020/07/14","GRI",3812330,100,5773,33,2391,0.0297938680062359,0.00438573881597526,NA,NA,0.000502008032128514,0.000983670664634171,7.17154331612163e-05,0.000371872585731633,0.000509683995922528,0.000998707665515643
"2020/07/15","GRI",3812330,100,5773,5,520,0.0297938680062359,0.00438573881597526,NA,NA,0,0,0,0,0,0
"2020/07/16","GRI",3812330,100,5773,1,40,0.0297938680062359,0.00438573881597526,NA,NA,NA,NA,NA,NA,NA,NA
