"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2022/07/07","JP01",5383579,8,172,4,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP02",1308649,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP03",1279814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP04",2334215,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP05",1022839,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP06",1122957,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP07",1913606,1,30,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP08",2917857,8,252,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP09",1974671,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP10",1973476,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP11",7261271,7,80,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP12",6224027,6,147,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP13",13513734,57,1590,9,197,0.0433962264150943,0.0100147833108954,0,0,NA,NA,NA,NA,NA,NA
"2022/07/07","JP14",9127323,18,639,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP15",2305098,2,40,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP16",1066883,1,60,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP17",1154343,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP18",787099,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP19",835165,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP20",2099759,2,30,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP21",2032533,1,37,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP22",3701181,1,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP23",7484094,6,117,3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP24",1815827,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP25",1413184,3,36,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP26",2610140,5,29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP27",8838908,8,140,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP28",5536989,3,107,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP29",1365008,7,153,1,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP30",963850,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP31",573648,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP32",694188,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP33",1922181,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP34",2844963,2,22,2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP35",1405007,1,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP36",756063,1,100,0,0,0.05,0.042716424707947,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP37",976756,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP38",1385840,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP39",728461,1,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP40",5102871,4,208,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP41",833245,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP42",1377780,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP43",1786969,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP44",1166729,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP45",1104377,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP46",1648752,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022/07/07","JP47",1434138,2,12,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
