"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2023/06/09","PT20",245766,6,130,0,0,0.446153846153846,0.0854502440760827,0.01,0.0195013954179879,NA,NA,NA,NA,NA,NA
"2023/06/09","PT30",267785,5,230,0,0,0.669565217391304,0.060788789259185,0,0,NA,NA,NA,NA,NA,NA
"2023/06/09","PT01",714200,18,607,0,0,0.624382207578254,0.0385258370049404,0.00980392156862745,0.0110394615937896,NA,NA,NA,NA,NA,NA
"2023/06/09","PT02",152758,3,75,0,0,0.613333333333333,0.110213326524246,0.0133333333333333,0.0259580494721825,NA,NA,NA,NA,NA,NA
"2023/06/09","PT03",848185,42,1442,0,0,0.616504854368932,0.0250965282182232,0.0104166666666667,0.00542798984226381,NA,NA,NA,NA,NA,NA
"2023/06/09","PT04",136252,1,30,0,0,0.833333333333333,0.133358657676536,0,0,NA,NA,NA,NA,NA,NA
"2023/06/09","PT05",196264,4,55,0,0,0.654545454545455,0.125670142529539,0,0,NA,NA,NA,NA,NA,NA
"2023/06/09","PT06",430104,15,544,0,0,0.551470588235294,0.0417931669683695,0.00854700854700855,0.00834004314499172,NA,NA,NA,NA,NA,NA
"2023/06/09","PT07",166706,4,111,0,0,0.621621621621622,0.090222075472958,0.027027027027027,0.0301672781726452,NA,NA,NA,NA,NA,NA
"2023/06/09","PT08",451006,6,325,0,0,0.366153846153846,0.0523757361899922,0,0,NA,NA,NA,NA,NA,NA
"2023/06/09","PT09",160939,2,60,0,0,0.75,0.109565317572073,0,0,NA,NA,NA,NA,NA,NA
"2023/06/09","PT10",470930,8,402,0,0,0.592039800995025,0.048041815822786,0.00248756218905473,0.00486946442904941,NA,NA,NA,NA,NA,NA
"2023/06/09","PT11",2250533,92,2800,0,0,0.63,0.0178829932288414,0.0092741935483871,0.00377256790805511,NA,NA,NA,NA,NA,NA
"2023/06/09","PT12",118506,1,5,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"2023/06/09","PT13",1817117,85,2857,0,0,0.679033951697585,0.0171186007525847,0.00384319754035357,0.00237741309922744,NA,NA,NA,NA,NA,NA
"2023/06/09","PT14",453638,12,397,0,0,0.506297229219144,0.0491799853761833,0.0108991825613079,0.0106226360689859,NA,NA,NA,NA,NA,NA
"2023/06/09","PT15",851258,29,878,0,0,0.586560364464693,0.0325734113827576,0.00131926121372032,0.00258399829237936,NA,NA,NA,NA,NA,NA
"2023/06/09","PT16",244836,2,35,0,0,0.114285714285714,0.105403945330983,0,0,NA,NA,NA,NA,NA,NA
"2023/06/09","PT17",206661,8,359,0,0,0.626740947075209,0.0500322548862133,0,0,NA,NA,NA,NA,NA,NA
"2023/06/09","PT18",377653,6,160,0,0,0.91875,0.0423348924267419,0.0333333333333333,0.032117017786256,NA,NA,NA,NA,NA,NA
