"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2023/10/18","USAK",731545,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/10/18","USAL",4903185,17,401,2,35,0.359102244389027,0.04695472915684,0.00797872340425532,0.00899251905786635,0,0,0,0,0,0
"2023/10/18","USAR",3017825,5,89,0,0,0.370786516853933,0.10034923464163,0,0,NA,NA,NA,NA,NA,NA
"2023/10/18","USAZ",7278717,35,618,6,90,0.553398058252427,0.0391952079058715,0.0103806228373702,0.00826285198122735,0.0333333333333333,0.0370855377289257,0.00476190476190476,0.0142226553002822,0.0222222222222222,0.0304537417641546
"2023/10/18","USCA",39512223,131,2919,17,357,0.511133949982871,0.0181339889461753,0.00516414607156031,0.00269810163871759,0,0,0,0,0.00280112044817927,0.00548240059367898
"2023/10/18","USCO",5758736,23,498,5,91,0.56425702811245,0.0435498941484864,0.00484261501210654,0.00669512858382793,0.032967032967033,0.0366849529131083,0.00470957613814757,0.0140667321776673,0.021978021978022,0.0301228461509788
"2023/10/18","USCT",3565287,19,663,4,51,0.561085972850679,0.0377742423961935,0.0031104199066874,0.00430403351256135,0,0,0,0,0.0196078431372549,0.038052029874806
"2023/10/18","USDC",705749,4,91,0,0,0.417582417582418,0.101324795442325,0,0,NA,NA,NA,NA,NA,NA
"2023/10/18","USDE",973764,2,29,0,0,0.413793103448276,0.179252894782484,0,0,NA,NA,NA,NA,NA,NA
"2023/10/18","USFL",21477737,83,1988,13,353,0.438128772635815,0.0218101767433642,0.00765864332603939,0.00399637711295597,0.0028328611898017,0.00554443587162508,0.000404694455685957,0.00209814969177128,0.0028328611898017,0.00554443587162508
"2023/10/18","USGA",10617423,37,994,8,218,0.358148893360161,0.0298060106827113,0.00402414486921529,0.00393564671959205,0.00917431192660551,0.0126562552201053,0.00131061598951507,0.00480255991792371,0.00917431192660551,0.0126562552201053
"2023/10/18","USHI",1415872,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023/10/18","USIA",3155070,9,167,1,30,0.263473053892216,0.0668116624474921,0,0,0,0,0,0,0,0
"2023/10/18","USID",1787065,5,144,1,15,0.493055555555556,0.081657288986938,0,0,0,0,0,0,0,0
"2023/10/18","USIL",12671821,56,1620,12,359,0.425925925925926,0.0240791742124753,0.00447284345047923,0.00330604929515447,0.00835654596100279,0.00941655493786743,0.00119379228014326,0.0035719540730054,0.0167130919220056,0.0132607899537075
"2023/10/18","USIN",6732219,27,529,3,39,0.402646502835539,0.0417924590888043,0.00672645739910314,0.00758592061202183,0,0,0,0,0.0256410256410256,0.04960700172059
"2023/10/18","USKS",2913314,7,204,2,90,0.450980392156863,0.0682819263630565,0,0,0,0,0,0,0,0
"2023/10/18","USKY",4467673,11,229,3,71,0.467248908296943,0.0646199580416621,0.0228310502283105,0.0197821644386899,0.028169014084507,0.038485763890628,0.00402414486921529,0.0147258416200942,0.0422535211267606,0.046792435637442
"2023/10/18","USLA",4648794,12,269,1,35,0.446096654275093,0.0594023229069786,0.00393700787401575,0.00770118890861638,0,0,0,0,0,0
"2023/10/18","USMA",6949503,25,538,4,86,0.570631970260223,0.0418263392060768,0.00608519269776876,0.00686493420906252,0.0465116279069767,0.0445079238173874,0.00664451827242525,0.0171705007877182,0.0232558139534884,0.0318533457036713
"2023/10/18","USMD",6045680,33,964,3,80,0.460580912863071,0.0314648522699756,0.0222457627118644,0.00940807124291126,0,0,0,0,0,0
"2023/10/18","USME",1344212,3,135,0,0,0.592592592592593,0.0828845867562937,0.008,0.0156168670868465,NA,NA,NA,NA,NA,NA
"2023/10/18","USMI",9986857,49,1394,7,140,0.408177905308465,0.0258010296506427,0.00530705079605762,0.00392099993614486,0.0285714285714286,0.0275965941938441,0.00408163265306122,0.010561191122604,0,0
"2023/10/18","USMN",5639632,18,492,2,65,0.520325203252033,0.0441444815854264,0,0,0,0,0,0,0,0
"2023/10/18","USMO",6137428,17,374,2,22,0.5,0.0506736624619625,0.00557103064066852,0.00769937591256341,0,0,0,0,0,0
"2023/10/18","USMS",2976149,6,80,1,15,0.2625,0.0964159231253293,0,0,0,0,0,0,0,0
"2023/10/18","USMT",1068778,1,45,1,45,0.444444444444444,0.145182517373337,0,0,0.0222222222222222,0.0430680946278754,0.00317460317460317,0.0164359989323707,0,0
"2023/10/18","USNC",10488084,44,1404,9,373,0.567663817663818,0.0259131933527695,0.0107991360691145,0.00543542763750651,0,0,0,0,0.0134048257372654,0.0116706153328245
"2023/10/18","USND",762062,1,100,0,0,0.2,0.0783985593816021,0,0,NA,NA,NA,NA,NA,NA
"2023/10/18","USNE",1934408,8,295,1,10,0.403389830508475,0.0559815451980163,0.00343642611683849,0.00672368883398004,0.2,0.247918012921825,0.0285714285714286,0.1032570005152,0.1,0.185938509691368
"2023/10/18","USNH",1359711,8,305,0,0,0.504918032786885,0.0561108911327056,0,0,NA,NA,NA,NA,NA,NA
"2023/10/18","USNJ",8882190,29,899,5,200,0.492769744160178,0.0326808119414705,0.00719424460431655,0.00573574464924448,0,0,0,0,0,0
"2023/10/18","USNM",2096829,5,100,0,0,0.33,0.0921599992000581,0,0,NA,NA,NA,NA,NA,NA
"2023/10/18","USNV",3080156,12,236,1,50,0.398305084745763,0.0624580161372216,0,0,0,0,0,0,0,0
"2023/10/18","USNY",19453561,72,2085,13,444,0.44652278177458,0.0213386405096918,0.00915455035002692,0.00433175222960781,0.0112612612612613,0.00981501342888182,0.00160875160875161,0.00372779040183356,0.00675675675675676,0.00761997520099157
"2023/10/18","USOH",11689100,45,1272,6,185,0.461477987421384,0.0273956595432697,0.00896495517522412,0.00527405163000108,0,0,0,0,0,0
"2023/10/18","USOK",3956971,10,430,3,110,0.444186046511628,0.0469635633782271,0.00909090909090909,0.0102402765380224,0,0,0,0,0,0
"2023/10/18","USOR",4217737,13,415,1,10,0.267469879518072,0.0425867234175113,0,0,0,0,0,0,0,0
