"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2020/05/24","BRDF",2914830,12,327,7,250,0.0275229357798165,0.0177321451130859,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRAC",803513,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRAL",3340932,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRAP",766679,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRAM",3938336,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRBA",15203934,1,20,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRCE",8904459,1,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRES",3929911,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRFN",3061,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRGO",6610681,3,236,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRMA",6904241,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRMT",3265486,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRMS",2651235,1,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRMG",20869101,10,1432,7,882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRPA",8175113,4,503,4,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRPB",3972202,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRPR",11163018,10,416,5,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRPE",9345173,4,184,3,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRPI",3204028,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRRJ",16550024,5,230,4,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRRN",3442175,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRRS",11247972,8,510,6,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRRO",1768204,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRRR",505665,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRSC",6819190,1,90,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRSP",44396484,50,3235,50,3235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRSE",2242937,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/24","BRTO",1515126,1,50,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
