ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope,p_cli_smooth_slope2,p_cliWHO_smooth_slope2,p_cases_infected,p_cases_infected_smooth,p_cases_active
CM,CMR,Cameroon,2020-04-24,2020-04-24,100,100,1,0.06,0.046546565661405,0.0518035472251999,0.000129222529826166,0.05,0.042716424707947,0.0433347331340602,0.000118715490980563,0.00459902270767462,0.00158978240892441,1,1,,,0.0308192814483932,0.0263833683116638,0.0260697755736773,7.39522300168903e-05,0.0201757462595478,0.0213007307571057,0.0160915765720403,5.68261818550418e-05,0.0051715345400824,0.00142729861366965,,,,,,,,,,0.0308192814483932
CM,CMR,Cameroon,2020-04-25,2020-04-25,107,107,1,0.0373831775700935,0.035943555304845,0.0351581919321333,0.000105408452029709,0.0280373831775701,0.0312787739529993,0.028520595082961,9.52643048632512e-05,0.00433369447453955,0.00149826383731434,5,0,,,0.0299937963191173,0.0258997125160594,0.0253785640700016,7.29394598666105e-05,0.019417382332408,0.0208016511957106,0.0153722947693506,5.55271349730699e-05,0.00536040924891822,0.00143801450924838,,,,,,,,,,0.0299937963191173
CM,CMR,Cameroon,2020-04-26,2020-04-26,103,103,1,0,0,0,0,0,0,0,0,0.00317591825462579,0.00129587391885933,5,0,,,0.0291456367779404,0.0254268404233365,0.0247003039303287,7.21190728060036e-05,0.0186979558870276,0.0203405207551598,0.0147276558469636,5.45132468836369e-05,0.00557193549050401,0.00145090880871911,,,,,,,,,,0.0291456367779404
CM,CMR,Cameroon,2020-04-27,2020-04-26,199,96,2,0.0251256281407035,0.0217447462250111,0.018326323368817,5.83854035046976e-05,0.0150753768844221,0.01693000706893,0.0109957940212902,4.53936816552477e-05,0.00274467316720838,0.000871465325235886,9,0,,,0.0282866455431688,0.0249749716350319,0.0240508847139002,7.15551618647268e-05,0.0180330093040212,0.0199298301542666,0.0141786028985608,5.38574667089947e-05,0.0058019475424825,0.00146551169897848,,,,,,,,,,0.0282866455431688
CM,CMR,Cameroon,2020-04-28,2020-04-27,177,81,2,0.0451977401129944,0.0306038833038706,0.0310849185498654,7.58789521900953e-05,0.0282485875706215,0.0244082935121076,0.0195740648997902,6.05691540133202e-05,0.00736603529221305,0.00150784172107341,9,1,,,0.0274369773321947,0.0245585113492373,0.0234537809050742,7.13247447462081e-05,0.017440387272926,0.0195836517138735,0.0137473535516452,5.36350801160877e-05,0.00604293431322675,0.0014809881160252,,,,,,,,,,0.0274369773321947
CM,CMR,Cameroon,2020-04-29,2020-04-29,106,106,1,0.0471698113207547,0.040358496811933,0.0487969294882134,0.000129680124524124,0.0188679245283019,0.0259012641269205,0.0119140378768352,6.53081531275454e-05,0.00523138832997988,0.00163754703652555,1,0,,,0.0266228397125951,0.0241948678992671,0.0229359146943834,7.15064852467584e-05,0.0169371195941694,0.0193158564670586,0.0134520458799633,5.39097118477357e-05,0.00628385652225847,0.00149614486231291,,,,,,,,,,0.0266228397125951
CM,CMR,Cameroon,2020-04-30,2020-04-29,187,81,2,0.0374331550802139,0.0272063921582915,0.03127128446648,7.42911272336384e-05,0.0160427807486631,0.0180075744953152,0.00749332227461532,3.68100939173063e-05,0.00454338936846888,0.0011470004565805,10,0,,,0.0258780736723958,0.0239043435772273,0.022527997684275,7.21758693046231e-05,0.0165407615786329,0.0191399193465188,0.013307791922918,5.47297776026254e-05,0.00650994343192151,0.00150939811214171,-0.000823534629332896,-0.000590296314900382,-0.000605830780152489,-0.000463964108187052,0.000223068148639851,,,,,0.0258780736723958
CM,CMR,Cameroon,2020-05-01,2020-04-30,112,31,2,0.0178571428571429,0.0245263204027614,0.00911067281264555,4.7174720078531e-05,0.00892857142857143,0.0174213797031353,0.00203264708335548,2.2362002364351e-05,0.00276659959758551,0.00115446685304638,9,0,,,0.0252414616288899,0.0237077414650774,0.0222625968050327,7.33944665926346e-05,0.0162654578111921,0.0190660087194062,0.0133221212859587,5.61140515257771e-05,0.00670326549641318,0.00151884490030038,-0.000792055781704564,-0.00051932787749483,-0.000525320753535975,-0.000341695580565326,0.000223809374582494,,,,,0.0252414616288899
CM,CMR,Cameroon,2020-05-02,2020-04-30,148,36,3,0.0135135135135135,0.0186014561875711,0.00662513482863779,3.43476960296744e-05,0.00675675675675676,0.0131981842005323,0.00147810828719212,1.62658059965892e-05,0.00249113729999042,0.000956351323096511,9,0,,,0.0247531331591817,0.0236238341837896,0.0221702431747699,7.51971033731099e-05,0.0161205812708418,0.0190994134932918,0.0134936414011759,5.80437046910806e-05,0.00684452187798375,0.00152246074409682,-0.00073208393645979,-0.000421676792593128,-0.000429562436030965,-0.000205669074297951,0.000212097731246625,,,,,0.0247531331591817
CM,CMR,Cameroon,2020-05-03,2020-05-02,100,64,2,0,0,0,0,0,0,0,0,0.0107100938967136,0.00244366533590845,2,1,,,0.024451628537968,0.0236663459562769,0.0222773308660351,7.75823013659592e-05,0.0161096900328655,0.0192387367198117,0.0138118390664428,6.04577625822217e-05,0.00691514713265197,0.0015183173872419,-0.000639169500866808,-0.000295592307977516,-0.000320553211859278,-6.11273053530006e-05,0.000185533265028246,,,,,0.024451628537968
CM,CMR,Cameroon,2020-05-04,2020-05-03,151,87,2,0.00662251655629139,0.0129368427609194,0.00196889667241387,2.66712958312484e-05,0.00662251655629139,0.0129368427609194,0.00196889667241387,2.66712958312484e-05,0.0111089069629042,0.0020459011283204,4,1,,,0.0243692706426836,0.0238410150169392,0.022601346980689,8.05025457641595e-05,0.016230666986628,0.0194752990048063,0.0142576948519379,6.32536007309251e-05,0.00689986052212885,0.00150484996239831,-0.00051128444825184,-0.000142072320730857,-0.000201620047716341,8.50568833821169e-05,0.000142821034817018,,,,,0.0243692706426836
CM,CMR,Cameroon,2020-05-05,2020-05-04,184,97,2,0.0217391304347826,0.0210711192385551,0.0242764701501205,8.84458746030062e-05,0.0217391304347826,0.0210711192385551,0.0242764701501205,8.84458746030062e-05,0.0212067861715749,0.00252607061155409,5,1,,,0.0245262053214657,0.0241424612186033,0.0231484761508522,8.38622374098955e-05,0.0164747566782168,0.0197924015533567,0.0148060915937512,6.62947682037023e-05,0.00678958606151714,0.00148114670010631,-0.000349439065188233,3.54269094114627e-05,-7.70604859921068e-05,0.000225674285631318,8.42882565431112e-05,,,,,0.0245262053214657
CM,CMR,Cameroon,2020-05-06,2020-05-05,180,83,2,0.0277777777777778,0.0240073022302603,0.0400169161002268,0.000115738671147864,0.0222222222222222,0.0215340473139377,0.0333862202674497,0.0001060803664636,0.0197663252240717,0.00244056489537984,4,1,,,0.0249293353070191,0.0245539647350694,0.0239134027351856,8.7525615052348e-05,0.0168289318217643,0.02016703605467,0.0154297177541953,6.94264443632386e-05,0.0065835081074931,0.0014471566516924,-0.00015812306089611,0.000230900841818426,4.8028373855233e-05,0.000353654305212887,1.22607792619317e-05,0.000110901928072798,0.000108976525667954,,,0.0249293353070191
CM,CMR,Cameroon,2020-05-07,2020-05-07,109,109,1,0.0275229357798165,0.0307129762630489,0.0197440331359808,0.000104283527981919,0.0275229357798165,0.0307129762630489,0.0197440331359808,0.000104283527981919,0.00473871264973016,0.00154427901824282,3,0,,,0.0255687750206697,0.0250474846722336,0.0248770803166586,9.13253290763697e-05,0.0172774513974664,0.0205719846976571,0.0161025884159491,7.24931421807989e-05,0.00629012607507768,0.00140378902075652,5.45522319632923e-05,0.00043574725193765,0.000168665597712371,0.000463411188331734,-6.88565702225848e-05,0.000141101335611309,0.000115664391874724,,,0.0255687750206697
CM,CMR,Cameroon,2020-05-08,2020-05-08,108,108,1,0.0185185185185185,0.0254261373247429,0.0290327049253532,0.000129982364403989,0.0185185185185185,0.0254261373247429,0.0290327049253532,0.000129982364403989,0.00292319957480733,0.00121971825324728,0,0,,,0.0264187196018189,0.0255863640184434,0.0260094068658527,9.5082055568034e-05,0.0178034531089352,0.0209786259582093,0.0168029012353917,7.53566583225559e-05,0.00592647608801656,0.00135282043164892,0.000277597740439536,0.000639860615180476,0.000280478639682233,0.000551543305702635,-0.000153007631661199,0.000168280279483221,0.000118340179285533,,,0.0264187196018189
CM,CMR,Cameroon,2020-05-09,2020-05-09,112,112,1,0.0357142857142857,0.0343686861678905,0.0340865400469571,0.000139752619977886,0.0267857142857143,0.0299016348251109,0.02569294501619,0.000121858059116814,0.00190331176246669,0.000962273886378192,0,0,,,0.027440905203709,0.0261294579635759,0.027270832135025,9.86232795899926e-05,0.0183913585927098,0.0213602040821816,0.0175151040482098,7.79120528950897e-05,0.00551635090012537,0.00129670777913232,0.000498212777623494,0.000832250211498314,0.000380278093307375,0.000617210830294503,-0.000233132705421101,0.000189563713081717,0.000116805217527776,,,0.027440905203709
CM,CMR,Cameroon,2020-05-10,2020-05-10,111,111,1,0.018018018018018,0.0247452513571082,0.0133762015137788,8.4939875157081e-05,0.00900900900900901,0.0175776157070447,0.00757688979207547,6.41155457213512e-05,0.0021966662359478,0.0010430621357982,0,0,,,0.0285877844538202,0.0266355742515316,0.0286153638125994,0.000101800905632527,0.0190264396334697,0.0216939557268469,0.0182286450709208,8.00936472879888e-05,0.00508705281989217,0.00123825654324275,0.000703085635189421,0.00100233613865173,0.000465962107806953,0.000661825036497137,-0.000302134617039447,0.000202395013906877,0.000111263692587216,,,0.0285877844538202
CM,CMR,Cameroon,2020-05-11,2020-05-11,119,119,1,0.0252100840336134,0.028165487390933,0.0320906801631127,0.000125776110957538,0.00840336134453782,0.0164009367054754,0.00517222228567743,5.11922133811692e-05,0.00047744091668656,0.00046777179402705,2,0,,,0.0298093755945138,0.0270686139407383,0.0299940737010099,0.00010450527977798,0.0196958342232041,0.0219631107480696,0.0189359749987666,8.1875353682712e-05,0.00466602442426494,0.00118028471815542,0.000880528378841336,0.00114093292502629,0.000536846257497891,0.000688313900835891,-0.000353926939542033,0.000204994574004928,0.000102317790581666,,,0.0298093755945138
CM,CMR,Cameroon,2020-05-12,2020-05-12,108,108,1,0.0185185185185185,0.0254261373247429,0.0101733264425515,7.83673639785091e-05,0.00925925925925926,0.0180636016201853,0.00404943726172422,4.95952861319323e-05,0.000670690811535882,0.000587678439616141,0,0,,,0.031056912537632,0.027400971614654,0.0313585645142472,0.000106672171378796,0.0203875299239224,0.0221575241329059,0.01963099316009,8.32661594364317e-05,0.00427743645180367,0.00112528975910676,0.0010212628717688,0.00124086029651026,0.000593099683693016,0.000700212567649111,-0.000384345275948238,0.000196564322110819,9.08452183062971e-05,,,0.031056912537632
CM,CMR,Cameroon,2020-05-13,2020-05-13,102,102,1,0.0490196078431373,0.0419004514931721,0.0438867424465332,0.000150014090792144,0.0294117647058824,0.032788840416564,0.0200673198630015,0.000102695997672012,0.00229951135383731,0.00112544363774366,0,0,,,0.032286458344927,0.0276158315095755,0.0326615919353406,0.000108280297519515,0.0210873808741481,0.0222726744713161,0.0203030123624351,8.42940705259976e-05,0.0039399458326542,0.00107524022040541,0.00111961388737623,0.00129741860311367,0.000634988246113622,0.000700070657747672,-0.00039169670707058,0.000177510275902156,7.77204414002084e-05,,,0.032286458344927
CM,CMR,Cameroon,2020-05-14,2020-05-14,158,158,1,0.0506329113924051,0.034186377471404,0.0388254024401592,0.00011452820918464,0.0253164556962025,0.0244936110248548,0.020965962219348,8.49394881574293e-05,0.00430609132502019,0.00121555225606692,5,0,,,0.0334631585224509,0.0277073402222244,0.0338614500025562,0.000109347284855868,0.02178099934046,0.0223091089966464,0.0209383380579231,8.49985584012533e-05,0.00366534821169621,0.00103142372852783,0.00117407315343867,0.00130867385611724,0.000662924371920803,0.000689239470421894,-0.000376854646053392,0.000149412568833189,6.37409553730951e-05,,,0.0334631585224509
