"date","ISO2","country","ISO3","population","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-04-23,"EC","Ecuador","ECU",17373657,26,57,912,1120,911,NA,NA,NA,NA,NA,0.0285087719298246,0.0177078862730713,0.0393096575865778,0.0625,0.0467899951640261,0.0782100048359739,0.023196570221403,0.0218539090066378,0.0245392314361681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-24,"EC","Ecuador","ECU",17373657,24,52,919,1211,919,NA,NA,NA,NA,NA,0.0261153427638738,0.0158045522703033,0.0364261332574442,0.0565832426550598,0.0416454631527478,0.0715210221573719,0.0248629560432792,0.0234801489167994,0.026245763169759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-25,"EC","Ecuador","ECU",17373657,24,51,963,1108,961,NA,NA,NA,NA,NA,0.0249221183800623,0.0150764075275719,0.0347678292325527,0.0529595015576324,0.0388148853661131,0.0671041177491517,0.0217540690711327,0.0204871678959485,0.0230209702463169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-26,"EC","Ecuador","ECU",17373657,35,65,1013,1363,1013,NA,NA,NA,NA,NA,0.0345508390918065,0.0233038215488541,0.0457978566347589,0.0641658440276407,0.0490756518742261,0.0792560361810553,0.025386950772039,0.0240564142043937,0.0267174873396842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-27,"EC","Ecuador","ECU",17373657,22,58,919,1084,918,NA,NA,NA,NA,NA,0.0239390642002176,0.0140562100563883,0.033821918344047,0.0631120783460283,0.0473907080717898,0.0788334486202668,0.022279771447363,0.0209683222198564,0.0235912206748697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-28,"EC","Ecuador","ECU",17373657,38,77,1129,1339,1128,NA,NA,NA,NA,NA,0.0336581045172719,0.0231382108101128,0.044177998224431,0.0682019486271036,0.053497104996797,0.0829067922574103,0.022397296935635,0.0212111606081338,0.0235834332631361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-29,"EC","Ecuador","ECU",17373657,37,75,1073,1359,1071,NA,NA,NA,NA,NA,0.0344827586206897,0.0235651066018582,0.0454004106395211,0.0698974836905871,0.0546413526486003,0.085153614732574,0.0239416521325511,0.0226840873431585,0.0251992169219437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-30,"EC","Ecuador","ECU",17373657,36,82,1019,1122,1019,NA,NA,NA,NA,NA,0.0353287536800785,0.0239939285513789,0.0466635788087781,0.0804710500490677,0.0637692401333264,0.097172859964809,0.0207750847112411,0.0195721676256535,0.0219780017968288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,"EC","Ecuador","ECU",17373657,30,64,850,1355,849,NA,NA,NA,NA,NA,0.0352941176470588,0.0228893893581048,0.0476988459360129,0.0752941176470588,0.0575554514035204,0.0930327838905972,0.0301131186523546,0.0285340728723522,0.031692164432357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,"EC","Ecuador","ECU",17373657,27,69,740,1328,739,NA,NA,NA,NA,NA,0.0364864864864865,0.0229773634088647,0.0499956095641083,0.0932432432432432,0.0722931327958076,0.114193353690679,0.0339060944162177,0.0321136879921791,0.0356985008402564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-03,"EC","Ecuador","ECU",17373657,46,121,1877,2883,1874,NA,NA,NA,NA,NA,0.0245071923281833,0.0175124008851565,0.03150198377121,0.0644645711241343,0.053354761345863,0.0755743809024055,0.029026801715632,0.0279827342155049,0.030070869215759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-04,"EC","Ecuador","ECU",17373657,62,133,1917,3081,1913,NA,NA,NA,NA,NA,0.0323422013562859,0.0244229756055995,0.0402614271069722,0.0693792383933229,0.0580045851196914,0.0807538916669544,0.0303879119036582,0.029331332571551,0.0314444912357654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-05,"EC","Ecuador","ECU",17373657,59,130,1864,2622,1863,NA,NA,NA,NA,NA,0.0316523605150215,0.0237046170993465,0.0396001039306964,0.0697424892703863,0.0581793581139564,0.0813056204268162,0.026554856743536,0.0255520171977004,0.0275576962893716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
