ISO2,ISO_3,country,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
GP,GLP,Guadeloupe,2020-08-23,2020-06-13,3,60,100,1702191.40147243,0,0,5,4,37750.9005055278,2,14523.620960019,50,4360.00290697674,3,21,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,2020-08-24,2020-06-16,4,58,101,1744314.47960955,0,0,5,4,37750.9005055278,2,14523.620960019,50,4404.49273255814,3,21,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,2020-08-25,2020-06-21,5,56,100,1700168.87692857,0,0,5,4,37750.9005055278,2,14523.620960019,41,4360.00290697674,3,22,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,2020-08-26,2020-06-22,1,56,100,1748342.27980791,0,0,5,4,37750.9005055278,2,14523.620960019,41,4315.51308139535,3,22,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,2020-08-28,2020-06-25,3,54,100,1757747.98822469,0,0,5,4,37750.9005055278,2,14523.620960019,41,4315.51308139535,3,23,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,2020-08-29,2020-06-25,1,55,101,1778208.91021824,0,0,5,4,37750.9005055278,2,14523.620960019,41,4360.00290697674,3,23,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,2020-08-30,2020-06-26,1,55,100,1767862.60195476,0,0,5,4,37750.9005055278,2,14523.620960019,41,4315.51308139535,3,23,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,2020-08-31,2020-07-01,3,53,100,1772400.68780814,0,0,5,4,37750.9005055278,2,14523.620960019,41,4315.51308139535,3,22,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,2020-09-01,2020-07-03,1,53,100,1780480.49103889,0,0,5,4,37750.9005055278,2,14523.620960019,45,4315.51308139535,3,22,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,2020-09-03,2020-07-03,2,54,102,1891113.72493936,0,0,5,4,37750.9005055278,2,14523.620960019,45,4404.49273255814,3,22,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,2020-09-05,2020-07-08,2,53,100,1891643.89927387,0,0,5,4,37750.9005055278,2,14523.620960019,45,4271.02325581395,3,23,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,2020-09-06,2020-07-10,3,52,100,1870721.87810704,0,0,5,4,37750.9005055278,2,14523.620960019,45,4271.02325581395,3,23,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,2020-09-07,2020-07-10,3,53,103,1918720.52245574,0,0,5,4,37750.9005055278,2,14523.620960019,45,4404.49273255814,3,24,,,,,,,,,,,,,,,,,,,,,,,,
GP,GLP,Guadeloupe,2020-09-08,2020-07-14,3,51,100,1901370.56532344,0,0,5,4,37750.9005055278,2,14523.620960019,45,4271.02325581395,3,21,,,,0.0497512437810945,0.0383901101393049,0.0611123774228842,0.0398009950248756,0.029586224070928,0.0500157659788232,0.0209516973856477,0.0208958064104302,0.0210075883608652,0.0199004975124378,0.012603098499013,0.0271978965258626,0.00806058947530566,0.00802569505434497,0.00809548389626634,0.0101509254604644,0.0093533939255905,0.0109484569953383,0.134615384615385,0.0967429933586371,0.172487775872132
GP,GLP,Guadeloupe,2020-09-09,2020-07-15,2,51,101,1986111.84533163,0,0,6,4,37750.9005055278,2,14523.620960019,45,4315.51308139535,3,21,,,,0.0504261363636364,0.0389963270029137,0.0618559457243591,0.0397727272727273,0.0295650608768565,0.0499803936685981,0.0207185025704186,0.0206632270864944,0.0207737780543427,0.0198863636363636,0.0125940948549193,0.027178632417808,0.00797087418213711,0.00793636657971509,0.00800538178455913,0.0100759186220866,0.00928101755169903,0.0108708196924741,0.134615384615385,0.0967429933586371,0.172487775872132
GP,GLP,Guadeloupe,2020-09-10,2020-07-16,1,51,100,1917677.93600281,0,0,6,4,37750.9005055278,2,14523.620960019,46,4271.02325581395,3,20,,,,0.0511727078891258,0.0396590366111934,0.0626863791670582,0.0398009950248756,0.029586224070928,0.0500157659788232,0.0205786477619557,0.0205237414803993,0.0206335540435121,0.0199004975124378,0.012603098499013,0.0271978965258626,0.00791706889006858,0.00788279329267543,0.00795134448746173,0.0100320359448298,0.00923797580579668,0.0108260960838628,0.135048231511254,0.0970635672007026,0.173032895821805
GP,GLP,Guadeloupe,2020-09-11,2020-07-17,2,51,100,1948072.69029499,0,0,6,4,37750.9005055278,2,14523.620960019,48,4271.02325581395,3,21,,,,0.0518834399431414,0.04029443122115,0.0634724486651329,0.0398009950248756,0.029586224070928,0.0500157659788232,0.0203819091733535,0.0203275223521886,0.0204362959945184,0.0199004975124378,0.012603098499013,0.0271978965258626,0.00784137912768398,0.00780742992120536,0.00787532833416259,0.0101626717449232,0.00936292272350134,0.010962420766345,0.135483870967742,0.0973862731782861,0.173581468757198
GP,GLP,Guadeloupe,2020-09-13,2020-07-18,1,51,100,1964151.93374897,0,0,6,4,37750.9005055278,2,14523.620960019,48,4271.02325581395,3,21,,,,0.0525941719971571,0.0409304306717783,0.0642579133225359,0.0398009950248756,0.029586224070928,0.0500157659788232,0.0202136782888569,0.0201597357415848,0.0202676208361289,0.0199004975124378,0.012603098499013,0.0271978965258626,0.00777665692059809,0.00774298683038908,0.0078103270108071,0.0102861072765239,0.0094812698317337,0.011090944721314,0.135922330097087,0.0977111326396861,0.174133527554489
GP,GLP,Guadeloupe,2020-09-14,2020-07-18,1,52,101,2045967.49602642,0,0,6,4,37750.9005055278,2,14523.620960019,48,4315.51308139535,3,21,,,,0.0532670454545455,0.0415372668452244,0.0649968240638665,0.0397727272727273,0.0295650608768565,0.0499803936685981,0.0199932854210105,0.0199399250172683,0.0200466458247527,0.0198863636363636,0.0125940948549193,0.027178632417808,0.00769186682467908,0.00765856242176625,0.00772517122759192,0.0104020537353575,0.00959274029141449,0.0112113671793004,0.136807817589577,0.0983673988421945,0.175248236336959
GP,GLP,Guadeloupe,2020-09-15,2020-07-19,1,52,100,1951087.52783867,0,0,7,4,37750.9005055278,2,14523.620960019,48,4271.02325581395,3,21,,,,0.054726368159204,0.0428419444266332,0.0666107918917747,0.0398009950248756,0.029586224070928,0.0500157659788232,0.0198633811970087,0.0198103639832732,0.0199163984107443,0.0199004975124378,0.012603098499013,0.0271978965258626,0.00764188974637784,0.00760880090202514,0.00767497859073055,0.0105335249177249,0.00971856641101162,0.0113484834244382,0.137704918032787,0.0990325424028892,0.176377293662685
GP,GLP,Guadeloupe,2020-09-17,2020-07-19,1,53,101,1960588.91728416,0,0,7,4,37750.9005055278,2,14523.620960019,48,4315.51308139535,3,21,,,,0.0561079545454545,0.0440875206369325,0.0681283884539766,0.0397727272727273,0.0295650608768565,0.0499803936685981,0.0197205386395868,0.0196678988505623,0.0197731784286113,0.0198863636363636,0.0125940948549193,0.027178632417808,0.0075869350000493,0.00755408319628271,0.00761978680381589,0.0106496425152432,0.00983025250620335,0.011469032524283,0.138613861386139,0.0997067447296142,0.177520978042663
