ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope,p_cli_smooth_slope2,p_cliWHO_smooth_slope2,p_cases_infected,p_cases_infected_smooth,p_cases_active
HK,HKG,Hong Kong,2020-04-25,2020-04-23,115,41,3,0.00869565217391304,0.0169689025724735,0.00232910067018371,2.62308048115933e-05,0.00869565217391304,0.0169689025724735,0.00232910067018371,2.62308048115933e-05,0.00135903138127008,0.000802575546019586,0,0,,,0.00694777910760922,0.0131284307175953,0.00344922698736232,2.98554366621029e-05,0.00593330565969403,0.011580377035622,0.00276080828549744,2.4971892005707e-05,0.00128163315134649,0.00073533244399611,,,,,,,,,,0.00694777910760922
HK,HKG,Hong Kong,2020-04-26,2020-04-24,125,39,3,0.008,0.0156168670868465,0.00238856581981654,2.68997117040462e-05,0.008,0.0156168670868465,0.00238856581981654,2.68997117040462e-05,0.00113584734211722,0.000703592612476372,0,0,,,0.00685671896123856,0.0128739023480435,0.00353153573475589,3.04072958811293e-05,0.00568673851216753,0.0110993436647768,0.00273290704401999,2.4640712018119e-05,0.00128571558452554,0.000729522735872516,,,,,,,,,,0.00685671896123856
HK,HKG,Hong Kong,2020-04-27,2020-04-25,118,38,3,0.00847457627118644,0.0165393337479136,0.00221547699276866,2.49525726680435e-05,0.00847457627118644,0.0165393337479136,0.00221547699276866,2.49525726680435e-05,0.00095488183337312,0.000661371200345481,0,0,,,0.00675088459064626,0.0125831926445711,0.00360566136673873,3.09560619916917e-05,0.00541250122351239,0.0105642531973093,0.00268508441593758,2.41832489982928e-05,0.00128822371592231,0.000722048932102427,,,,,,,,,,0.00675088459064626
HK,HKG,Hong Kong,2020-04-28,2020-04-26,107,30,3,0,0,0,0,0,0,0,0,0.00066436353972894,0.000582136146287427,0,0,,,0.00662685452656322,0.0122512590477479,0.00366791468787332,3.14803436356515e-05,0.00510978102147966,0.00997360139358637,0.00261452267946396,2.35770278888203e-05,0.00128877934940344,0.000712721912677982,,,,,,,,,,0.00662685452656322
HK,HKG,Hong Kong,2020-04-29,2020-04-27,112,44,3,0.00892857142857143,0.0174213797031353,0.00620949532296471,4.39784573560411e-05,0.00892857142857143,0.0174213797031353,0.00620949532296471,4.39784573560411e-05,0.00180901925313348,0.000946747316730838,0,0,,,0.00648120229920895,0.011873712231064,0.00371440062471118,3.19546279138348e-05,0.00477930690423169,0.00932851368746979,0.00251923266799,2.28041032636968e-05,0.00128724113950236,0.000701429156979632,,,,,,,,,,0.00648120229920895
HK,HKG,Hong Kong,2020-04-30,2020-04-28,108,34,3,0.00925925925925926,0.0180636016201853,0.00597360748046645,4.23128136800411e-05,0.00925925925925926,0.0180636016201853,0.00597360748046645,4.23128136800411e-05,0.00189599133261105,0.000992220785876588,0,0,,,0.00631002646265643,0.0114467423005025,0.00374089745885351,3.23454800679044e-05,0.00442293948927501,0.00863283418981605,0.00239808790513689,2.18495371744134e-05,0.00128349236301415,0.000688127386624868,,,,,,,,,,0.00631002646265643
HK,HKG,Hong Kong,2020-05-01,2020-04-29,127,49,3,0.0078740157480315,0.0153719081972501,0.00560884094028414,3.97363540924848e-05,0.0078740157480315,0.0153719081972501,0.00560884094028414,3.97363540924848e-05,0.00161625490648811,0.000845946075988557,0,0,,,0.00611012313468793,0.0109683441664578,0.00374351102361838,3.26177991350118e-05,0.0040448136111842,0.00789437937573751,0.00225160759354429,2.07099478769031e-05,0.00127776617499481,0.000672891140518225,-0.000139609328820216,4.90473393760112e-05,-0.000314748674751638,-8.48667819921915e-05,-6.44496058613948e-07,,,,,0.00611012313468793
HK,HKG,Hong Kong,2020-05-02,2020-04-30,121,38,3,0.00826446280991736,0.0161309765023335,0.00734222238258285,4.50466866117797e-05,0,0,0,0,0.00131296252088804,0.000775387479603217,0,0,,,0.00587892934227671,0.0104384495271524,0.00371878274710958,3.27343598018713e-05,0.00365100811270928,0.00712480676447735,0.00208204562991827,1.93941908844761e-05,0.00127055348972769,0.000655909907350985,-0.000162964936493641,3.12078353922807e-05,-0.000339288399909708,-0.000108476902350286,-2.52701579964169e-06,,,,,0.00587892934227671
HK,HKG,Hong Kong,2020-05-03,2020-05-03,207,207,1,0.00966183574879227,0.0133255303018499,0.00494425850405014,6.05468065086049e-05,0.00483091787439614,0.00944552676577995,0.00480153399970388,5.96707924131941e-05,0.00173454520224797,0.000679339285274448,0,0,,,0.00561501245574284,0.00985926182948633,0.0036640868446065,3.26588573724542e-05,0.00324946768600426,0.00633931353743937,0.00189355644477223,1.79256044027554e-05,0.00126255835932406,0.000637473183515725,-0.000189312022483903,9.73757964462892e-06,-0.000360505589584689,-0.000131921328527559,-4.27755943304182e-06,,,,,0.00561501245574284
HK,HKG,Hong Kong,2020-05-04,2020-05-04,236,236,1,0,0,0,0,0,0,0,0,0.000664933808861754,0.000392812887047426,0,0,,,0.00531868974681264,0.00923579266680932,0.00357798787222435,3.23610965086372e-05,0.00284976394165736,0.00555613813259636,0.00169207166411285,1.63438502802394e-05,0.0012547579828951,0.000617962153463922,-0.000218027463291762,-1.49878026081613e-05,-0.000376669513303715,-0.00015374183589185,-5.67022775138923e-06,,,,,0.00531868974681264
