ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
ID,IDN,Indonesia,2020-04-23,2020-04-23,420,420,1,0.0238095238095238,0.0145802873698299,0.0218410945331223,3.14277711773085e-05,0.0119047619047619,0.0103724943263733,0.0111409632232302,2.25683724364266e-05,0.0241337513522435,0.00389391823371234,6,0,,,0.014382326250109,,,0.014382326250109
ID,IDN,Indonesia,2020-04-24,2020-04-24,3698,3698,1,0.0189291508923743,0.00439218262902215,0.0137061514988239,1.77704055274569e-05,0.0108166576527853,0.00333387703135932,0.00802369055484043,1.36355967203135e-05,0.00928330447501986,0.000828345425721929,68,0,,,0.0142512031845712,,,0.0142512031845712
ID,IDN,Indonesia,2020-04-25,2020-04-25,2668,2668,1,0.012743628185907,0.00425614776104571,0.0134733498461832,1.83300125814771e-05,0.00674662668665667,0.00310619375825964,0.00818939568679856,1.43288342901337e-05,0.0135260763947264,0.00117402876916942,42,1,,,0.0141173969065171,,,0.0141173969065171
ID,IDN,Indonesia,2020-04-26,2020-04-26,2514,2514,1,0.0139220365950676,0.00458007370072549,0.0115025226692157,1.70299970997674e-05,0.00914876690533015,0.00372178227112308,0.00856289772428154,1.47154383811124e-05,0.0158551117899617,0.00130505802195864,32,1,,,0.0139811499986886,,,0.0139811499986886
ID,IDN,Indonesia,2020-04-27,2020-04-27,2386,2386,1,0.0134115674769489,0.00461552014068368,0.0121684875112673,1.75448059362757e-05,0.0100586756077117,0.00400394404422645,0.00892018259813584,1.50463104606351e-05,0.011420945316559,0.00114173166808297,34,0,,,0.0138428016070905,,,0.0138428016070905
ID,IDN,Indonesia,2020-04-28,2020-04-28,2841,2841,1,0.0147835269271383,0.00443779600504551,0.0144146840592858,1.90611358952299e-05,0.00844772967265048,0.00336542785348402,0.00916282351134349,1.52375417566923e-05,0.01654099678362,0.00125050999914822,41,1,,,0.0137028695604291,,,0.0137028695604291
ID,IDN,Indonesia,2020-04-29,2020-04-29,2787,2787,1,0.0129171151776103,0.00419217287439128,0.00976498104745355,1.56974834164869e-05,0.00753498385360603,0.00321054212948556,0.00534679854817686,1.16414732164307e-05,0.0170415641843991,0.0012841456946655,38,0,,,0.0135617374060671,,,0.0135617374060671
ID,IDN,Indonesia,2020-04-30,2020-04-30,2481,2481,1,0.0161225312374043,0.00495589195923739,0.0141532633649338,1.86150200644745e-05,0.00967351874244256,0.00385137798605471,0.00779814413570052,1.38620084611863e-05,0.0152599742139622,0.00128921322307322,37,0,,,0.013420051379435,,,0.013420051379435
ID,IDN,Indonesia,2020-05-01,2020-05-01,1744,1744,1,0.0189220183486239,0.0063945552609053,0.017876050020368,2.16030261419322e-05,0.0126146788990826,0.00523788891998645,0.0135786550848106,1.88692773804786e-05,0.0184741273354251,0.00168358471145343,27,2,,,0.01327853355995,,,0.01327853355995
ID,IDN,Indonesia,2020-05-02,2020-05-02,1381,1381,1,0.0144822592324403,0.00630088616621675,0.0121444399183567,1.79726623085423e-05,0.00724112961622013,0.00447173748848177,0.00686990051556556,1.35536179950319e-05,0.022356099500104,0.00207249625248381,19,0,,,0.0131379640736772,,,0.0131379640736772
