ISO2,ISO_3,country,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
MG,MDG,Madagascar,2020-04-26,2020-04-23,17,4,114,13725162.2526403,0,0,0,2,100216.482723253,2,100216.482723253,19,2361.20821835695,0,0,,,,,,,,,,,,,,,,,,,,,,,,
MG,MDG,Madagascar,2020-04-27,2020-04-23,28,5,142,18668680.131843,0,0,0,2,100216.482723253,2,100216.482723253,20,2946.28636095867,0,1,,,,,,,,,,,,,,,,,,,,,,,,
MG,MDG,Madagascar,2020-04-28,2020-04-24,20,5,109,15697351.7977707,0,0,0,1,64564.7985782876,1,64564.7985782876,9,2256.72997860664,0,1,,,,,,,,,,,,,,,,,,,,,,,,
MG,MDG,Madagascar,2020-04-29,2020-04-25,20,5,107,15351735.4105573,0,0,0,1,64564.7985782876,1,64564.7985782876,17,2194.04303475646,0,1,,,,,,,,,,,,,,,,,,,,,,,,
MG,MDG,Madagascar,2020-04-30,2020-04-26,15,5,100,15438222.6896884,0,0,0,0,0,0,0,14,2047.77349910603,0,1,,,,,,,,,,,,,,,,,,,,,,,,
MG,MDG,Madagascar,2020-05-01,2020-04-26,7,6,107,16984185.153901,0,0,0,0,0,0,0,14,2173.1473868064,0,1,,,,,,,,,,,,,,,,,,,,,,,,
MG,MDG,Madagascar,2020-05-02,2020-04-26,9,7,116,18971982.2122232,0,0,0,0,0,0,0,15,2361.20821835695,0,2,,,,,,,,,,,,,,,,,,,,,,,,
MG,MDG,Madagascar,2020-05-03,2020-04-27,24,7,123,18802095.1590968,0,0,0,0,0,0,0,20,2507.47775400738,0,2,,,,,,,,,,,,,,,,,,,,,,,,
MG,MDG,Madagascar,2020-05-04,2020-04-29,25,6,100,14135868.5220442,0,0,0,0,0,0,0,27,2026.87785115597,0,2,,,,,,,,,,,,,,,,,,,,,,,,
MG,MDG,Madagascar,2020-05-05,2020-05-01,36,5,101,14120137.5776128,0,0,1,2,247848.619597135,2,247848.619597135,41,2089.56479500615,1,4,,,,,,,,,,,,,,,,,,,,,,,,
