ISO2,ISO_3,country,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_xgb,p_xgb_low,p_xgb_high,p_xgb_symp,p_xgb_symp_low,p_xgb_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
NI,NIC,Nicaragua,2020-04-23,2020-04-23,416,1,416,4134788.48578475,0,0,3,4,4,3,3,37113.5637552552,2,29315.2268226758,124,19456.6927996353,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NIC,Nicaragua,2020-04-24,2020-04-24,394,1,394,4109376.71148407,0,0,3,5,4,6,2,10298.4260960407,1,4271.3055664848,165,18596.200243386,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NIC,Nicaragua,2020-04-25,2020-04-25,438,1,438,3981492.66621715,0,0,4,3,6,2,6,45677.9367718499,6,45677.9367718499,90,20556.2110659537,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NIC,Nicaragua,2020-04-26,2020-04-26,416,1,416,3731949.16381198,0,0,5,4,7,10,2,13512.2259725779,2,13512.2259725779,75,19456.6927996353,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NIC,Nicaragua,2020-04-27,2020-04-27,439,1,439,4091701.81765216,0,0,2,2,4,3,3,19213.6939016849,3,19213.6939016849,131,20364.9904978983,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NIC,Nicaragua,2020-04-28,2020-04-28,499,1,499,4057481.26387264,0,0,3,2,7,7,7,40671.2560206099,3,12324.9711084448,165,23281.1041607429,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NIC,Nicaragua,2020-04-29,2020-04-29,490,1,490,3901165.72791085,0,0,5,6,4,3,10,96098.7401082861,4,21586.2632583025,142,23185.4938767152,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NIC,Nicaragua,2020-04-30,2020-04-30,464,1,464,4007153.88264715,0,0,4,4,7,5,5,35294.7977335401,4,28823.3406287902,185,21799.1447583137,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NIC,Nicaragua,2020-05-01,2020-05-01,357,1,357,3875063.62087585,0,0,3,4,7,5,3,35680.3413802303,2,22484.5920313584,260,16683.9945628322,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NIC,Nicaragua,2020-05-02,2020-05-02,328,1,328,4105778.50530008,0,0,3,3,5,4,5,40816.7880483813,2,19557.4028500451,197,15297.6454444307,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NIC,Nicaragua,2020-05-03,2020-05-03,782,1,782,4010086.30553852,0,0,16,14,19,17,19,77113.2428500714,13,58037.4416024994,449,36857.7644926752,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NIC,Nicaragua,2020-05-04,2020-05-04,923,1,923,4033439.25658064,0,0,10,13,20,16,26,102714.450518489,15,44359.9546786897,649,43359.2638065582,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NIC,Nicaragua,2020-05-05,2020-05-05,929,1,929,3941733.16560488,0,0,17,14,22,18,20,62985.7829511628,9,30734.0464586343,681,43454.8740905859,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NIC,Nicaragua,2020-05-06,2020-05-06,967,1,967,4024909.83235091,0,0,25,19,29,28,25,95024.6521894135,11,32861.9838172838,1021,45558.3003391951,0,3,,,,0.0131344044886509,0.0106145882535314,0.0156542207237703,0.0123692935475644,0.00992302341853381,0.014815563676595,0.0184901810762561,0.0155085591156858,0.0214718030368263,0.0161948482529967,0.0134011618134642,0.0189885346925291,0.0173425146646264,0.0144532202994755,0.0202318090297773,0.0127167511896785,0.0126874058380732,0.0127460965412838,0.00981892374394287,0.00763657613707707,0.0120012713508087,0.0068342599468974,0.00681268315078139,0.00685583674301341,0.0117801070015979,0.0114314650300439,0.0121287489731519,0,0,0
NI,NIC,Nicaragua,2020-05-07,2020-05-07,1111,1,1111,3917982.94355124,0,0,12,7,19,18,17,50814.4468635205,9,23413.2970027714,775,52011.9945110643,1,7,,,,0.0131193627738081,0.0107056580799463,0.01553306746767,0.0117137167623287,0.00943135652032837,0.013996077004329,0.0187419468197259,0.0158652478491418,0.02161864579031,0.0166334778025067,0.0139205096768539,0.0193464459281596,0.017570575143493,0.0147835613384832,0.0203575889485029,0.0130117529348279,0.0129820159814599,0.0130414898881959,0.0098395220803561,0.00774572183477718,0.011933322325935,0.00675502928423062,0.00673353542588091,0.00677652314258034,0.0124480703633282,0.0121046725580411,0.0127914681686153,0.0454545454545455,0,0.132495514436018
NI,NIC,Nicaragua,2020-05-08,2020-05-08,1134,1,1134,3876723.45648324,0,0,10,11,20,23,19,93816.7643264884,10,68640.5964371505,739,52442.2407891889,0,2,,,,0.0128274226581869,0.0105375540868143,0.0151172912295596,0.0114261075778808,0.0092633988371377,0.0135888163186239,0.0189716503179907,0.0161955340747089,0.0217477665612726,0.0171391613668212,0.0144980597430868,0.0197802629905555,0.018001509108548,0.0152959677314621,0.020707050485634,0.0145695420891518,0.01453803444279,0.0146010497355135,0.0100247924975746,0.00799760383848481,0.0120519811566645,0.00794194132163967,0.00791860072775855,0.0079652819155208,0.012799621573038,0.012465311440067,0.013133931706009,0.0416666666666667,0,0.121612373465642
NI,NIC,Nicaragua,2020-05-09,2020-05-09,1146,1,1146,3819367.10245692,0,0,19,21,27,26,27,88353.1920640863,18,53002.2888823134,880,53302.7333454381,0,1,,,,0.0134201301952929,0.0111631978227702,0.0156770625678156,0.0124186279419129,0.0102464404469041,0.0145908154369216,0.0197295943915874,0.0170018348686043,0.0224573539145704,0.0183274912368553,0.0156965637326839,0.0209584187410266,0.0188282423635453,0.0161622956420179,0.0214941890850727,0.0153825708413174,0.0153501620489935,0.0154149796336414,0.0105157736604907,0.00851499471296836,0.0125165526080131,0.00809740690433984,0.00807380635450942,0.00812100745417027,0.0135936520927763,0.0132615592564667,0.0139257449290859,0.04,0,0.116814586821685
NI,NIC,Nicaragua,2020-05-10,2020-05-10,1093,1,1093,3833642.44071554,0,0,14,14,27,18,33,85698.2015245549,13,36746.25675935,727,50625.6453926628,0,8,,,,0.0134121178015382,0.0112286574004732,0.0155955782026031,0.0125679984993435,0.0104534609040987,0.0146825360945882,0.0203526542862502,0.0176724113332659,0.0230328972392346,0.0179140874132433,0.0153964056323467,0.0204317691941399,0.0205402363534046,0.0178479281768391,0.0232325445299701,0.0166551198483274,0.0166214498445947,0.01668878985206,0.010879759894954,0.00891068175031392,0.0128488380395942,0.00850122855525603,0.00847707376396388,0.00852538334654819,0.0140518788282067,0.0137250431341388,0.0143787145222745,0.03125,0,0.091534265027531
NI,NIC,Nicaragua,2020-05-11,2020-05-11,1102,1,1102,3750729.67225315,0,0,14,16,28,19,22,72385.4351873098,11,41941.1273859708,1048,50625.6453926628,0,0,,,,0.0136865342163355,0.011546684809788,0.0158263836228831,0.0130684326710817,0.0109768055804251,0.0151600597617382,0.021280353200883,0.0186223986237482,0.0239383077780179,0.0182781456953642,0.0158110313271908,0.0207452600635376,0.0210154525386313,0.0183737356219124,0.0236571694553503,0.0177221200989879,0.0176873000278683,0.0177569401701074,0.0109492273730684,0.00903263384987163,0.0128658208962652,0.0089658463801981,0.00894096957578832,0.00899072318460788,0.0149824258785084,0.0146549008677095,0.0153099508893072,0.03125,0,0.091534265027531
NI,NIC,Nicaragua,2020-05-12,2020-05-12,1120,1,1120,3923734.01096822,0,0,27,31,35,34,36,90314.1794589291,16,40255.7574389895,1069,51486.137948912,0,6,,,,0.0149840950945923,0.012805514064955,0.0171626761242297,0.0148166750376695,0.0126501149415694,0.0169832351337696,0.0225179976561192,0.0198575415043438,0.0251784538078946,0.0195881466599699,0.0171030814698278,0.022073211850112,0.0223505775991964,0.0196998030918435,0.0250013521065493,0.0186674450889739,0.0186316822173821,0.0187032079605657,0.0114682738992131,0.00955894313468146,0.0133776046637448,0.00949527466550869,0.00946964966511813,0.00952089966589925,0.0158472149207644,0.0155191583241025,0.0161752715174262,0.0263157894736842,0,0.0772106065904289
NI,NIC,Nicaragua,2020-05-13,2020-05-13,1042,1,1042,3855525.4311866,0,0,26,28,43,39,40,132302.920093376,26,92099.0516554305,1204,47709.5317298182,0,6,,,,0.0160025604096655,0.0138025762556497,0.0182025445636814,0.0159225476076172,0.01372798108709,0.0181171141281444,0.0246439430308849,0.0219258487198591,0.0273620373419108,0.0216034565530485,0.0190545911196229,0.0241523219864741,0.0237638022083533,0.0210934825758999,0.0264341218408067,0.0193414893191022,0.0193050839118185,0.0193778947263858,0.0127220355256841,0.0107572015703533,0.014686869481015,0.0107857709511031,0.0107584665401961,0.0108130753620102,0.0170057576253304,0.0166733636108634,0.0173381516397975,0.0227272727272727,0,0.0667628104654133
NI,NIC,Nicaragua,2020-05-14,2020-05-14,1128,1,1128,3894480.75964813,0,0,34,34,41,44,42,127992.384357064,25,72366.4999622998,1209,51486.137948912,0,5,,,,0.0174745479410424,0.0152360225373205,0.0197130733447643,0.0173985716456466,0.0151648315427226,0.0196323117485705,0.0259838930253761,0.0232660627827216,0.0287017232680306,0.0234766752773135,0.0208899711573205,0.0260633793973064,0.0253760826622094,0.0226893901165275,0.0280627752078913,0.0210708244412816,0.0210328209113387,0.0211088279712245,0.0136757331712506,0.0116915931540887,0.0156598731884125,0.0116015897273142,0.0115732541341718,0.0116299253204565,0.0178555670314757,0.0175234915182793,0.0181876425446721,0.0217391304347826,0,0.0638813689118928
NI,NIC,Nicaragua,2020-05-15,2020-05-15,1222,1,1222,4045415.41781073,0,0,36,37,45,43,54,161321.982555151,24,70522.4545263983,1526,56266.6521502966,0,1,,,,0.0187495544307407,0.0165048916693005,0.0209942171921809,0.018678263349255,0.0164377906872964,0.0209187360112136,0.0270906109645683,0.0244039597478821,0.0297772621812546,0.02473800527554,0.0221675581095943,0.0273084524414858,0.0274470663719969,0.0247432930231015,0.0301508397208923,0.023288602362889,0.0232487559551913,0.0233284487705867,0.0144007984601126,0.0124292423103979,0.0163723546098274,0.0124385612158001,0.0124092791663748,0.0124678432652255,0.0187152787482555,0.0183859533234582,0.0190446041730527,0.0227272727272727,0,0.0667628104654133
