ISO2,ISO_3,country_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
PE,PER,Peru,2021-01-01,2021-01-01,966,966,1,0.025879917184265,0.0100126080888712,0.0264436195616775,6.64673494414173e-05,0.0196687370600414,0.00875657337932186,0.0203132995556689,5.84387878728927e-05,0.00673962474031179,0.000648584781330226,83,15,0,0,0.0338226068852045,,,0.0338226068852045
PE,PER,Peru,2021-01-02,2021-01-02,1278,1278,1,0.0305164319248826,0.00943017532087867,0.0349535718271465,7.73364744413087e-05,0.0179968701095462,0.00728849048582014,0.02156598569024,6.1166680558878e-05,0.00811403243190873,0.000611896969138743,124,22,0,0,0.034012359376029,,,0.034012359376029
PE,PER,Peru,2021-01-03,2021-01-03,1369,1369,1,0.0314097881665449,0.00923950933626758,0.0388614216287549,8.09224769933374e-05,0.0182615047479912,0.00709271578665986,0.0236433305487482,6.36173239699072e-05,0.00775946779312604,0.000577976444649263,119,21,0,0,0.0342106960482369,,,0.0342106960482369
PE,PER,Peru,2021-01-04,2021-01-04,1396,1396,1,0.0293696275071633,0.008856895886747,0.0383950379179362,8.15616541827879e-05,0.0164756446991404,0.00667758077609714,0.0270989185714365,6.89224092237834e-05,0.00844402910353114,0.00059818503179703,140,24,0,0,0.0344181697874618,,,0.0344181697874618
PE,PER,Peru,2021-01-05,2021-01-05,1501,1501,1,0.0299800133244504,0.00862708341089704,0.0378354725549725,8.13888824848132e-05,0.0193204530313125,0.00696353810784072,0.0209379367871395,6.10749172087262e-05,0.0093759638120695,0.000605649028592041,138,21,0,0,0.0346350473661685,,,0.0346350473661685
PE,PER,Peru,2021-01-06,2021-01-06,1550,1550,1,0.0406451612903226,0.0098305157367907,0.038120997904115,8.04543186681253e-05,0.0219354838709677,0.00729188150992921,0.024720295188044,6.52376680355058e-05,0.00855378576879999,0.000568245024307393,155,26,0,0,0.0348610673565567,,,0.0348610673565567
PE,PER,Peru,2021-01-07,2021-01-07,1385,1385,1,0.0332129963898917,0.0094371886186363,0.0352583502135292,7.79205584735087e-05,0.0166064981949459,0.00673016795968796,0.0181531610511419,5.64044738319799e-05,0.00869234469565607,0.000608525457575581,138,22,0,0,0.0350965623425047,,,0.0350965623425047
PE,PER,Peru,2021-01-08,2021-01-08,1433,1433,1,0.0307048150732729,0.00893215532380359,0.0307424605384837,7.30390121110641e-05,0.0160502442428472,0.00650657259664504,0.0150319627001877,5.14854956451635e-05,0.0110288480494162,0.000677415798231869,141,30,0,0,0.0353416764618406,,,0.0353416764618406
PE,PER,Peru,2021-01-09,2021-01-09,1280,1280,1,0.040625,0.0108151859729843,0.0496783784363564,9.12310660283127e-05,0.02421875,0.0084216114938156,0.0305474404102229,7.22560859672716e-05,0.00966725804699663,0.000666232344515095,142,31,0,0,0.0355960525337013,,,0.0355960525337013
PE,PER,Peru,2021-01-10,2021-01-10,1370,1370,1,0.0299270072992701,0.00902239131347033,0.0284328086193459,6.91824749359754e-05,0.0197080291970803,0.00736015785242831,0.0186154962210488,5.62609031901988e-05,0.00731354418646712,0.000561474307950112,134,27,0,0,0.0358595942079039,,,0.0358595942079039
PE,PER,Peru,2021-01-11,2021-01-11,1420,1420,1,0.0302816901408451,0.00891285358726812,0.0339290233954572,7.64226446516645e-05,0.0140845070422535,0.00612907012230966,0.0177843608847771,5.5789750511669e-05,0.0101307690622741,0.00064954396571423,140,31,0,0,0.0361322829500871,,,0.0361322829500871
PE,PER,Peru,2021-01-12,2021-01-12,1505,1505,1,0.0352159468438538,0.00931246351192114,0.0371930222009332,7.93751421517077e-05,0.0199335548172757,0.00706154902631219,0.0184558904899641,5.64555418043594e-05,0.0106607622445005,0.000644454552763381,169,35,0,0,0.0364132111324211,,,0.0364132111324211
