"date","ISO2","country","ISO3","population","cli","count","cli_local","count_local","cli_7days","count_7days","cli_local_7days","count_local_7days","cli_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_cli_7days","p_cli_7days_low","p_cli_7days_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_local_7days","p_cli_local_7days_low","p_cli_local_7days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-04-23,"SA","Saudi Arabia","SAU",34268529,1,83,27,83,NA,NA,NA,NA,NA,NA,NA,NA,0.0120481927710843,0,0.035519532450992,NA,NA,NA,NA,NA,NA,0.00613775858149579,0.00382974103185287,0.00844577613113872,NA,NA,NA,NA,NA,NA
2020-04-24,"SA","Saudi Arabia","SAU",34268529,2,368,233,368,NA,NA,NA,NA,NA,NA,NA,NA,0.00543478260869565,0,0.0129463731004915,NA,NA,NA,NA,NA,NA,0.0119462674323216,0.0104215384875604,0.0134709963770827,NA,NA,NA,NA,NA,NA
2020-04-25,"SA","Saudi Arabia","SAU",34268529,0,308,69,307,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00424067359105156,0.00324220229877976,0.00523914488332337,NA,NA,NA,NA,NA,NA
2020-04-26,"SA","Saudi Arabia","SAU",34268529,0,267,30,267,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00211999152003392,0.00136218079318089,0.00287780224688695,NA,NA,NA,NA,NA,NA
2020-04-27,"SA","Saudi Arabia","SAU",34268529,0,262,51,261,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00368683582736933,0.0026768512631052,0.00469682039163347,NA,NA,NA,NA,NA,NA
2020-04-28,"SA","Saudi Arabia","SAU",34268529,4,287,141,287,NA,NA,NA,NA,NA,NA,NA,NA,0.0139372822299652,0.000374510281990736,0.0275000541779396,NA,NA,NA,NA,NA,NA,0.00926960752087305,0.00774668564886076,0.0107925293928853,NA,NA,NA,NA,NA,NA
2020-04-29,"SA","Saudi Arabia","SAU",34268529,3,308,158,306,10,1883,709,1879,NA,NA,NA,NA,0.00974025974025974,0,0.0207083890837778,0.00531067445565587,0.00202789656595838,0.00859345234535336,NA,NA,NA,0.00974226168454803,0.00823060398365683,0.0112539193854392,0.00711940313494733,0.0065972269381969,0.00764157933169776,NA,NA,NA
2020-04-30,"SA","Saudi Arabia","SAU",34268529,2,248,40,247,11,2048,722,2043,NA,NA,NA,NA,0.00806451612903226,0,0.0191960015325685,0.00537109375,0.00220557405707038,0.00853661344292962,NA,NA,NA,0.00305553433656711,0.00211007958846126,0.00400098908467295,0.00666795962282622,0.006183207549127,0.00715271169652544,NA,NA,NA
2020-05-01,"SA","Saudi Arabia","SAU",34268529,3,198,210,198,12,1878,699,1873,NA,NA,NA,NA,0.0151515151515152,0,0.0321663696133538,0.00638977635782748,0.00278605542989689,0.00999349728575806,NA,NA,NA,0.0200114351057747,0.0173320990860231,0.0226907711255264,0.0070414731688644,0.00652131121113455,0.00756163512659425,NA,NA,NA
2020-05-02,"SA","Saudi Arabia","SAU",34268529,0,155,184,155,12,1725,814,1721,NA,NA,NA,NA,0,0,0,0.00695652173913044,0.00303428551425216,0.0108787579640087,NA,NA,NA,0.0223980523432745,0.0191981961281815,0.0255979085583675,0.00892416651135255,0.00831384736179436,0.00953448566091073,NA,NA,NA
2020-05-03,"SA","Saudi Arabia","SAU",34268529,4,635,202,634,16,2093,986,2088,NA,NA,NA,NA,0.0062992125984252,0.000145571283629861,0.0124528539132205,0.00764452938365982,0.00391312353336386,0.0113759352339558,NA,NA,NA,0.00601154693173025,0.0051850346376653,0.00683805922579521,0.00890985324947589,0.00835620138880412,0.00946350511014766,NA,NA,NA
2020-05-04,"SA","Saudi Arabia","SAU",34268529,11,728,506,727,27,2559,1441,2554,NA,NA,NA,NA,0.0151098901098901,0.0062483962180138,0.0239713840017664,0.0105509964830012,0.00659226180988624,0.0145097311561161,NA,NA,NA,0.0131322830967273,0.0119955917859818,0.0142689744074728,0.0106455282871116,0.0100988154399999,0.0111922411342233,NA,NA,NA
