ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
AL,ALB,Albania,Berat,2020-05-16,2020-05-03,8,14,102,1357506.79322494,0,0,0,0,0,0,0,15,3702.23806168915,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AL,ALB,Albania,Berat,2020-05-17,2020-05-04,3,14,101,1351114.87465493,0,0,0,0,0,0,0,16,3665.94161010396,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AL,ALB,Albania,Berat,2020-05-18,2020-05-04,4,15,105,1380932.92661149,0,0,0,0,0,0,0,16,3811.12741644471,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AL,ALB,Albania,Berat,2020-05-19,2020-05-05,4,15,103,1237670.48468754,0,0,0,0,0,0,0,13,3738.53451327434,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AL,ALB,Albania,Berat,2020-05-20,2020-05-06,9,15,102,1420818.01941393,0,0,0,0,0,0,0,13,3702.23806168915,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AL,ALB,Albania,Berat,2020-05-21,2020-05-07,9,15,103,1459801.96506433,0,0,1,0,0,0,0,10,3738.53451327434,1,2,,,,,,,,,,,,,,,,,,,,,,,,
AL,ALB,Albania,Berat,2020-05-22,2020-05-07,7,16,110,1570573.07924767,0,0,1,0,0,0,0,14,3992.60967437065,1,2,,,,,,,,,,,,,,,,,,,,,,,,
AL,ALB,Albania,Berat,2020-05-23,2020-05-08,7,16,105,1521377.10607235,0,0,1,0,0,0,0,14,3811.12741644471,1,2,,,,,,,,,,,,,,,,,,,,,,,,
AL,ALB,Albania,Berat,2020-05-24,2020-05-10,8,15,100,1390969.66487937,0,0,1,0,0,0,0,15,3629.64515851877,1,2,,,,,,,,,,,,,,,,,,,,,,,,
AL,ALB,Albania,Berat,2020-05-25,2020-05-11,8,15,102,1480168.48816087,0,0,1,0,0,0,0,14,3665.94161010396,1,2,,,,,,,,,,,,,,,,,,,,,,,,
AL,ALB,Albania,Berat,2020-05-26,2020-05-13,9,14,101,1534951.17440854,0,0,1,0,0,0,0,14,3629.64515851877,1,2,,,,,,,,,,,,,,,,,,,,,,,,
AL,ALB,Albania,Berat,2020-05-27,2020-05-14,7,14,100,1541554.82000275,0,0,1,0,0,0,0,14,3593.34870693359,1,1,,,,,,,,,,,,,,,,,,,,,,,,
AL,ALB,Albania,Berat,2020-05-28,2020-05-14,4,15,104,1601511.69599004,0,0,1,0,0,0,0,14,3738.53451327434,1,1,,,,,,,,,,,,,,,,,,,,,,,,
AL,ALB,Albania,Berat,2020-05-29,2020-05-15,9,15,106,1732301.32020128,0,0,1,1,5454.79125614291,1,5454.79125614291,14,3738.53451327434,1,1,,,,0.00623268698060942,0.00217344906529613,0.0102919248959227,0.000692520775623269,0,0.00204936648830595,0.000265036896044195,0.000258004427468243,0.000272069364620147,0.000692520775623269,0,0.00204936648830595,0.000265036896044195,0.000258004427468243,0.000272069364620147,0.00375781273271732,0.00323271801039084,0.00428290745504381,0.45,0.231967770946381,0.668032229053619
AL,ALB,Albania,Berat,2020-05-30,2020-05-16,10,15,106,1804936.53470278,0,0,1,1,5454.79125614291,1,5454.79125614291,15,3738.53451327434,1,1,,,,0.0069060773480663,0.00264053074435147,0.0111716239517811,0.00138121546961326,0,0.00329412483111136,0.000518795349719995,0.000509062782415304,0.000528527917024686,0.00138121546961326,0,0.00329412483111136,0.000518795349719995,0.000509062782415304,0.000528527917024686,0.00375519951106731,0.00323046925681202,0.00427992976532259,0.5,0.280869364855855,0.719130635144145
AL,ALB,Albania,Berat,2020-05-31,2020-05-17,3,15,101,1735601.31821504,0,0,1,1,5454.79125614291,1,5454.79125614291,10,3557.0522553484,1,1,,,,0.00759668508287293,0.00312449787661417,0.0120688722891317,0.00207182320441989,0,0.00441383888845851,0.000764220096329814,0.000752515650983819,0.000775924541675809,0.00207182320441989,0,0.00441383888845851,0.000764220096329814,0.000752515650983819,0.000775924541675809,0.00364785469108231,0.00313011048093089,0.00416559890123372,0.55,0.331967770946381,0.768032229053619
AL,ALB,Albania,Berat,2020-06-01,2020-05-18,3,15,101,1742775.90208028,0,0,1,1,5454.79125614291,1,5454.79125614291,9,3557.0522553484,1,1,,,,0.00831024930747923,0.00362794718125254,0.0129925514337059,0.00277008310249308,5.92140298677881e-05,0.00548095217511836,0.00100202771196225,0.000988738749845225,0.00101531667407927,0.00277008310249308,5.92140298677881e-05,0.00548095217511836,0.00100202771196225,0.000988738749845225,0.00101531667407927,0.00353068288792448,0.00302004477773387,0.00404132099811508,0.6,0.385296702753941,0.814703297246059
AL,ALB,Albania,Berat,2020-06-02,2020-05-20,7,14,100,1736945.90643368,0,0,1,1,5454.79125614291,1,5454.79125614291,9,3520.75580376321,1,1,,,,0.00902151283830673,0.00413962384868856,0.0139034018279249,0.00346981263011797,0.000433724723561586,0.00650590053667436,0.0012244592290201,0.00120993636406076,0.00123898209397944,0.00346981263011797,0.000433724723561586,0.00650590053667436,0.0012244592290201,0.00120993636406076,0.00123898209397944,0.0034680812614733,0.00296090788536565,0.00397525463758096,0.65,0.440962696904606,0.859037303095394
AL,ALB,Albania,Berat,2020-06-03,2020-05-20,6,15,106,1865579.19859659,0,0,1,1,5454.79125614291,1,5454.79125614291,9,3665.94161010396,1,1,,,,0.00968858131487889,0.00463813039388415,0.0147390322358736,0.0041522491349481,0.000836723863340935,0.00746777440655526,0.00144058621145197,0.00142499034144118,0.00145618208146276,0.0041522491349481,0.000836723863340935,0.00746777440655526,0.00144058621145197,0.00142499034144118,0.00145618208146276,0.00339296829252211,0.00289112185983083,0.00389481472521339,0.7,0.499163455473641,0.900836544526359
AL,ALB,Albania,Berat,2020-06-04,2020-05-21,3,15,100,1619321.8145951,0,0,1,1,5454.79125614291,1,5454.79125614291,9,3448.16290059284,1,1,,,,0.00970873786407767,0.004647831268631,0.0147696444595243,0.00485436893203884,0.00126700720026111,0.00844173066381656,0.00166896541573911,0.0016522393181443,0.00168569151333392,0.00485436893203884,0.00126700720026111,0.00844173066381656,0.00166896541573911,0.0016522393181443,0.00168569151333392,0.00339268014234865,0.00288943635743689,0.00389592392726041,0.736842105263158,0.538841412578439,0.934842797947877
AL,ALB,Albania,Berat,2020-06-05,2020-05-21,6,16,106,1709904.50559128,0,0,1,1,5454.79125614291,1,5454.79125614291,9,3665.94161010396,1,1,,,,0.00973574408901252,0.00466082906782954,0.0148106591101955,0.00556328233657858,0.00171893362860763,0.00940763104454953,0.00189584328248841,0.00187807258819253,0.00191361397678428,0.00556328233657858,0.00171893362860763,0.00940763104454953,0.00189584328248841,0.00187807258819253,0.00191361397678428,0.00331631234220957,0.00281715341676319,0.00381547126765596,0.777777777777778,0.585719359935695,0.96983619561986
AL,ALB,Albania,Berat,2020-06-06,2020-05-22,6,16,103,1712816.06573432,0,0,0,2,9742.78087653506,1,5454.79125614291,15,3557.0522553484,0,0,,,,0.00905292479108635,0.00415411522362501,0.0139517343585477,0.00696378830083565,0.00266272143872751,0.0112648551629438,0.00229998416945901,0.00228049563759365,0.00231947270132437,0.00626740947075209,0.00218562872774756,0.0103491902137566,0.00211523139690173,0.0020965402543587,0.00213392253944477,0.00335265098854511,0.00284951806878112,0.00385578390830911,0.8125,0.621250450618975,1
AL,ALB,Albania,Berat,2020-06-07,2020-05-23,5,16,101,1803790.01709528,0,0,0,2,9742.78087653506,1,5454.79125614291,11,3448.16290059284,0,0,,,,0.00835073068893528,0.00364571588740279,0.0130557454904678,0.00835073068893528,0.00364571588740279,0.0130557454904678,0.00267223213757549,0.00265141388152096,0.00269305039363003,0.0069589422407794,0.00266085797887696,0.0112570265026818,0.00230918406363528,0.00228982806592614,0.00232854006134442,0.00328552429659224,0.0027865431771098,0.00378450541607468,0.857142857142857,0.673843197580774,1
AL,ALB,Albania,Berat,2020-06-08,2020-05-23,5,17,106,1871206.19016834,0,0,0,2,9742.78087653506,1,5454.79125614291,11,3629.64515851877,0,0,,,,0.00763358778625954,0.00313975942194275,0.0121274161505763,0.00971547536433033,0.00465107391741143,0.0147798768112492,0.00303444286513663,0.00301244387911947,0.00305644185115379,0.00763358778625954,0.00313975942194275,0.0121274161505763,0.00249873872093572,0.00247877045949744,0.002518706982374,0.00322846665222902,0.00273364532833934,0.0037232879761187,0.916666666666667,0.760289779247936,1
