ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
BJ,BEN,Benin,Alibori,2020-10-04,2020-05-01,100,1,72,0.02,0.0274394957835608,0.0162643932384918,9.76866228859918e-05,0.01,0.0195013954179879,0.0134199142170167,8.88623940914379e-05,0.0389192745651738,0.0181371189277675,11,0,,,0.0199628825260602,,,0.0199628825260602
BJ,BEN,Benin,Alibori,2020-10-05,2020-05-04,100,1,72,0.02,0.0274394957835608,0.0159319406397665,9.57060256433852e-05,0.01,0.0195013954179879,0.0131456042387288,8.70581012059502e-05,0.0366299054731047,0.0176165344688742,11,0,,,0.0199622182000563,,,0.0199622182000563
BJ,BEN,Benin,Alibori,2020-10-10,2020-05-07,100,1,72,0.02,0.0274394957835608,0.0158103321287345,9.49813697293475e-05,0.01,0.0195013954179879,0.0130452638348676,8.63979786841589e-05,0.0362443275207563,0.0174345852144455,11,0,,,0.0199614002439459,,,0.0199614002439459
BJ,BEN,Benin,Alibori,2020-10-11,2020-05-07,101,1,73,0.0198019801980198,0.0271705622473482,0.0157722341407571,9.47543280571704e-05,0.0099009900990099,0.0193092777830645,0.0130138288023397,8.6191158984687e-05,0.0358667824424151,0.0172563539918144,11,0,,,0.0199616823073545,,,0.0199616823073545
BJ,BEN,Benin,Alibori,2020-10-16,2020-05-09,100,1,73,0.02,0.0274394957835608,0.0159450242155874,9.57839842811468e-05,0.01,0.0195013954179879,0.0131563996285471,8.71291182081083e-05,0.0362443275207563,0.0174345852144455,11,0,,,0.0199701188297741,,,0.0199701188297741
BJ,BEN,Benin,Alibori,2020-10-18,2020-05-10,100,1,73,0.02,0.0274394957835608,0.0157732817722388,9.47605714455321e-05,0.01,0.0195013954179879,0.0130146932135974,8.6196846272356e-05,0.0362443275207563,0.0174345852144455,11,0,,,0.0199800279999543,,,0.0199800279999543
BJ,BEN,Benin,Alibori,2020-10-22,2020-05-13,100,1,73,0.02,0.0274394957835608,0.0157392120721563,9.45575286921861e-05,0.01,0.0195013954179879,0.0129865819618709,8.60118891670244e-05,0.0362443275207563,0.0174345852144455,11,0,,,0.0200254871232419,,,0.0200254871232419
BJ,BEN,Benin,Alibori,2020-10-23,2020-05-21,100,1,73,0.02,0.0274394957835608,0.0158128686284157,9.49964854645116e-05,0.01,0.0195013954179879,0.0130473567262305,8.64117481541578e-05,0.0362443275207563,0.0174345852144455,11,0,,,0.0200460862660955,,,0.0200460862660955
BJ,BEN,Benin,Alibori,2020-10-24,2020-05-21,101,1,74,0.0198019801980198,0.0271705622473482,0.0156023527909298,9.37418265506145e-05,0.0099009900990099,0.0193092777830645,0.0128736579943468,8.52688558298047e-05,0.0358667824424151,0.0172563539918144,11,0,,,0.0200720413163751,,,0.0200720413163751
BJ,BEN,Benin,Alibori,2020-11-02,2020-05-22,100,1,74,0.02,0.0274394957835608,0.0156207757516993,9.38516368854796e-05,0.01,0.0195013954179879,0.0128888589643138,8.53688823549627e-05,0.0358667824424151,0.0172563539918144,11,0,,,0.020734289196727,,,0.020734289196727
BJ,BEN,Benin,Alibori,2020-11-08,2020-05-23,100,1,74,0.02,0.0274394957835608,0.0154581961665999,9.28825070185507e-05,0.01,0.0195013954179879,0.0127547129157353,8.44861110913074e-05,0.0358667824424151,0.0172563539918144,11,0,,,0.021815670351938,,,0.021815670351938
BJ,BEN,Benin,Alibori,2020-11-12,2020-05-24,100,1,74,0.02,0.0274394957835608,0.0152987187629843,9.19317117791596e-05,0.01,0.0195013954179879,0.0126231265082566,8.36200663048187e-05,0.0358667824424151,0.0172563539918144,11,0,,,0.0228104061354873,,,0.0228104061354873
BJ,BEN,Benin,Alibori,2020-11-14,2020-05-25,100,1,74,0.02,0.0274394957835608,0.0150037268751117,9.01725762292507e-05,0.01,0.0195013954179879,0.0123797257387402,8.20178006337211e-05,0.0358667824424151,0.0172563539918144,11,0,,,0.0233724634867208,,,0.0233724634867208
BJ,BEN,Benin,Alibori,2020-11-17,2020-05-25,101,1,75,0.0198019801980198,0.0271705622473482,0.0148446803992684,8.92239076060609e-05,0.0099009900990099,0.0193092777830645,0.0122484948940946,8.11537649891452e-05,0.0354970217986788,0.0170817280524741,11,0,,,0.0242761893805057,,,0.0242761893805057
BJ,BEN,Benin,Alibori,2020-11-19,2020-05-29,100,1,75,0.02,0.0274394957835608,0.0149267543880606,8.97134757926083e-05,0.01,0.0195013954179879,0.0123162149665798,8.15996544871195e-05,0.0358667824424151,0.0172563539918144,11,0,,,0.0249069860681503,,,0.0249069860681503
BJ,BEN,Benin,Alibori,2020-11-21,2020-05-30,100,1,75,0.03,0.0334344809563718,0.0279900329138783,0.000121648491738524,0.02,0.0274394957835608,0.0253959244510838,0.000116028797090229,0.0425918041503679,0.0187389778472444,11,0,,,0.0255468371962666,,,0.0255468371962666
BJ,BEN,Benin,Alibori,2020-11-22,2020-06-06,100,3,73,0.03,0.0334344809563718,0.0273893400973609,0.000119074575446513,0.02,0.0274394957835608,0.0248509036776705,0.000113570450658665,0.0425918041503679,0.0187389778472444,11,0,,,0.0258659339369882,,,0.0258659339369882
BJ,BEN,Benin,Alibori,2020-11-28,2020-06-09,100,3,72,0.03,0.0334344809563718,0.0271816577195662,0.000118184296687795,0.02,0.0274394957835608,0.0246624692448664,0.000112720180744431,0.0403501302477169,0.0182605218117149,12,0,,,0.0276398786973328,,,0.0276398786973328
BJ,BEN,Benin,Alibori,2020-12-01,2020-06-11,100,1,72,0.03,0.0334344809563718,0.0278508117845618,0.000121052085989054,0.02,0.0274394957835608,0.0252696062972968,0.000115459156806034,0.0403501302477169,0.0182605218117149,13,0,,,0.028351291028586,,,0.028351291028586
BJ,BEN,Benin,Alibori,2020-12-03,2020-06-11,101,1,73,0.0297029702970297,0.0331085145091172,0.0275238063313201,0.000119650892649568,0.0198019801980198,0.0271705622473482,0.0249729076184789,0.000114120877928309,0.0399341495235137,0.0180761854905768,13,0,,,0.0287384512754375,,,0.0287384512754375
BJ,BEN,Benin,Alibori,2020-12-06,2020-06-12,100,1,73,0.03,0.0334344809563718,0.0275927104413001,0.000119946181522256,0.02,0.0274394957835608,0.0250354257147171,0.000114402904439244,0.0403501302477169,0.0182605218117149,13,0,,,0.0291874906357262,,,0.0291874906357262
BJ,BEN,Benin,Alibori,2020-12-07,2020-06-13,100,1,73,0.03,0.0334344809563718,0.0277177703399687,0.000120482071674883,0.02,0.0274394957835608,0.0251488950967725,0.000114914731115461,0.0403501302477169,0.0182605218117149,13,0,,,0.0293046897121043,,,0.0293046897121043
BJ,BEN,Benin,Alibori,2020-12-11,2020-06-14,100,1,73,0.03,0.0334344809563718,0.0274947642554582,0.000119526426300114,0.02,0.0274394957835608,0.0249465571541275,0.00011400200235073,0.0403501302477169,0.0182605218117149,13,0,,,0.029638433090061,,,0.029638433090061
