ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,pos_RF_symp,pos_XGB,pos_XGB_symp,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_xgb,p_xgb_low,p_xgb_high,p_xgb_symp,p_xgb_symp_low,p_xgb_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
GE,GEO,Georgia,Tbilisi,2021-06-27,2021-03-10,2,67,100,4890444.92513082,8,30,1,1,2,1,1,17387.4895920834,1,17387.4895920834,12,2062.88372093023,1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GEO,Georgia,Tbilisi,2021-06-28,2021-03-14,2,66,100,5180490.47363597,8,32,1,1,2,1,1,17387.4895920834,1,17387.4895920834,12,2084.37209302326,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GEO,Georgia,Tbilisi,2021-08-20,2021-06-10,3,53,100,6412386.44897558,28,72,4,3,3,3,1,23986.4818545217,1,23986.4818545217,10,2632.5,4,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GEO,Georgia,Tbilisi,2021-08-21,2021-06-13,3,52,101,6471281.04878985,29,72,4,3,3,3,1,23986.4818545217,1,23986.4818545217,12,2659.36224489796,4,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GEO,Georgia,Tbilisi,2021-08-22,2021-06-16,2,51,100,6257939.00303367,29,71,4,3,3,3,1,23986.4818545217,1,23986.4818545217,12,2632.5,4,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GEO,Georgia,Tbilisi,2021-08-23,2021-06-16,1,52,101,6271274.3865809,29,72,4,3,3,3,1,23986.4818545217,1,23986.4818545217,12,2659.36224489796,4,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GEO,Georgia,Tbilisi,2021-08-24,2021-06-16,2,53,103,6319098.76257901,29,74,4,3,3,3,1,23986.4818545217,1,23986.4818545217,12,2713.08673469388,4,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GEO,Georgia,Tbilisi,2021-08-26,2021-06-22,4,51,101,6375455.5256251,30,71,4,3,3,3,1,23986.4818545217,1,23986.4818545217,12,2659.36224489796,4,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GEO,Georgia,Tbilisi,2021-08-28,2021-06-25,4,49,100,5548818.53541031,29,71,4,3,3,3,1,23986.4818545217,1,23986.4818545217,11,2632.5,4,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GEO,Georgia,Tbilisi,2021-08-29,2021-06-25,1,50,101,5562896.85929428,29,72,4,3,3,3,1,23986.4818545217,1,23986.4818545217,11,2659.36224489796,4,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GEO,Georgia,Tbilisi,2021-08-30,2021-06-28,3,49,100,5632471.02337052,31,69,4,3,3,3,1,23986.4818545217,1,23986.4818545217,11,2632.5,4,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GEO,Georgia,Tbilisi,2021-08-31,2021-07-03,3,48,100,5403149.4891264,30,70,4,3,3,3,1,23986.4818545217,1,23986.4818545217,10,2632.5,4,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GEO,Georgia,Tbilisi,2021-09-01,2021-07-03,1,49,101,5445395.29116415,30,70,4,3,3,3,1,23986.4818545217,1,23986.4818545217,10,2659.36224489796,4,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GEO,Georgia,Tbilisi,2021-09-02,2021-07-03,1,50,102,5495604.41232772,30,71,4,3,3,3,1,23986.4818545217,1,23986.4818545217,10,2686.22448979592,4,58,0.286936236391913,0.262214185901933,0.311658286881893,0.0354609929078014,0.0258077356907741,0.0451142501248288,0.0269503546099291,0.0184977943419611,0.035402914877897,0.0283687943262411,0.0197029735813504,0.0370346150711319,0.0269503546099291,0.0184977943419611,0.035402914877897,0.0099290780141844,0.00475388980077231,0.0151042662275965,0.00396980235305511,0.00395613096982768,0.00398347373628255,0.0099290780141844,0.00475388980077231,0.0151042662275965,0.00396980235305511,0.00395613096982768,0.00398347373628255,0.00436039912298505,0.00367982475354044,0.00504097349242966,0.0637755102040816,0.0466711423096059,0.0808798780985574
