ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
HR,HRV,Croatia,Bjelovarska-Bilogorska,2020-05-10,2020-05-03,105,14,8,0.00952380952380953,0.0185772237565978,0.00705816655508623,0.000192345726766992,0,0,0,0,0.00238961008150208,0.00165390523238214,0,0,,,0.00134877423522506,,,0.00134877423522506
HR,HRV,Croatia,Bjelovarska-Bilogorska,2020-05-11,2020-05-03,116,11,9,0.00862068965517241,0.0168232549815172,0.00627820508977866,0.000171157778874309,0,0,0,0,0.00243338526618476,0.0015878470392848,0,0,,,0.00128693070139624,,,0.00128693070139624
HR,HRV,Croatia,Bjelovarska-Bilogorska,2020-05-12,2020-05-05,103,18,8,0,0,0,0,0,0,0,0,0.00153743295684876,0.00134655832462617,0,0,,,0.00123049033508488,,,0.00123049033508488
HR,HRV,Croatia,Bjelovarska-Bilogorska,2020-05-13,2020-05-05,114,11,9,0,0,0,0,0,0,0,0,0.0013877713415803,0.00121556851756561,0,0,,,0.00118021153511589,,,0.00118021153511589
HR,HRV,Croatia,Bjelovarska-Bilogorska,2020-05-14,2020-05-06,103,5,9,0,0,0,0,0,0,0,0,0.00184491954821851,0.00147485358832266,0,0,,,0.00113691434842737,,,0.00113691434842737
HR,HRV,Croatia,Bjelovarska-Bilogorska,2020-05-15,2020-05-06,112,9,10,0,0,0,0,0,0,0,0,0.00169533147674134,0.00135537241467623,0,0,,,0.00110147660404925,,,0.00110147660404925
HR,HRV,Croatia,Bjelovarska-Bilogorska,2020-05-16,2020-05-07,108,9,10,0,0,0,0,0,0,0,0,0.00117247223625102,0.00114832789412302,0,0,,,0.00107482696803076,,,0.00107482696803076
HR,HRV,Croatia,Bjelovarska-Bilogorska,2020-05-17,2020-05-09,103,12,9,0,0,0,0,0,0,0,0,0.00122994636547901,0.00120458381883533,0,0,,,0.00105793430064475,,,0.00105793430064475
HR,HRV,Croatia,Bjelovarska-Bilogorska,2020-05-18,2020-05-09,110,7,10,0,0,0,0,0,0,0,0,0.004028356444734,0.00210588888181603,0,0,,,0.00105179271724409,,,0.00105179271724409
HR,HRV,Croatia,Bjelovarska-Bilogorska,2020-05-19,2020-05-10,104,8,10,0,0,0,0,0,0,0,0,0.00395851670054652,0.00214757138962118,0,0,,,0.00105740182556971,,,0.00105740182556971
HR,HRV,Croatia,Bjelovarska-Bilogorska,2020-05-20,2020-05-11,100,10,10,0,0,0,0,0,0,0,0,0.00411845676925547,0.00223416255309303,0,0,,,0.00107574174709286,,,0.00107574174709286
