ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cases_infected,p_cases_infected_smooth,p_cases_active
IS,ISL,Iceland,Höfuðborgarsvæði,2020-12-27,2020-05-04,100,2,74,0.03,0.0334344809563718,0.0610388777401369,0.000532113836968062,0.01,0.0195013954179879,0.010606685006013,0.000227694111133251,0.0325174825174825,0.0112591530455659,46,0,,,0.03,0.0334344809563718,0.0612708473574662,0.000534069933135772,0.01,0.0195013954179879,0.0106469942114419,0.000228554764391665,0.0304336750895452,0.0109007311853833,,,0.03
IS,ISL,Iceland,Höfuðborgarsvæði,2020-12-28,2020-05-05,100,1,74,0.03,0.0334344809563718,0.0614564952974157,0.000535635312976553,0.01,0.0195013954179879,0.0106792541299392,0.000229243547644955,0.0293706293706294,0.0107178837595969,46,0,,,0.03,0.0334344809563718,0.061271735575104,0.000534077423660141,0.01,0.0195013954179879,0.0106471485564275,0.000228558059895652,0.0304223873082324,0.0108987896491736,,,0.03
IS,ISL,Iceland,Höfuðborgarsvæði,2020-12-30,2020-05-12,100,1,74,0.03,0.0334344809563718,0.0613196629539927,0.000534481683064444,0.01,0.0195013954179879,0.0106554768650376,0.000228735887574474,0.0293706293706294,0.0107178837595969,47,0,,,0.03,0.0334344809563718,0.0612734950119352,0.000534092261387512,0.01,0.0195013954179879,0.0106474542925902,0.000228564587837345,0.0303998568206904,0.0108949143298195,,,0.03
IS,ISL,Iceland,Höfuðborgarsvæði,2021-10-06,2020-12-15,100,1,85,0,0,0,0,0,0,0,0,0.00162973740065539,0.000962310443488171,51,0,5,32,1.27171612522803e-06,2.48014791224628e-06,1.94331107014955e-05,6.75907417017394e-08,0,0,0,0,0.00178107391662574,0.000992969672309034,0.135135135135135,0.134734581479039,1.27171612522803e-06
IS,ISL,Iceland,Höfuðborgarsvæði,2021-10-08,2020-12-17,100,1,85,0,0,0,0,0,0,0,0,0.00162973740065539,0.000962310443488171,50,0,5,32,2.32538313586136e-06,4.53504836116247e-06,3.55342100380159e-05,1.23592339340199e-07,0,0,0,0,0.00183459539722118,0.00100381905299766,0.135135135135135,0.134600523272918,2.32538313586136e-06
IS,ISL,Iceland,Höfuðborgarsvæði,2021-10-17,2020-12-19,100,1,85,0,0,0,0,0,0,0,0,0.00162973740065539,0.000962310443488171,50,0,5,32,3.52493079628015e-05,6.87437398932977e-05,0.00053671669156653,1.86699399923749e-06,0,0,0,0,0.00228750689580001,0.00109572108724459,0.135135135135135,0.133616546909148,3.52493079628015e-05
IS,ISL,Iceland,Höfuðborgarsvæði,2021-10-24,2020-12-20,100,1,85,0,0,0,0,0,0,0,0,0.00162973740065539,0.000962310443488171,50,0,5,32,0.000194727456185867,0.000379759048029015,0.00295864197441918,1.02930287305043e-05,0,0,0,0,0.00290454409559027,0.00122117031397494,0.135135135135135,0.132878802834873,0.000194727456185867
IS,ISL,Iceland,Höfuðborgarsvæði,2021-10-29,2020-12-22,100,1,85,0,0,0,0,0,0,0,0,0.00162973740065539,0.000962310443488171,51,0,5,33,0.000547463492618984,0.00106766465976129,0.008305552205652,2.88971342326788e-05,0,0,0,0,0.00346386649785178,0.00133512465312838,0.131578947368421,0.133198488115196,0.000547463492618984
IS,ISL,Iceland,Höfuðborgarsvæði,2021-10-30,2020-12-22,101,1,86,0,0,0,0,0,0,0,0,0.00571919905999939,0.00178980421671463,51,0,5,34,0.000661598400515533,0.00129025005805638,0.0100336470061317,3.49102949236476e-05,0,0,0,0,0.00358535393676175,0.0013599032842512,0.128205128205128,0.133440751510934,0.000661598400515533
IS,ISL,Iceland,Höfuðborgarsvæði,2021-11-07,2020-12-26,100,1,86,0,0,0,0,0,0,0,0,0.00577815987505093,0.00180820219103128,50,0,5,35,0.00237258800091234,0.00462700046198855,0.0358637467908865,0.000124806302040098,0,0,0,0,0.00459861764983676,0.00156682630392185,0.125,0.138953786627393,0.00237258800091234
IS,ISL,Iceland,Höfuðborgarsvæði,2021-11-17,2020-12-27,100,1,86,0,0,0,0,0,0,0,0,0.0056300019295368,0.00178500255711457,49,0,6,35,0.00594470202588728,0.01159323417011,0.0893841071580587,0.000311168113155545,0,0,0,0,0.00547742135480746,0.00174625474589673,0.146341463414634,0.15409233543343,0.00594470202588728
IS,ISL,Iceland,Höfuðborgarsvæði,2021-11-19,2020-12-27,101,1,87,0.0099009900990099,0.0193092777830645,0.151297158879675,0.000526230069036564,0,0,0,0,0.00571919905999939,0.00178980421671463,49,0,6,35,0.00658967472602712,0.0128510327155922,0.0989684936918934,0.00034456168546817,0,0,0,0,0.00556207360241778,0.00176346611303212,0.146341463414634,0.157250634614679,0.00658967472602712
IS,ISL,Iceland,Höfuðborgarsvæði,2021-11-24,2020-12-30,100,2,86,0.01,0.0195013954179879,0.150428249005796,0.000523475657998997,0,0,0,0,0.00577815987505093,0.00180820219103128,49,0,7,36,0.00788192606913306,0.015371116124154,0.118039865238138,0.000411044724198517,0,0,0,0,0.00568289899329881,0.00178790178452228,0.162790697674419,0.164212626836718,0.00788192606913306
IS,ISL,Iceland,Höfuðborgarsvæði,2021-11-29,2021-01-01,100,1,86,0.01,0.0195013954179879,0.149992926121923,0.000522094486691528,0,0,0,0,0.00577815987505093,0.00180820219103128,48,0,8,36,0.00873780995268384,0.017040207378881,0.130505156809099,0.000454545009936259,0,0,0,0,0.00573054450948795,0.00179740050426113,0.181818181818182,0.169605222298878,0.00873780995268384
IS,ISL,Iceland,Höfuðborgarsvæði,2021-12-02,2021-01-01,101,1,87,0.0099009900990099,0.0193092777830645,0.149692261098334,0.000521140078212285,0,0,0,0,0.00571919905999939,0.00178980421671463,49,0,8,37,0.00908710788559545,0.0177213829784759,0.135519192848742,0.000472063665225294,0,0,0,0,0.00574370744185583,0.00179997692843474,0.177777777777778,0.172140991344531,0.00908710788559545
IS,ISL,Iceland,Höfuðborgarsvæði,2021-12-03,2021-01-02,100,1,87,0.01,0.0195013954179879,0.14639789543845,0.000510657402227363,0,0,0,0,0.00577815987505093,0.00180820219103128,49,0,8,38,0.00918171823131911,0.0179058847629852,0.136865088534367,0.000476769726176835,0,0,0,0,0.00574663690052733,0.00180054352694938,0.173913043478261,0.172882308774152,0.00918171823131911
IS,ISL,Iceland,Höfuðborgarsvæði,2021-12-05,2021-01-09,100,1,87,0.01,0.0195013954179879,0.146046099460722,0.000509535251308461,0,0,0,0,0.00577815987505093,0.00180820219103128,50,0,9,38,0.00934378538054691,0.0182219349859274,0.139153718454232,0.000484777210007879,0,0,0,0,0.0057511671466073,0.00180141371055106,0.191489361702128,0.174225686167813,0.00934378538054691
