"date","age","ISO2","country","ISO3","population","cli","anosmia","count","cli_local","count_local","cli_14days","anosmia_14days","count_14days","cli_local_14days","count_local_14days","p_cli","p_cli_low","p_cli_high","p_anosmia","p_anosmia_low","p_anosmia_high","p_cli_local","p_cli_local_low","p_cli_local_high","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-04-23,-99,"CA","Canada","CAN",37411038,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,-77,"CA","Canada","CAN",37411038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,1,"CA","Canada","CAN",37411038,2,4,229,59,229,NA,NA,NA,NA,NA,0.00873362445414847,0,0.0207846163373825,0.0174672489082969,0.000499816717823502,0.0344346810987704,0.00486116832825245,0.00362378408466725,0.00609855257183766,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,2,"CA","Canada","CAN",37411038,1,8,478,89,478,NA,NA,NA,NA,NA,0.00209205020920502,0,0.00618810196573133,0.0167364016736402,0.00523634002304843,0.0282364633242319,0.00351306544564617,0.00278448899021084,0.00424164190108149,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,3,"CA","Canada","CAN",37411038,4,7,357,73,357,NA,NA,NA,NA,NA,0.0112044817927171,0.000285978354110547,0.0221229852313236,0.0196078431372549,0.00522552771869248,0.0339901585558173,0.00385814703239786,0.00297481083150083,0.0047414832332949,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,4,"CA","Canada","CAN",37411038,2,2,310,43,310,NA,NA,NA,NA,NA,0.00645161290322581,0,0.0153640382758659,0.00645161290322581,0,0.0153640382758659,0.00261716372489349,0.0018359395023389,0.00339838794744807,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,5,"CA","Canada","CAN",37411038,3,6,271,33,271,NA,NA,NA,NA,NA,0.011070110701107,0,0.023527360668107,0.022140221402214,0.00462189084551092,0.0396585519589171,0.00229757014551278,0.00151457257335005,0.0030805677176755,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,6,"CA","Canada","CAN",37411038,1,0,143,14,143,NA,NA,NA,NA,NA,0.00699300699300699,0,0.0206510415435969,0,0,0,0.00184720939437921,0.000880493822134487,0.00281392496662392,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-23,7,"CA","Canada","CAN",37411038,0,2,36,2,36,NA,NA,NA,NA,NA,0,0,0,0.0555555555555556,0,0.130380912320973,0.0010482180293501,0,0.0025001858167871,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-24,-99,"CA","Canada","CAN",37411038,0,0,8,2,8,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.00471698113207547,0,0.011238826979279,NA,NA,NA,NA,NA,NA,NA,NA,NA
