"date","age","ISO2","country","ISO3","population","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high"
2020-05-06,-99,"LY","Libya","LBY",6777453,786,760,0.0127226463104326,0.00488753568761642,0.0205577569332487,0.0089058524173028,0.00233786940547743,0.0154738354291282,0.0305343511450382,0.0185062414964692,0.0425624607936071,0.00593346573982125,0.00518345875799301,0.00668347272164949
2020-05-06,1,"LY","Libya","LBY",6777453,889,888,0.0146231721034871,0.00673240584556781,0.0225139383614063,0.0112485939257593,0.00431609378446087,0.0181810940670577,0.0348706411698538,0.0228114011160022,0.0469298812237053,0.0112825089240184,0.0103283018656106,0.0122367159824261
2020-05-06,2,"LY","Libya","LBY",6777453,1772,1764,0.0112866817155756,0.00636816033663925,0.016205203094512,0.00733634311512415,0.0033629904784801,0.0113096957517682,0.0355530474040632,0.0269313292655504,0.044174765542576,0.00775467419672271,0.00719239479407138,0.00831695359937405
2020-05-06,3,"LY","Libya","LBY",6777453,1279,1273,0.000781860828772478,0,0.00231368070772597,0.000781860828772478,0,0.00231368070772597,0.0234558248631744,0.0151614411861148,0.0317502085402339,0.00306807570884406,0.00265076287384329,0.00348538854384484
2020-05-06,4,"LY","Libya","LBY",6777453,619,617,0.00161550888529887,0,0.00477928945880607,0.00161550888529887,0,0.00477928945880607,0.012924071082391,0.00402637195573494,0.021821770209047,0.00776734656432525,0.00681584244398091,0.00871885068466959
2020-05-06,5,"LY","Libya","LBY",6777453,150,150,0.00666666666666667,0,0.0196894656408125,0.00666666666666667,0,0.0196894656408125,0.02,0,0.0424042544896581,0.000628930817610063,7.7832162764213e-05,0.00118002947245591
2020-05-07,-99,"LY","Libya","LBY",6777453,849,821,0.0141342756183746,0.00619392083351241,0.0220746304032367,0.0106007067137809,0.00371184521346182,0.0174895682141,0.0282685512367491,0.0171199816031448,0.0394171208703535,0.00827338956174017,0.00742229797393482,0.00912448114954552
2020-05-07,1,"LY","Libya","LBY",6777453,976,975,0.0153688524590164,0.00765128049420111,0.0230864244238317,0.0122950819672131,0.00538150973767006,0.0192086541967562,0.0379098360655738,0.0259284510922479,0.0498912210388996,0.0105466860183841,0.009665913996606,0.0114274580401623
2020-05-07,2,"LY","Libya","LBY",6777453,1926,1918,0.0114226375908619,0.00667684800188631,0.0161684271798375,0.0083073727933541,0.00425377792219003,0.0123609676645182,0.0368639667705088,0.0284487598710311,0.0452791736699865,0.00733861923780668,0.00681394034263713,0.00786329813297622
2020-05-07,3,"LY","Libya","LBY",6777453,1394,1388,0.00143472022955524,0,0.00342167758302761,0.00143472022955524,0,0.00342167758302761,0.0229555236728838,0.0150938054608196,0.030817241884948,0.00300418683051493,0.00260870588900037,0.00339966777202948
2020-05-07,4,"LY","Libya","LBY",6777453,669,667,0.00149476831091181,0,0.00442226994125843,0.00149476831091181,0,0.00442226994125843,0.0149476831091181,0.00575268547847877,0.0241426807397574,0.00712851121609007,0.00625152417148133,0.00800549826069881
2020-05-07,5,"LY","Libya","LBY",6777453,167,167,0.00598802395209581,0,0.0176891438193614,0.00598802395209581,0,0.0176891438193614,0.0179640718562874,0,0.0381085460343064,0.000677889504010846,0.000135658777915334,0.00122012023010636
2020-05-08,-99,"LY","Libya","LBY",6777453,811,783,0.0160295930949445,0.00738608721975747,0.0246730989701316,0.00986436498150432,0.00306263204402921,0.0166660979189794,0.0357583230579531,0.0229786664268346,0.0485379796890717,0.00843393816718475,0.00755409491334765,0.00931378142102185
2020-05-08,1,"LY","Libya","LBY",6777453,964,963,0.0145228215767635,0.00697088453626405,0.0220747586172629,0.012448132780083,0.00544904182407475,0.0194472237360912,0.0435684647302905,0.0306823306493611,0.0564545988112198,0.00918905150962989,0.00836124706456096,0.0100168559546988
2020-05-08,2,"LY","Libya","LBY",6777453,1885,1878,0.0106100795755968,0.0059848267715091,0.0152353323796845,0.00742705570291777,0.00355107174598168,0.0113030396598539,0.0355437665782493,0.0271855157506017,0.043902017405897,0.00635963590330942,0.00586578812862597,0.00685348367799287
2020-05-08,3,"LY","Libya","LBY",6777453,1388,1385,0.00216138328530259,0,0.00460452920171975,0.00144092219020173,0,0.00343646249944782,0.0223342939481268,0.0145604706883892,0.0301081172078644,0.00303794019480962,0.00263982001170196,0.00343606037791727
2020-05-08,4,"LY","Libya","LBY",6777453,673,672,0.00148588410104012,0,0.00439599896517459,0.00148588410104012,0,0.00439599896517459,0.0163447251114413,0.00676504886457197,0.0259244013583106,0.00701931716082659,0.00615226873782929,0.0078863655838239
2020-05-08,5,"LY","Libya","LBY",6777453,182,182,0.00549450549450549,0,0.0162339123703056,0.00549450549450549,0,0.0162339123703056,0.0164835164835165,0,0.0349816603120974,0.00114036906489737,0.000466850754990071,0.00181388737480466
2020-05-09,-99,"LY","Libya","LBY",6777453,813,786,0.018450184501845,0.00919980931191415,0.0277005596917759,0.01230012300123,0.00472359826864732,0.0198766477338127,0.03690036900369,0.0239418974107523,0.0498588405966278,0.0107062268951942,0.0097179474961013,0.0116945062942871
2020-05-09,1,"LY","Libya","LBY",6777453,991,990,0.0141271442986882,0.00677948671631082,0.0214748018810656,0.012108980827447,0.00529941255874537,0.0189185490961487,0.0433905146316852,0.0307059371461531,0.0560750921172172,0.00806174957118353,0.0072965943796114,0.00882690476275567
2020-05-09,2,"LY","Libya","LBY",6777453,1914,1907,0.0130616509926855,0.00797512610064195,0.018148175884729,0.00940438871473354,0.00508033968297503,0.0137284377464921,0.0339602925809822,0.0258458194831886,0.0420747656787759,0.00533288480375182,0.00488387606762342,0.00578189353988022
2020-05-09,3,"LY","Libya","LBY",6777453,1439,1435,0.00208478109798471,0,0.00444142925166464,0.00138985406532314,0,0.00331471909303946,0.024322446143155,0.0163631534399456,0.0322817388463644,0.00289264348169088,0.00251096065404401,0.00327432630933776
2020-05-09,4,"LY","Libya","LBY",6777453,700,698,0.00142857142857143,0,0.00422651929988159,0.00142857142857143,0,0.00422651929988159,0.0171428571428571,0.0075270471500264,0.0267586671356879,0.00683894685624696,0.00599912552859184,0.00767876818390207
2020-05-09,5,"LY","Libya","LBY",6777453,184,183,0.00543478260869565,0,0.0160577757571861,0.00543478260869565,0,0.0160577757571861,0.016304347826087,0,0.0346030914008677,0.00113413753995257,0.00046429756853306,0.00180397751137208
2020-05-10,-99,"LY","Libya","LBY",6777453,863,836,0.0162224797219003,0.00779399002218686,0.0246509694216138,0.0104287369640788,0.0036510409331197,0.0172064329950379,0.0347624565469293,0.02254122350668,0.0469836895871786,0.00999819445698294,0.00907182164518903,0.0109245672687768
2020-05-10,1,"LY","Libya","LBY",6777453,1009,1008,0.0168483647175421,0.00890706406520862,0.0247896653698756,0.0128840436075322,0.00592559078644794,0.0198424964286165,0.043607532210109,0.0310066388389201,0.0562084255812979,0.00834830787660976,0.00757676743140232,0.00911984832181721
2020-05-10,2,"LY","Libya","LBY",6777453,1950,1943,0.0143589743589744,0.00907875601791205,0.0196391927000367,0.0102564102564103,0.0057845334969589,0.0147282870158616,0.0353846153846154,0.0271845915048414,0.0435846392643894,0.00507870536711368,0.00464455054563946,0.00551286018858791
2020-05-10,3,"LY","Libya","LBY",6777453,1468,1465,0.00204359673024523,0,0.00435373751421721,0.00136239782016349,0,0.00324926352371116,0.023841961852861,0.0160379822606275,0.0316459414450945,0.00301371627277996,0.00262816058245579,0.00339927196310413
2020-05-10,4,"LY","Libya","LBY",6777453,724,721,0.00138121546961326,0,0.00408647783223432,0.00138121546961326,0,0.00408647783223432,0.0151933701657459,0.00628329538053996,0.0241034449509517,0.00766754769319342,0.00679296805079172,0.00854212733559511
2020-05-10,5,"LY","Libya","LBY",6777453,195,194,0.00512820512820513,0,0.0151534973142407,0.00512820512820513,0,0.0151534973142407,0.0205128205128205,0.000617870455577849,0.0404077705700632,0.000972573429293912,0.000370070452347845,0.00157507640623998
2020-05-11,-99,"LY","Libya","LBY",6777453,880,855,0.0181818181818182,0.00935425274937203,0.0270093836142643,0.0136363636363636,0.00597379163477296,0.0212989356379543,0.0352272727272727,0.023046950577491,0.0474075948770544,0.0108573320092685,0.00990317877633303,0.0118114852422039
