date,ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,anosmia
2020-10-13,AFG,Afghanistan,-99,36,7,34,137,6
2020-10-13,AFG,Afghanistan,1,23,6,23,265,7
2020-10-13,AFG,Afghanistan,2,32,5,32,137,5
2020-10-13,AFG,Afghanistan,3,11,1,11,35,2
2020-10-13,AFG,Afghanistan,4,10,3,9,134,1
2020-10-13,AFG,Afghanistan,5,3,1,3,100,1
2020-10-13,AFG,Afghanistan,6,1,1,1,90,1
2020-10-13,AFG,Afghanistan,7,4,3,4,201,3
2020-10-13,ALA,Aland Islands,-99,4,0,3,101,1
2020-10-13,ALA,Aland Islands,1,3,0,3,1,1
2020-10-13,ALA,Aland Islands,2,2,0,2,0,0
2020-10-13,ALA,Aland Islands,3,1,0,1,0,0
2020-10-13,ALA,Aland Islands,4,1,0,1,0,0
2020-10-13,ALA,Aland Islands,5,1,0,1,0,0
2020-10-13,ALA,Aland Islands,6,2,0,2,0,0
2020-10-13,ALA,Aland Islands,7,1,0,1,0,0
2020-10-13,ALB,Albania,-99,19,1,18,10,2
2020-10-13,ALB,Albania,1,5,0,5,6,0
2020-10-13,ALB,Albania,2,16,0,16,24,0
2020-10-13,ALB,Albania,3,28,1,28,29,3
2020-10-13,ALB,Albania,4,9,0,9,11,1
2020-10-13,ALB,Albania,5,4,0,4,1,0
2020-10-13,ALB,Albania,6,4,0,4,2,0
2020-10-13,ALB,Albania,7,2,1,2,97,1
2020-10-13,DZA,Algeria,-99,43,2,42,33,1
2020-10-13,DZA,Algeria,1,14,4,14,216,4
2020-10-13,DZA,Algeria,2,21,1,21,16,3
2020-10-13,DZA,Algeria,3,23,0,23,15,0
2020-10-13,DZA,Algeria,4,17,1,17,14,3
2020-10-13,DZA,Algeria,5,11,0,11,8,0
2020-10-13,DZA,Algeria,6,1,0,1,0,0
2020-10-13,DZA,Algeria,7,1,0,1,0,0
2020-10-13,ASM,American Samoa,-99,8,3,7,17,2
