ISO3,country,age_E4,count,cli,count_local_com,cli_local_com,date
-99,-99,-77,22,0,18,3,2021-01-05
-99,-99,1,88,4,86,43,2021-01-05
-99,-99,2,164,5,162,67,2021-01-05
-99,-99,3,244,6,242,64,2021-01-05
-99,-99,4,322,1,321,126,2021-01-05
-99,-99,5,347,4,346,120,2021-01-05
-99,-99,6,255,1,252,26,2021-01-05
-99,-99,7,97,1,95,19,2021-01-05
AFG,Afghanistan,-77,1,0,1,0,2021-01-05
AFG,Afghanistan,1,18,3,18,221,2021-01-05
AFG,Afghanistan,2,27,2,27,20,2021-01-05
AFG,Afghanistan,3,11,1,11,19,2021-01-05
AFG,Afghanistan,4,5,2,5,101,2021-01-05
AFG,Afghanistan,5,3,0,3,1,2021-01-05
AFG,Afghanistan,6,2,1,2,100,2021-01-05
AFG,Afghanistan,7,5,4,5,300,2021-01-05
ALA,Aland Islands,1,1,0,1,0,2021-01-05
ALA,Aland Islands,3,2,0,2,0,2021-01-05
ALA,Aland Islands,4,4,0,4,0,2021-01-05
ALA,Aland Islands,5,3,0,3,0,2021-01-05
ALA,Aland Islands,6,3,0,3,0,2021-01-05
ALB,Albania,-77,1,0,1,4,2021-01-05
ALB,Albania,1,8,0,8,8,2021-01-05
ALB,Albania,2,21,0,21,67,2021-01-05
ALB,Albania,3,21,1,21,21,2021-01-05
ALB,Albania,4,7,1,7,3,2021-01-05
ALB,Albania,5,13,0,13,7,2021-01-05
ALB,Albania,6,4,1,4,1,2021-01-05
ALB,Albania,7,2,2,2,1,2021-01-05
DZA,Algeria,1,27,1,27,37,2021-01-05
DZA,Algeria,2,66,7,66,97,2021-01-05
DZA,Algeria,3,54,1,54,34,2021-01-05
DZA,Algeria,4,41,2,41,41,2021-01-05
DZA,Algeria,5,39,0,39,26,2021-01-05
DZA,Algeria,6,8,1,8,14,2021-01-05
DZA,Algeria,7,3,1,3,100,2021-01-05
ASM,American Samoa,1,4,0,4,0,2021-01-05
ASM,American Samoa,4,1,0,1,0,2021-01-05
ASM,American Samoa,5,2,1,2,34,2021-01-05
ASM,American Samoa,6,1,0,1,2,2021-01-05
AND,Andorra,1,5,0,5,3,2021-01-05
AND,Andorra,2,2,0,2,0,2021-01-05
AND,Andorra,3,4,0,4,5,2021-01-05
AND,Andorra,4,1,0,1,0,2021-01-05
AND,Andorra,6,1,0,1,6,2021-01-05
AND,Andorra,7,2,0,2,100,2021-01-05
AGO,Angola,1,3,0,3,0,2021-01-05
AGO,Angola,2,11,1,11,9,2021-01-05
AGO,Angola,3,8,1,8,116,2021-01-05
AGO,Angola,4,6,1,6,10,2021-01-05
AGO,Angola,5,3,0,3,0,2021-01-05
AGO,Angola,6,3,0,3,23,2021-01-05
AGO,Angola,7,1,0,1,0,2021-01-05
AIA,Anguilla,2,2,0,2,76,2021-01-05
AIA,Anguilla,5,1,1,1,20,2021-01-05
ATA,Antarctica,1,1,1,1,0,2021-01-05
ATA,Antarctica,2,2,0,2,0,2021-01-05
ATA,Antarctica,5,2,0,2,2,2021-01-05
ATA,Antarctica,7,1,0,1,5,2021-01-05
ATG,Antigua,1,1,0,1,0,2021-01-05
ARG,Argentina,-77,9,0,9,8,2021-01-05
ARG,Argentina,1,335,7,335,290,2021-01-05
ARG,Argentina,2,657,9,656,384,2021-01-05
ARG,Argentina,3,673,9,673,523,2021-01-05
ARG,Argentina,4,562,4,562,682,2021-01-05
ARG,Argentina,5,435,6,435,346,2021-01-05
ARG,Argentina,6,212,1,212,124,2021-01-05
ARG,Argentina,7,60,2,60,188,2021-01-05
ARM,Armenia,1,5,0,5,0,2021-01-05
ARM,Armenia,2,12,1,12,2,2021-01-05
ARM,Armenia,3,9,0,9,1,2021-01-05
ARM,Armenia,4,5,0,5,2,2021-01-05
ARM,Armenia,5,4,0,4,2,2021-01-05
ARM,Armenia,6,2,0,2,1,2021-01-05
ABW,Aruba,1,1,0,1,1,2021-01-05
ABW,Aruba,2,1,0,1,0,2021-01-05
ABW,Aruba,3,2,1,2,0,2021-01-05
ABW,Aruba,4,2,0,2,2,2021-01-05
AUS,Australia,-77,2,0,2,0,2021-01-05
AUS,Australia,1,234,9,234,163,2021-01-05
AUS,Australia,2,372,5,372,48,2021-01-05
AUS,Australia,3,326,6,326,34,2021-01-05
AUS,Australia,4,286,4,286,130,2021-01-05
AUS,Australia,5,305,3,305,109,2021-01-05
AUS,Australia,6,223,2,222,14,2021-01-05
AUS,Australia,7,62,1,62,0,2021-01-05
AUT,Austria,-77,4,0,3,4,2021-01-05
AUT,Austria,1,59,1,59,14,2021-01-05
AUT,Austria,2,153,2,153,82,2021-01-05
AUT,Austria,3,165,1,165,61,2021-01-05
AUT,Austria,4,185,1,185,28,2021-01-05
AUT,Austria,5,152,0,152,34,2021-01-05
AUT,Austria,6,88,1,88,10,2021-01-05
AUT,Austria,7,21,0,20,9,2021-01-05
