ISO3,country,count,cli,count_local_com,cli_local_com,date
AFG,Afghanistan,130,15,130,1166,2020-07-15
ALA,Aland Islands,10,0,10,0,2020-07-15
ALB,Albania,158,7,158,395,2020-07-15
DZA,Algeria,652,24,650,1019,2020-07-15
ASM,American Samoa,11,2,11,0,2020-07-15
AND,Andorra,21,6,21,318,2020-07-15
AGO,Angola,88,6,88,249,2020-07-15
AIA,Anguilla,2,0,2,0,2020-07-15
ATA,Antarctica,3,0,3,3,2020-07-15
ATG,Antigua,3,0,3,0,2020-07-15
ARG,Argentina,3006,14,3005,705,2020-07-15
ARM,Armenia,73,0,72,113,2020-07-15
ABW,Aruba,8,0,8,2,2020-07-15
AUS,Australia,2024,16,2020,396,2020-07-15
AUT,Austria,760,2,757,164,2020-07-15
AZE,Azerbaijan,100,0,100,76,2020-07-15
BHS,Bahamas,1,1,1,12,2020-07-15
BHR,Bahrain,4,1,4,100,2020-07-15
BGD,Bangladesh,547,21,547,1555,2020-07-15
BRB,Barbados,1,0,1,0,2020-07-15
BLR,Belarus,273,7,273,281,2020-07-15
BEL,Belgium,710,5,709,118,2020-07-15
BLZ,Belize,4,0,4,0,2020-07-15
BEN,Benin,10,0,10,7,2020-07-15
BTN,Bhutan,2,0,2,0,2020-07-15
BOL,Bolivia,1005,70,1004,1912,2020-07-15
BIH,Bosnia and Herzegovina,178,2,177,111,2020-07-15
BVT,Bouvet Island,1,0,1,0,2020-07-15
BRA,Brazil,11382,216,11377,14124,2020-07-15
IOT,British Indian Ocean Territory,1,0,1,0,2020-07-15
VGB,British Virgin Islands,1,0,1,0,2020-07-15
BGR,Bulgaria,436,1,436,45,2020-07-15
BFA,Burkina Faso,16,1,16,2,2020-07-15
KHM,Cambodia,71,1,71,22,2020-07-15
CMR,Cameroon,42,0,42,4,2020-07-15
CAN,Canada,2111,7,2109,154,2020-07-15
CPV,Cape Verde,1,0,1,0,2020-07-15
TCD,Chad,1,0,1,0,2020-07-15
CHL,Chile,1344,18,1344,1021,2020-07-15
COL,Colombia,3091,62,3089,1556,2020-07-15
COM,Comoros,1,0,1,0,2020-07-15
COK,Cook Islands,1,0,1,0,2020-07-15
CRI,Costa Rica,1026,9,1025,299,2020-07-15
CIV,Côte d'Ivoire,107,3,107,21,2020-07-15
HRV,Croatia,567,7,567,199,2020-07-15
CYP,Cyprus,4,0,4,0,2020-07-15
CZE,Czech Republic,954,5,953,94,2020-07-15
COD,Democratic Republic of the Congo,14,1,14,19,2020-07-15
DNK,Denmark,1364,6,1362,152,2020-07-15
DMA,Dominica,9,0,9,1,2020-07-15
DOM,Dominican Republic,753,23,753,675,2020-07-15
ECU,Ecuador,1385,47,1384,1546,2020-07-15
EGY,Egypt,1322,28,1318,2699,2020-07-15
SLV,El Salvador,776,67,776,1336,2020-07-15
ERI,Eritrea,2,0,2,0,2020-07-15
