date,ISO3,country,count,cli,count_local_com,cli_local_com,anosmia
2021-01-26,AFG,Afghanistan,133,18,108,543,28
2021-01-26,ALA,Aland Islands,15,6,9,1,7
2021-01-26,ALB,Albania,90,3,80,328,7
2021-01-26,DZA,Algeria,430,24,377,658.5,45
2021-01-26,ASM,American Samoa,17,6,12,4,6
2021-01-26,AND,Andorra,28,3,25,108,3
2021-01-26,AGO,Angola,68,7,60,120,10
2021-01-26,AIA,Anguilla,4,2,2,100,2
2021-01-26,ATG,Antigua,4,1,4,101,1
2021-01-26,ARG,Argentina,3159,40,2992,2575,94
2021-01-26,ARM,Armenia,36,2,34,9,3
2021-01-26,AUS,Australia,1605,22,1559,323,31
2021-01-26,AUT,Austria,909,10,888,375,14
2021-01-26,AZE,Azerbaijan,86,3,84,362,4
2021-01-26,BHS,Bahamas,5,1,5,1,0
2021-01-26,BHR,Bahrain,12,1,10,20,3
2021-01-26,BGD,Bangladesh,600,50,541,1089,73
2021-01-26,BRB,Barbados,1,0,1,0,0
2021-01-26,BLR,Belarus,244,9,236,479,13
2021-01-26,BEL,Belgium,943,4,907,135,15
2021-01-26,BLZ,Belize,6,1,6,26,2
2021-01-26,BEN,Benin,36,3,29,0,1
2021-01-26,BMU,Bermuda,4,2,3,1,3
2021-01-26,BTN,Bhutan,2,0,2,0,0
2021-01-26,BOL,Bolivia,870,62,813,1415,94
2021-01-26,BES,"Bonaire, Sint Eustatius and Saba",3,1,2,0,1
2021-01-26,BIH,Bosnia and Herzegovina,145,2,138,71,6
2021-01-26,BWA,Botswana,4,0,3,100,1
2021-01-26,BRA,Brazil,14217,277,13563,12942,785
2021-01-26,IOT,British Indian Ocean Territory,1,0,1,0,0
2021-01-26,BRN,Brunei,4,1,2,0,2
2021-01-26,BGR,Bulgaria,561,5,542,268,18
2021-01-26,BFA,Burkina Faso,38,1,35,14,2
2021-01-26,BDI,Burundi,1,1,1,100,1
2021-01-26,CIV,Côte d'Ivoire,151,1,137,14,4
2021-01-26,KHM,Cambodia,51,3,46,3,7
2021-01-26,CMR,Cameroon,94,2,87,117,6
2021-01-26,CAN,Canada,2913,22,2839,765,52
2021-01-26,CPV,Cape Verde,1,0,1,0,0
2021-01-26,TCD,Chad,2,0,2,6,0
2021-01-26,CHL,Chile,1661,24,1583,861,52
2021-01-26,CCK,Cocos (Keeling) Islands,2,0,1,0,0
2021-01-26,COL,Colombia,3366,87,3203,1830,188
2021-01-26,COM,Comoros,1,0,0,0,0
2021-01-26,CRI,Costa Rica,455,13,433,209,15
2021-01-26,HRV,Croatia,333,7,323,260,15
2021-01-26,CYP,Cyprus,2,0,2,23,0
2021-01-26,CZE,Czech Republic,1068,23,1031,922,56
2021-01-26,COD,Democratic Republic of the Congo,59,3,51,120,4
2021-01-26,DNK,Denmark,1355,10,1322,288,29
2021-01-26,DMA,Dominica,5,0,5,1,0
2021-01-26,DOM,Dominican Republic,400,15,369,268,31
2021-01-26,ECU,Ecuador,1137,45,1069,975,61
2021-01-26,EGY,Egypt,1124,33,1049,2080,72
2021-01-26,SLV,El Salvador,490,24,441,382,42
2021-01-26,ERI,Eritrea,3,0,3,0,0
2021-01-26,EST,Estonia,3,2,3,101,2
2021-01-26,SWZ,Eswatini,2,1,2,1,1
2021-01-26,ETH,Ethiopia,152,8,145,247,9
2021-01-26,FSM,Federated States of Micronesia,2,0,1,0,0
2021-01-26,FJI,Fiji,3,0,2,0,1
2021-01-26,FIN,Finland,384,3,378,157,12
2021-01-26,FRA,France,5392,55,5154,1337,99
2021-01-26,GUF,French Guiana,2,0,2,1,0
2021-01-26,ATF,French Southern Territories,1,0,0,0,0
2021-01-26,GAB,Gabon,2,0,2,0,0
2021-01-26,GMB,Gambia,1,0,1,0,0
2021-01-26,GEO,Georgia,2,0,2,0,0
2021-01-26,DEU,Germany,5103,32,5003,1322,91
2021-01-26,GHA,Ghana,349,12,325,189,28
2021-01-26,GRC,Greece,812,3,791,221,8
2021-01-26,GRD,Grenada,1,0,1,0,0
2021-01-26,GLP,Guadeloupe,5,0,5,0,0
2021-01-26,GUM,Guam,3,1,1,5,1
2021-01-26,GTM,Guatemala,442,3,418,238,20
2021-01-26,GIN,Guinea,34,0,28,12,2
2021-01-26,GNB,Guinea-Bissau,1,0,0,0,0
2021-01-26,HTI,Haiti,46,1,38,67,3
2021-01-26,HND,Honduras,401,19,362,383,24
2021-01-26,HKG,Hong Kong,226,1,217,28,4
2021-01-26,HUN,Hungary,1717,9,1673,424,33
2021-01-26,ISL,Iceland,1,0,1,0,0
2021-01-26,IND,India,3755,98,3565,2793,140
2021-01-26,IDN,Indonesia,2348,93,2146,1321,119
2021-01-26,IRQ,Iraq,486,20,436,494,38
2021-01-26,IRL,Ireland,770,5,737,490,25
2021-01-26,IMN,Isle Of Man,2,0,1,0,0
2021-01-26,ISR,Israel,1157,10,1104,629,13
2021-01-26,ITA,Italy,4904,24,4775,2516,76
2021-01-26,JAM,Jamaica,1,1,1,15,1
2021-01-26,JPN,Japan,9154,39,8791,500,52
2021-01-26,JOR,Jordan,289,4,267,171,14
2021-01-26,KAZ,Kazakhstan,187,8,170,153,10
2021-01-26,KEN,Kenya,462,26,432,518,27
2021-01-26,KWT,Kuwait,57,1,55,112,3
2021-01-26,KGZ,Kyrgyzstan,70,0,63,71,5
2021-01-26,LAO,Laos,45,7,41,13,3
2021-01-26,LVA,Latvia,2,0,2,0,0
2021-01-26,LBN,Lebanon,245,6,230,501,17
2021-01-26,LSO,Lesotho,1,0,1,0,0
2021-01-26,LBY,Libya,222,1,203,457,16
2021-01-26,LTU,Lithuania,3,0,3,0,0
2021-01-26,LUX,Luxembourg,5,0,5,0,0
2021-01-26,MDG,Madagascar,31,0,26,14,1
2021-01-26,MWI,Malawi,1,0,1,0,0
2021-01-26,MYS,Malaysia,1182,12,1150,439,23
2021-01-26,MDV,Maldives,1,0,1,0,1
2021-01-26,MLI,Mali,58,4,48,116,7
2021-01-26,MTQ,Martinique,1,0,1,0,0
2021-01-26,MRT,Mauritania,15,2,12,7,2
2021-01-26,MUS,Mauritius,1,0,1,0,0
2021-01-26,MYT,Mayotte,1,0,1,0,0
2021-01-26,MEX,Mexico,11842,284,11292,18982,795
2021-01-26,MDA,Moldova,117,3,112,209,6
2021-01-26,MNG,Mongolia,3,1,2,0,1
2021-01-26,MAR,Morocco,315,8,290,168,18
2021-01-26,MOZ,Mozambique,148,6,139,104,17
2021-01-26,MMR,Myanmar,394,14,344,430,13
2021-01-26,NAM,Namibia,3,0,3,0,0
2021-01-26,NPL,Nepal,300,6,278,184,14
2021-01-26,NLD,Netherlands,1857,11,1810,646,53
2021-01-26,NZL,New Zealand,752,7,721,60,13
2021-01-26,NIC,Nicaragua,325,6,301,288,16
2021-01-26,NER,Niger,1,0,0,0,0
2021-01-26,NGA,Nigeria,775,58,712,516,79
2021-01-26,MNP,Northern Mariana Islands,1,0,0,0,0
2021-01-26,NOR,Norway,1416,13,1388,205,28
2021-01-26,OMN,Oman,35,1,31,13,5
2021-01-26,PAK,Pakistan,746,38,697,1112,58
2021-01-26,PSE,Palestine,123,5,114,282,10
2021-01-26,PAN,Panama,242,6,227,191,15
2021-01-26,PNG,Papua New Guinea,1,0,1,0,0
2021-01-26,PRY,Paraguay,294,4,280,271,16
2021-01-26,PER,Peru,1751,66,1627,2016,119
2021-01-26,PHL,Philippines,1665,19,1608,451,28
2021-01-26,POL,Poland,1711,25,1629,742,61
2021-01-26,PRT,Portugal,2400,10,2316,1356,58
2021-01-26,PRI,"Puerto Rico, U.S.",723,3,698,131,14
2021-01-26,QAT,Qatar,86,1,85,29,2
2021-01-26,REU,Réunion,4,0,4,0,0
2021-01-26,MKD,Republic of North Macedonia,5,0,5,0,0
2021-01-26,COG,Republic of the Congo,2,1,1,0,2
2021-01-26,ROU,Romania,1407,19,1355,521,32
2021-01-26,RUS,Russia,1434,40,1372,1338,77
2021-01-26,RWA,Rwanda,1,0,1,1,1
2021-01-26,SHN,Saint Helena,1,0,1,0,0
2021-01-26,MAF,Saint Martin,1,0,1,0,0
2021-01-26,WSM,Samoa,1,0,1,0,0
2021-01-26,SAU,Saudi Arabia,297,6,283,177,14
2021-01-26,SEN,Senegal,33,2,31,114,2
2021-01-26,SRB,Serbia,527,6,506,812.6,13
2021-01-26,SLE,Sierra Leone,1,0,1,0,0
2021-01-26,SGP,Singapore,206,0,198,14,1
2021-01-26,SVK,Slovakia,586,7,566,479,21
2021-01-26,SVN,Slovenia,258,3,251,400,9
2021-01-26,SOM,Somalia,1,0,1,0,0
2021-01-26,ZAF,South Africa,1161,30,1114,735,53
2021-01-26,KOR,South Korea,815,6,769,82,7
2021-01-26,SSD,South Sudan,3,1,3,0,1
2021-01-26,ESP,Spain,3805,38,3718,2903,119
2021-01-26,LKA,Sri Lanka,191,7,183,159,10
2021-01-26,SDN,Sudan,183,7,159,124,13
2021-01-26,SUR,Suriname,1,0,1,0,0
2021-01-26,SWE,Sweden,3314,46,3242,1080,165
2021-01-26,CHE,Switzerland,823,4,800,351,17
2021-01-26,TWN,Taiwan,2633,12,2552,225,10
2021-01-26,TZA,Tanzania,134,10,118,100,21
2021-01-26,THA,Thailand,2370,39,2270,315,26
2021-01-26,TLS,Timor-Leste,1,0,1,0,0
2021-01-26,TGO,Togo,1,0,1,0,0
2021-01-26,TTO,Trinidad and Tobago,1,0,1,0,0
2021-01-26,TUN,Tunisia,489,13,450,447,37
2021-01-26,TUR,Turkey,1531,14,1446,489,38
2021-01-26,UGA,Uganda,1,1,1,100,1
2021-01-26,UKR,Ukraine,1585,59,1514,1398,89
2021-01-26,ARE,United Arab Emirates,396,16,384,334,20
2021-01-26,GBR,United Kingdom,3517,35,3420,1559,106
2021-01-26,UMI,"United States Minor Outlying Islands, U.S.",1,0,1,0,0
2021-01-26,URY,Uruguay,748,6,719,303,8
2021-01-26,UZB,Uzbekistan,114,5,102,48,7
2021-01-26,VEN,Venezuela,801,11,760,768,41
2021-01-26,VNM,Vietnam,2018,30,1884,497,36
2021-01-26,VIR,"Virgin Islands, U.S.",1,0,0,0,0
2021-01-26,YEM,Yemen,64,1,55,32,7
2021-01-26,ZMB,Zambia,3,1,2,100,1
2021-01-26,ZWE,Zimbabwe,9,1,7,25,3
