date,ISO3,country,region,count,cli,count_local_com,cli_local_com,anosmia
2020-08-10,AFG,Afghanistan,-99,12,0,12,1,0
2020-08-10,AFG,Afghanistan,Badakhshan,9,0,9,6,1
2020-08-10,AFG,Afghanistan,Badghis,1,0,0,0,0
2020-08-10,AFG,Afghanistan,Baghlan,2,0,2,2,0
2020-08-10,AFG,Afghanistan,Balkh,5,0,5,2,2
2020-08-10,AFG,Afghanistan,Bamyan,2,2,2,101,2
2020-08-10,AFG,Afghanistan,Daykundi,2,0,2,0,0
2020-08-10,AFG,Afghanistan,Ghazni,2,0,2,0,0
2020-08-10,AFG,Afghanistan,Ghor,1,0,1,0,0
2020-08-10,AFG,Afghanistan,Hirat,5,0,5,1,0
2020-08-10,AFG,Afghanistan,Kabul,35,2,35,160,1
2020-08-10,AFG,Afghanistan,Kandahar,2,0,2,0,0
2020-08-10,AFG,Afghanistan,Kunar,1,1,1,0,0
2020-08-10,AFG,Afghanistan,Nangarhar,3,0,3,6,1
2020-08-10,AFG,Afghanistan,Nuristan,1,0,1,100,0
2020-08-10,AFG,Afghanistan,Samangan,1,0,1,0,0
2020-08-10,AFG,Afghanistan,Sari Pul,1,0,1,7,0
2020-08-10,AFG,Afghanistan,Takhar,2,1,2,8,1
2020-08-10,ALA,Aland Islands,-99,2,0,2,0,0
2020-08-10,ALA,Aland Islands,Eckerö,1,1,1,100,1
2020-08-10,ALA,Aland Islands,Finström,2,0,2,0,0
2020-08-10,ALA,Aland Islands,Hammarland,1,0,1,0,0
2020-08-10,ALA,Aland Islands,Jomala,1,0,1,6,1
2020-08-10,ALA,Aland Islands,Lemland,1,0,1,0,0
2020-08-10,ALA,Aland Islands,Mariehamn,1,0,1,0,0
2020-08-10,ALB,Albania,-99,12,1,12,10,1
2020-08-10,ALB,Albania,Berat,4,0,4,0,0
2020-08-10,ALB,Albania,Dibër,1,0,1,1,0
2020-08-10,ALB,Albania,Durrës,13,0,13,3,0
2020-08-10,ALB,Albania,Elbasan,8,0,8,3,1
2020-08-10,ALB,Albania,Fier,4,0,4,2,0
2020-08-10,ALB,Albania,Gjirokastër,2,0,2,0,0
2020-08-10,ALB,Albania,Korçë,8,1,8,104,1
2020-08-10,ALB,Albania,Lezhë,2,0,2,3,0
2020-08-10,ALB,Albania,Shkodër,5,0,5,2,0
2020-08-10,ALB,Albania,Tiranë,46,0,46,23,2
2020-08-10,ALB,Albania,Vlorë,5,0,5,1,0
2020-08-10,DZA,Algeria,-99,6,0,6,1,0
2020-08-10,DZA,Algeria,Aïn Defla,7,0,7,3,0
2020-08-10,DZA,Algeria,Aïn Témouchent,1,0,1,0,0
2020-08-10,DZA,Algeria,Adrar,4,1,4,0,1
2020-08-10,DZA,Algeria,Alger,96,2,96,135,2
2020-08-10,DZA,Algeria,Annaba,17,0,17,9,2
2020-08-10,DZA,Algeria,Béchar,1,0,1,0,0
2020-08-10,DZA,Algeria,Béjaïa,12,1,12,33,0
2020-08-10,DZA,Algeria,Batna,12,0,12,33,0
2020-08-10,DZA,Algeria,Biskra,7,1,7,24,1
2020-08-10,DZA,Algeria,Blida,3,0,3,0,0
2020-08-10,DZA,Algeria,Bordj Bou Arréridj,5,0,5,5,0
2020-08-10,DZA,Algeria,Bouira,2,0,2,0,0
2020-08-10,DZA,Algeria,Boumerdès,7,1,7,1,0
2020-08-10,DZA,Algeria,Chlef,6,1,6,124,1
2020-08-10,DZA,Algeria,Constantine,19,1,19,25,2
2020-08-10,DZA,Algeria,Djelfa,7,0,7,32,0
2020-08-10,DZA,Algeria,El Bayadh,1,1,1,4,1
2020-08-10,DZA,Algeria,El Oued,8,0,8,25,0
2020-08-10,DZA,Algeria,El Tarf,2,0,2,4,1
2020-08-10,DZA,Algeria,Ghardaïa,5,1,5,16,0
2020-08-10,DZA,Algeria,Guelma,4,0,4,2,1
2020-08-10,DZA,Algeria,Illizi,1,0,1,0,0
2020-08-10,DZA,Algeria,Jijel,5,0,5,3,0
2020-08-10,DZA,Algeria,Khenchela,4,0,4,4,0
2020-08-10,DZA,Algeria,Laghouat,6,0,6,6,1
2020-08-10,DZA,Algeria,M'Sila,14,2,14,58,2
2020-08-10,DZA,Algeria,Médéa,7,0,7,25,0
2020-08-10,DZA,Algeria,Mascara,5,0,5,34,0
2020-08-10,DZA,Algeria,Mila,7,0,7,8,0
2020-08-10,DZA,Algeria,Mostaganem,5,0,5,1,0
2020-08-10,DZA,Algeria,Oran,28,2,28,34,3
2020-08-10,DZA,Algeria,Ouargla,9,0,9,9,0
2020-08-10,DZA,Algeria,Oum el Bouaghi,7,0,7,7,1
2020-08-10,DZA,Algeria,Relizane,4,0,4,0,0
2020-08-10,DZA,Algeria,Sétif,11,0,11,39,2
2020-08-10,DZA,Algeria,Saïda,2,0,2,0,0
2020-08-10,DZA,Algeria,Sidi Bel Abbès,4,0,4,98,0
2020-08-10,DZA,Algeria,Skikda,6,0,6,9,2
2020-08-10,DZA,Algeria,Souk Ahras,2,0,2,0,1
2020-08-10,DZA,Algeria,Tébessa,6,0,6,3,0
2020-08-10,DZA,Algeria,Tamanghasset,1,0,1,1,0
2020-08-10,DZA,Algeria,Tiaret,5,0,5,1,0
2020-08-10,DZA,Algeria,Tindouf,1,0,1,0,0
2020-08-10,DZA,Algeria,Tipaza,5,0,5,1,0
2020-08-10,DZA,Algeria,Tizi Ouzou,9,0,9,3,1
2020-08-10,DZA,Algeria,Tlemcen,10,0,10,18,1
2020-08-10,ASM,American Samoa,-99,2,0,2,1,0
2020-08-10,ASM,American Samoa,Eastern,1,0,1,0,0
2020-08-10,ASM,American Samoa,Unorganized,1,0,1,0,0
2020-08-10,AND,Andorra,-99,4,0,4,0,0
2020-08-10,AND,Andorra,Andorra la Vella,8,0,8,1,0
2020-08-10,AND,Andorra,Canillo,1,0,1,20,0
2020-08-10,AND,Andorra,Encamp,1,0,1,0,0
2020-08-10,AND,Andorra,La Massana,1,0,1,0,0
2020-08-10,AND,Andorra,Ordino,1,0,1,0,0
2020-08-10,AGO,Angola,-99,2,0,2,100,1
2020-08-10,AGO,Angola,Bengo,2,0,2,6,0
2020-08-10,AGO,Angola,Benguela,2,0,2,1,0
2020-08-10,AGO,Angola,Bié,2,0,2,0,0
2020-08-10,AGO,Angola,Cabinda,2,0,2,0,0
2020-08-10,AGO,Angola,Cuando Cubango,1,0,1,0,0
2020-08-10,AGO,Angola,Cuanza Norte,1,0,1,0,1
2020-08-10,AGO,Angola,Cuanza Sul,1,0,1,0,0
2020-08-10,AGO,Angola,Huíla,1,0,1,0,1
2020-08-10,AGO,Angola,Huambo,3,0,3,0,0
2020-08-10,AGO,Angola,Luanda,38,0,38,3,1
2020-08-10,AGO,Angola,Malanje,3,0,3,0,0
2020-08-10,AGO,Angola,Namibe,1,1,1,68.7,1
2020-08-10,AIA,Anguilla,-99,4,1,4,1,1
2020-08-10,ATA,Antarctica,-99,11,3,11,207,2
2020-08-10,ATG,Antigua,-99,1,0,1,0,0
2020-08-10,ATG,Antigua,Saint Paul,1,1,1,100,1
2020-08-10,ARG,Argentina,-99,38,0,38,5,1
2020-08-10,ARG,Argentina,Buenos Aires,792,9,791,754,23
2020-08-10,ARG,Argentina,Córdoba,330,1,330,64,5
2020-08-10,ARG,Argentina,Catamarca,22,0,22,6,0
2020-08-10,ARG,Argentina,Chaco,62,0,62,84,3
