ISO3,country,region,count,cli,count_local_com,cli_local_com,date
AFG,Afghanistan,-99,13,2,13,13,2020-10-03
AFG,Afghanistan,Badakhshan,13,5,13,217,2020-10-03
AFG,Afghanistan,Badghis,6,2,6,21,2020-10-03
AFG,Afghanistan,Baghlan,2,0,2,0,2020-10-03
AFG,Afghanistan,Balkh,2,1,2,0,2020-10-03
AFG,Afghanistan,Daykundi,2,1,2,100,2020-10-03
AFG,Afghanistan,Farah,3,0,3,0,2020-10-03
AFG,Afghanistan,Faryab,1,0,1,50,2020-10-03
AFG,Afghanistan,Hirat,3,0,3,0,2020-10-03
AFG,Afghanistan,Jawzjan,1,0,1,5,2020-10-03
AFG,Afghanistan,Kabul,27,0,27,57,2020-10-03
AFG,Afghanistan,Kandahar,1,0,1,0,2020-10-03
AFG,Afghanistan,Khost,1,0,1,0,2020-10-03
AFG,Afghanistan,Kunduz,1,0,1,0,2020-10-03
AFG,Afghanistan,Laghman,1,0,1,0,2020-10-03
AFG,Afghanistan,Logar,1,0,1,0,2020-10-03
AFG,Afghanistan,Nangarhar,1,0,1,0,2020-10-03
AFG,Afghanistan,Paktya,1,0,1,1,2020-10-03
AFG,Afghanistan,Samangan,1,0,1,0,2020-10-03
AFG,Afghanistan,Sari Pul,1,0,1,1,2020-10-03
AFG,Afghanistan,Takhar,1,0,1,0,2020-10-03
AFG,Afghanistan,Uruzgan,1,1,1,1,2020-10-03
AFG,Afghanistan,Wardak,1,1,1,0,2020-10-03
ALA,Aland Islands,-99,1,0,1,0,2020-10-03
ALA,Aland Islands,Jomala,2,0,2,2,2020-10-03
ALA,Aland Islands,Kökar,1,0,1,0,2020-10-03
ALA,Aland Islands,Kumlinge,1,0,1,0,2020-10-03
ALA,Aland Islands,Mariehamn,3,0,3,0,2020-10-03
ALB,Albania,-99,4,1,4,0,2020-10-03
ALB,Albania,Berat,4,1,4,1,2020-10-03
ALB,Albania,Dibër,2,0,2,10,2020-10-03
ALB,Albania,Durrës,2,0,2,2,2020-10-03
ALB,Albania,Elbasan,8,0,8,4,2020-10-03
ALB,Albania,Fier,5,0,5,2,2020-10-03
ALB,Albania,Gjirokastër,2,0,2,0,2020-10-03
ALB,Albania,Korçë,2,0,2,1,2020-10-03
ALB,Albania,Lezhë,1,0,1,0,2020-10-03
ALB,Albania,Shkodër,6,0,6,0,2020-10-03
ALB,Albania,Tiranë,22,0,22,14,2020-10-03
ALB,Albania,Vlorë,3,0,3,20,2020-10-03
DZA,Algeria,-99,2,0,2,0,2020-10-03
DZA,Algeria,Adrar,3,0,3,7,2020-10-03
DZA,Algeria,Aïn Témouchent,2,0,2,0,2020-10-03
DZA,Algeria,Alger,29,0,29,42,2020-10-03
DZA,Algeria,Annaba,4,0,4,3,2020-10-03
DZA,Algeria,Batna,6,0,6,4,2020-10-03
DZA,Algeria,Béchar,3,0,3,0,2020-10-03
DZA,Algeria,Béjaïa,7,0,7,0,2020-10-03
DZA,Algeria,Biskra,5,1,5,2,2020-10-03
DZA,Algeria,Blida,6,0,6,8,2020-10-03
DZA,Algeria,Bordj Bou Arréridj,1,0,1,0,2020-10-03
DZA,Algeria,Bouira,2,0,2,0,2020-10-03
DZA,Algeria,Boumerdès,1,0,1,0,2020-10-03
DZA,Algeria,Chlef,2,0,2,1,2020-10-03
DZA,Algeria,Constantine,6,0,6,3,2020-10-03
DZA,Algeria,Djelfa,5,0,5,1,2020-10-03
DZA,Algeria,El Bayadh,1,0,1,0,2020-10-03
DZA,Algeria,El Oued,3,1,3,4,2020-10-03
DZA,Algeria,El Tarf,2,0,2,0,2020-10-03
DZA,Algeria,Ghardaïa,5,0,5,0,2020-10-03
DZA,Algeria,Jijel,3,0,3,1,2020-10-03
DZA,Algeria,Khenchela,2,0,2,0,2020-10-03
DZA,Algeria,M'Sila,2,0,2,0,2020-10-03
DZA,Algeria,Médéa,3,1,3,1,2020-10-03
DZA,Algeria,Mila,4,0,4,5,2020-10-03
DZA,Algeria,Mostaganem,2,1,2,0,2020-10-03
DZA,Algeria,Oran,8,0,8,2,2020-10-03
DZA,Algeria,Ouargla,5,0,5,7,2020-10-03
DZA,Algeria,Oum el Bouaghi,1,0,1,0,2020-10-03
DZA,Algeria,Sétif,5,1,5,4,2020-10-03
DZA,Algeria,Sidi Bel Abbès,2,0,2,0,2020-10-03
DZA,Algeria,Souk Ahras,1,0,1,0,2020-10-03
DZA,Algeria,Tipaza,5,1,5,1,2020-10-03
DZA,Algeria,Tissemsilt,1,0,1,0,2020-10-03
DZA,Algeria,Tizi Ouzou,4,0,4,1,2020-10-03
DZA,Algeria,Tlemcen,3,0,3,1,2020-10-03
ASM,American Samoa,-99,4,1,4,100,2020-10-03
ASM,American Samoa,Manu'a,1,1,1,1,2020-10-03
ASM,American Samoa,Unorganized,1,1,1,44,2020-10-03
AND,Andorra,Andorra la Vella,2,1,2,1,2020-10-03
AND,Andorra,Ordino,4,1,4,106,2020-10-03
AGO,Angola,Bengo,1,0,1,0,2020-10-03
AGO,Angola,Bié,1,0,1,0,2020-10-03
AGO,Angola,Cabinda,2,0,2,0,2020-10-03
AGO,Angola,Cuanza Norte,2,1,2,100,2020-10-03
AGO,Angola,Cuanza Sul,1,0,1,0,2020-10-03
AGO,Angola,Huambo,1,1,1,1,2020-10-03
AGO,Angola,Huíla,4,1,4,0,2020-10-03
AGO,Angola,Luanda,12,0,12,5,2020-10-03
AGO,Angola,Lunda Norte,1,0,1,0,2020-10-03
AGO,Angola,Malanje,1,0,1,0,2020-10-03
AGO,Angola,Zaire,1,0,1,0,2020-10-03
AIA,Anguilla,-99,1,0,1,0,2020-10-03
ATA,Antarctica,-99,4,3,4,131,2020-10-03
ATG,Antigua,-99,2,0,2,0,2020-10-03
ATG,Antigua,Barbuda,2,2,2,0,2020-10-03
ATG,Antigua,Saint Paul,1,0,1,100,2020-10-03
ARG,Argentina,-99,48,2,48,237,2020-10-03
ARG,Argentina,Buenos Aires,652,4,650,596,2020-10-03
ARG,Argentina,Catamarca,12,0,12,10,2020-10-03
ARG,Argentina,Chaco,43,1,43,24,2020-10-03
ARG,Argentina,Chubut,59,2,59,56,2020-10-03
ARG,Argentina,Ciudad Autónoma de Buenos Aires,147,1,146,80,2020-10-03
ARG,Argentina,Córdoba,260,8,260,845,2020-10-03
ARG,Argentina,Corrientes,43,0,43,19,2020-10-03
ARG,Argentina,Entre Ríos,83,2,82,150,2020-10-03
ARG,Argentina,Formosa,12,0,12,10,2020-10-03
ARG,Argentina,Jujuy,32,1,32,59,2020-10-03
ARG,Argentina,La Pampa,27,0,27,13,2020-10-03
ARG,Argentina,La Rioja,16,0,16,19,2020-10-03
ARG,Argentina,Mendoza,126,4,125,223,2020-10-03
ARG,Argentina,Misiones,38,1,38,4,2020-10-03
ARG,Argentina,Neuquén,56,2,56,87,2020-10-03
ARG,Argentina,Río Negro,60,1,60,128,2020-10-03
ARG,Argentina,Salta,100,7,99,227,2020-10-03
ARG,Argentina,San Juan,38,0,38,4,2020-10-03
ARG,Argentina,San Luis,23,0,23,9,2020-10-03
ARG,Argentina,Santa Cruz,29,0,29,35,2020-10-03
ARG,Argentina,Santa Fe,245,6,244,573,2020-10-03
ARG,Argentina,Santiago del Estero,27,0,27,34,2020-10-03
ARG,Argentina,Tierra del Fuego,24,1,24,83,2020-10-03
ARG,Argentina,Tucumán,110,3,110,490,2020-10-03
ARM,Armenia,-99,4,0,4,11,2020-10-03
ARM,Armenia,Ararat,1,0,1,20,2020-10-03
ARM,Armenia,Armavir,1,0,1,0,2020-10-03
ARM,Armenia,Erevan,5,0,5,1,2020-10-03
ARM,Armenia,Gegharkunik,1,0,1,0,2020-10-03
ARM,Armenia,Tavush,1,0,1,0,2020-10-03
ABW,Aruba,-99,6,0,6,0,2020-10-03
AUS,Australia,-99,28,0,28,1,2020-10-03
AUS,Australia,Ashmore and Cartier Islands,2,0,2,0,2020-10-03
AUS,Australia,Australian Antarctic Territory,2,0,2,0,2020-10-03
AUS,Australia,Australian Capital Territory,42,2,42,112,2020-10-03
AUS,Australia,Coral Sea Islands Territory,1,1,1,1,2020-10-03
AUS,Australia,New South Wales,205,1,205,9,2020-10-03
AUS,Australia,Northern Territory,18,0,18,4,2020-10-03
AUS,Australia,Queensland,188,1,188,10,2020-10-03
AUS,Australia,South Australia,80,2,80,3,2020-10-03
AUS,Australia,Tasmania,40,2,40,6,2020-10-03
AUS,Australia,Victoria,310,3,310,129,2020-10-03
AUS,Australia,Western Australia,108,2,108,108,2020-10-03
AUT,Austria,-99,7,0,7,0,2020-10-03
AUT,Austria,Burgenland,18,0,18,9,2020-10-03
AUT,Austria,Kärnten,29,2,29,5,2020-10-03
AUT,Austria,Niederösterreich,104,1,104,27,2020-10-03
AUT,Austria,Oberösterreich,65,1,65,26,2020-10-03
AUT,Austria,Salzburg,29,0,29,3,2020-10-03
AUT,Austria,Steiermark,64,1,64,16,2020-10-03
AUT,Austria,Tirol,46,0,46,7,2020-10-03
AUT,Austria,Vorarlberg,24,0,24,3,2020-10-03
AUT,Austria,Wien,134,0,133,46,2020-10-03
AZE,Azerbaijan,-99,2,0,2,0,2020-10-03
AZE,Azerbaijan,Agdash,1,0,1,1,2020-10-03
AZE,Azerbaijan,Agstafa,2,1,2,1,2020-10-03
AZE,Azerbaijan,Baku,6,0,6,0,2020-10-03
AZE,Azerbaijan,Barda,1,1,1,0,2020-10-03
AZE,Azerbaijan,Dashkasan,1,1,1,100,2020-10-03
AZE,Azerbaijan,Gakh,1,0,1,0,2020-10-03
AZE,Azerbaijan,Sumgayit,1,0,1,1,2020-10-03
BHS,Bahamas,-99,1,0,1,0,2020-10-03
BHS,Bahamas,Cat Island,1,0,1,4,2020-10-03
BHS,Bahamas,Central Andros,1,1,1,1,2020-10-03
BHS,Bahamas,West Grand Bahama,1,0,1,0,2020-10-03
BHR,Bahrain,Muharraq,1,0,1,0,2020-10-03
BHR,Bahrain,Southern,1,0,1,0,2020-10-03
BGD,Bangladesh,-99,6,0,6,1,2020-10-03
BGD,Bangladesh,Barisal,4,0,4,1,2020-10-03
BGD,Bangladesh,Chittagong,59,0,58,213,2020-10-03
BGD,Bangladesh,Dhaka,123,3,123,154,2020-10-03
BGD,Bangladesh,Khulna,27,1,27,20,2020-10-03
BGD,Bangladesh,Mymensingh,7,0,7,4,2020-10-03
BGD,Bangladesh,Rajasahi,21,2,21,189,2020-10-03
BGD,Bangladesh,Rangur,7,0,7,26,2020-10-03
BGD,Bangladesh,Sylhet,12,2,12,122,2020-10-03
BLR,Belarus,-99,16,2,16,35,2020-10-03
BLR,Belarus,Brest,20,1,20,32,2020-10-03
BLR,Belarus,Homyel',14,2,14,35,2020-10-03
BLR,Belarus,Hrodna,13,1,13,39,2020-10-03
BLR,Belarus,Mahilyow,12,0,12,11,2020-10-03
BLR,Belarus,Minsk,89,4,89,73,2020-10-03
BLR,Belarus,Vitsyebsk,16,0,16,16,2020-10-03
BEL,Belgium,-99,13,0,13,12,2020-10-03
BEL,Belgium,Bruxelles,87,0,87,69,2020-10-03
BEL,Belgium,Vlaanderen,209,2,209,32,2020-10-03
BEL,Belgium,Wallonie,155,3,155,54,2020-10-03
BLZ,Belize,Belize,2,1,2,13,2020-10-03
BEN,Benin,-99,3,0,3,0,2020-10-03
BEN,Benin,Atlantique,4,0,4,0,2020-10-03
BEN,Benin,Ouémé,2,0,2,0,2020-10-03
BMU,Bermuda,Sandys,1,0,1,0,2020-10-03
BTN,Bhutan,Chhukha,1,0,1,0,2020-10-03
BOL,Bolivia,-99,10,2,10,6,2020-10-03
BOL,Bolivia,Chuquisaca,14,1,14,83,2020-10-03
BOL,Bolivia,Cochabamba,70,1,70,55,2020-10-03
BOL,Bolivia,El Beni,5,0,5,7,2020-10-03
BOL,Bolivia,La Paz,114,4,114,96,2020-10-03
