ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
NC,NCL,New Caledonia,2020-11-17,2020-04-23,100,2,35513.2662906031,1,9296.51269656738,84,93,5,0,1952766.31550199,63,3,94,3,6,91,3,5,91,4,16,80,4,15,82,3,14,82,4,7,90,3,6,92,2,4,92,4,2,95,3,7,91,2,11,84,5,11,87,2,4,6,90,22,68,10,5,11,84,0,3,2,95,27,60,13,54,34,12,28,59,13,41,47,12,10,77,13,15,72,13,32,57,11,19,3,3,6,69,12,88,0,32,9,10,4,18,9,18,30,20,19,12,19,3,2,7,10,52,26,2,3,6,13,50,26,20,18,14,19,29,9,7,17,39,28,31,26,2,3,38,12,9,11,5,11,7,9,36,29,18,16,37,19.2627824019025,36.1484073834642,233.333333333333,438.684903369656,4.43239795918367,3.66739683736056,0.02,0.0274394957835608,0.0181861321596352,0.000187416449408189,0.01,0.0195013954179879,0.00476068878429909,9.65431823478607e-05,0.0127214902317129,0.00270312593061861
NC,NCL,New Caledonia,2020-11-18,2020-04-23,100,2,35513.2662906031,1,9296.51269656738,89,93,5,0,1941121.58498003,63,3,94,3,6,91,3,5,91,4,15,81,4,16,81,3,14,83,3,7,90,3,6,92,2,3,93,4,2,95,3,7,91,2,11,84,5,12,86,2,4,7,89,22,69,9,5,11,84,0,3,2,95,27,60,13,54,34,12,28,59,13,40,48,12,10,77,13,15,72,13,32,57,11,18,3,3,7,69,12,88,0,33,9,9,4,18,9,18,30,19,19,13,19,3,2,6,10,53,26,2,3,7,13,49,26,21,17,14,19,29,9,7,17,39,28,31,27,2,2,38,12,9,11,5,11,7,9,36,29,18,16,37,19.024970273484,36.2083120724375,181.632653061224,346.676571586091,4.5280612244898,3.61923019345481,0.02,0.0274394957835608,0.0182952302243182,0.000188530279590672,0.01,0.0195013954179879,0.00478924801439629,9.71209485070475e-05,0.0134787217931243,0.00278134604484286
NC,NCL,New Caledonia,2020-11-21,2020-04-23,100,2,35513.2662906031,1,9296.51269656738,89,93,5,0,1946847.31610622,62,3,94,3,6,91,3,5,91,4,15,81,4,16,81,3,14,83,3,7,90,3,6,92,2,3,93,4,2,95,3,7,91,2,11,84,5,12,86,2,4,7,89,22,69,9,5,11,84,0,3,2,95,27,60,13,55,33,12,29,58,13,40,48,12,10,77,13,15,72,13,32,57,11,18,3,3,7,69,12,88,0,33,9,9,4,19,8,18,30,19,19,13,19,3,2,6,10,52,27,2,3,7,13,48,27,21,17,14,18,30,9,7,16,39,29,31,26,2,2,39,12,9,10,5,11,7,9,37,28,18,16,38,19.024970273484,36.2083120724375,181.632653061224,346.676571586091,4.62809917355372,3.71659276043879,0.02,0.0274394957835608,0.0182414234525752,0.000187980958251247,0.01,0.0195013954179879,0.00477516270518883,9.68359984021763e-05,0.0134787217931243,0.00278134604484286
NC,NCL,New Caledonia,2020-11-28,2020-05-04,100,2,35513.2662906031,1,9296.51269656738,89,93,5,0,1941086.00824207,61,3,94,3,6,91,3,5,91,4,15,81,4,15,82,3,14,83,3,7,90,3,6,92,2,3,93,4,2,95,3,7,91,2,12,83,5,12,86,2,4,7,89,22,68,10,5,11,84,0,3,2,95,27,59,14,54,33,13,29,57,14,40,47,13,10,76,14,15,71,14,32,56,12,18,3,3,7,69,12,87,1,32,9,9,4,19,8,19,30,18,19,13,20,3,2,6,9,52,28,2,3,7,13,47,28,20,17,14,18,31,9,7,16,38,30,31,25,2,2,40,12,9,10,5,11,6,9,38,28,17,16,39,17.8333333333333,34.5278775701883,181.632653061224,346.676571586091,4.73251028806584,3.8183965238281,0.02,0.0274394957835608,0.0182955655441385,0.000188533702824886,0.01,0.0195013954179879,0.0047893357930011,9.71227242823271e-05,0.0134787217931243,0.00278134604484286
NC,NCL,New Caledonia,2020-11-30,2020-05-06,100,2,35513.2662906031,1,9296.51269656738,89,93,6,0,1957436.43748378,62,3,94,3,6,91,3,5,91,4,14,82,4,14,83,3,13,84,3,7,90,3,6,92,2,3,93,4,2,95,3,6,92,2,12,84,4,12,86,2,4,7,89,23,67,10,6,11,83,0,4,2,94,27,60,13,54,34,12,29,58,13,40,48,12,10,77,13,15,72,13,32,57,11,18,3,3,7,69,12,87,1,33,9,9,4,19,8,18,31,18,19,13,19,3,2,6,9,53,27,2,3,7,13,48,27,21,17,14,18,30,9,7,17,38,29,32,25,2,2,39,12,9,11,5,11,6,9,37,29,17,16,38,14.3281807372176,28.1768038687921,181.632653061224,346.676571586091,4.7603305785124,3.80888573478759,0.02,0.0274394957835608,0.0181427430339726,0.000186973435833575,0.01,0.0195013954179879,0.0047493305624359,9.63133957507398e-05,0.0134787217931243,0.00278134604484286
NC,NCL,New Caledonia,2020-12-01,2020-05-08,100,2,35513.2662906031,1,9296.51269656738,89,94,6,0,1900547.13762115,62,3,95,2,6,92,2,5,92,3,14,83,3,14,84,2,13,85,2,7,91,2,6,93,1,3,94,3,2,96,2,6,93,1,12,85,3,11,87,2,3,7,90,23,67,10,6,12,82,0,4,1,95,27,60,13,53,35,12,28,59,13,39,49,12,9,78,13,14,73,13,31,58,11,18,3,3,7,69,12,87,1,34,9,9,4,19,8,17,32,18,19,12,19,3,2,6,8,54,27,2,3,7,13,49,26,22,17,14,18,29,9,7,18,38,28,32,25,2,2,39,12,9,11,5,12,6,9,36,29,17,15,39,14.3281807372176,28.1768038687921,181.632653061224,346.676571586091,4.7603305785124,3.80888573478759,0.02,0.0274394957835608,0.0186858118841787,0.000192516870577437,0.01,0.0195013954179879,0.00489149282990346,9.91892710061109e-05,0.0133353311357507,0.0027519572335306
NC,NCL,New Caledonia,2020-12-07,2020-05-09,100,2,35513.2662906031,1,9296.51269656738,89,94,6,0,1894444.48789112,62,3,95,2,6,92,2,5,92,3,14,83,3,14,84,2,13,85,2,7,91,2,6,93,1,3,94,3,2,96,2,6,93,1,12,85,3,11,87,2,3,7,90,24,66,10,6,13,81,0,4,1,95,27,60,13,53,35,12,28,59,13,40,48,12,9,78,13,14,73,13,32,57,11,18,4,3,7,68,13,86,1,34,9,9,4,19,8,17,31,18,20,12,19,3,2,6,8,54,27,2,3,7,14,48,26,22,18,14,17,29,9,7,17,39,28,31,26,2,2,39,12,9,10,5,13,6,9,36,29,17,15,39,14.3281807372176,28.1768038687921,181.632653061224,346.676571586091,4.82644628099174,3.75591657435584,0.02,0.0274394957835608,0.0187460052366782,0.000193131109307131,0.01,0.0195013954179879,0.00490724999121838,9.95080055234676e-05,0.0133353311357507,0.0027519572335306
NC,NCL,New Caledonia,2020-12-08,2020-05-11,100,2,35513.2662906031,1,9296.51269656738,89,93,6,0,1855865.29621877,61,3,94,3,7,90,3,5,91,4,15,81,4,15,83,2,13,85,2,7,91,2,6,93,1,4,92,4,3,95,2,7,91,2,12,84,4,11,86,3,3,7,90,24,66,10,6,13,81,0,4,1,95,28,59,13,52,36,12,29,58,13,41,46,13,9,78,13,15,72,13,32,57,11,18,4,3,7,68,13,86,1,35,9,9,4,18,8,17,30,19,20,12,19,3,2,6,7,54,28,2,3,8,14,46,27,22,17,14,17,30,8,7,17,39,29,29,27,2,2,40,13,9,9,5,13,5,9,37,29,16,15,40,13.5,26.8326372437735,181.632653061224,346.676571586091,5.04115226337449,3.7971555105916,0.02,0.0274394957835608,0.0191356917783632,0.000197106712747034,0.01,0.0195013954179879,0.00500926048647419,0.000101571342577307,0.0134787217931243,0.00278134604484286
NC,NCL,New Caledonia,2020-12-14,2020-05-14,100,2,35513.2662906031,1,9296.51269656738,89,93,6,0,1865366.72984382,60,4,93,3,7,90,3,5,91,4,15,81,4,15,83,2,13,85,2,7,91,2,6,93,1,4,92,4,3,95,2,7,91,2,12,84,4,11,86,3,3,7,90,24,66,10,6,13,81,0,4,1,95,29,58,13,53,35,12,29,58,13,42,45,13,9,78,13,15,72,13,32,57,11,18,4,3,7,68,13,86,1,35,10,9,4,18,7,17,29,19,20,13,19,3,2,7,7,53,28,2,3,8,15,45,27,22,18,14,16,30,8,8,16,39,29,29,27,2,2,40,13,9,9,5,13,5,8,38,29,16,15,40,13.5,26.8326372437735,181.632653061224,346.676571586091,5.23317906728373,3.83908162483577,0.02,0.0274394957835608,0.0190382222017954,0.00019611247305172,0.01,0.0195013954179879,0.00498374531282959,0.000101055274383992,0.0134787217931243,0.00278134604484286
NC,NCL,New Caledonia,2020-12-16,2020-05-17,100,2,35513.2662906031,1,9296.51269656738,89,93,6,0,1890439.17607365,59,4,93,3,7,90,3,5,91,4,15,81,4,15,83,2,13,85,2,7,91,2,6,93,1,4,92,4,3,95,2,7,91,2,12,84,4,11,86,3,3,7,90,24,66,10,6,13,81,0,4,1,95,29,58,13,52,35,13,28,58,14,41,45,14,9,77,14,15,71,14,31,58,11,17,4,3,7,69,13,85,2,34,10,9,4,18,7,18,29,18,20,13,20,3,2,7,7,53,28,2,3,8,15,45,27,22,18,14,16,30,8,7,16,39,30,28,27,2,2,41,13,9,9,5,12,5,8,39,28,16,15,41,13.5,26.8326372437735,181.632653061224,346.676571586091,5.39940828402367,3.92155468238527,0.02,0.0274394957835608,0.0187857227781125,0.00019353638316653,0.01,0.0195013954179879,0.00491764708128604,9.97183142019907e-05,0.0134787217931243,0.00278134604484286
