ISO2,ISO_3,country_agg,region_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope
ZA,ZAF,South Africa,Eastern Cape,2020-05-02,2020-05-01,110,44,2,0.0272727272727273,0.0304376822863091,0.0301996523599513,0.000111417546004246,0.0181818181818182,0.0249681255146025,0.0195401364563919,9.01135616993842e-05,0.00146159978740367,0.000863102958142433,0.0312878722510495,0.0270593208365091,0.0344924647217302,0.000155100995296959,0.0101678564686258,0.0135882558263992,0.00913587179451514,6.84459430813958e-05,0.00203067105240924,0.000854681323026501,,,,,
ZA,ZAF,South Africa,Eastern Cape,2020-05-03,2020-05-03,147,147,1,0.0136054421768707,0.0187271240736186,0.00903565075740316,9.15219485802436e-05,0,0,0,0,0.00234741784037559,0.000938042545531785,0.0308718190681644,0.0268096731767475,0.0337358631576337,0.000154756582986612,0.0100431063910342,0.0134919148300701,0.00893976257608016,6.87702359883726e-05,0.00204698915477018,0.000854110908362147,,,,,
ZA,ZAF,South Africa,Eastern Cape,2020-05-04,2020-05-04,166,166,1,0.0662650602409639,0.0378397406062279,0.106038728733796,0.0002859927904563,0.0180722891566265,0.0202647097858665,0.020047742728536,0.000130196310019666,0.00122473974280465,0.000641153138119693,0.0303904115443393,0.0265321413770984,0.0329103930784423,0.000154225876971211,0.00990858253493278,0.0133919111893678,0.00875612281635582,6.91264446037614e-05,0.00206292642664275,0.000853293810969713,,,,,
ZA,ZAF,South Africa,Eastern Cape,2020-05-05,2020-05-05,147,147,1,0.0408163265306122,0.0319858039068264,0.0373341082011182,0.000185820864597489,0.00680272108843537,0.0132876602992285,0.00448763437995312,6.55142624206535e-05,0.00289407678950415,0.00103411339098893,0.0298557787024298,0.0262302260992406,0.0320387297370512,0.000153541849949741,0.00976348763844707,0.0132850475477446,0.00858912983061084,6.95108058029395e-05,0.00207810559732975,0.000852126842040141,,,,,
ZA,ZAF,South Africa,Eastern Cape,2020-05-06,2020-05-06,164,164,1,0.024390243902439,0.023608712632896,0.0225692868325115,0.000140401740628279,0,0,0,0,0.00183710961420698,0.000785008254531843,0.0292874809272625,0.0259104241461588,0.0311504999405266,0.000152753477843914,0.00960829244998738,0.0131692196714012,0.00844322847327567,6.99217047774144e-05,0.00209214313289672,0.000850504769236992,,,,,
ZA,ZAF,South Africa,Eastern Cape,2020-05-07,2020-05-07,174,174,1,0.0344827586206897,0.0271115585662858,0.0248087078589872,0.000147324017277993,0.0229885057471264,0.0222678698831807,0.01719717561794,0.000123136933506574,0.00203533338760889,0.000797023682538399,0.0287103738136224,0.0255809207976537,0.0302817679822538,0.000151925775693524,0.00944411228976322,0.0130418848127854,0.00832253274060564,7.03522276038697e-05,0.00210470163208896,0.00084832777838187,,,,,
ZA,ZAF,South Africa,Eastern Cape,2020-05-08,2020-05-08,133,133,1,0.0300751879699248,0.0290265540298046,0.0269368223523186,0.000154833310796294,0.0150375939849624,0.0206833687719074,0.00786497575283651,8.44801711056562e-05,0.00253080985915493,0.0010329836217095,0.028155568860262,0.0252526884367972,0.0294734909299656,0.000151137485649547,0.00927299679951586,0.0129014051406072,0.0082298207306898,7.07922234455484e-05,0.00211541235085051,0.000845496047602826,-0.000522050565131235,-0.000836495631960768,-0.000149143278184986,-0.000151008510637556,1.41235497402115e-05
ZA,ZAF,South Africa,Eastern Cape,2020-05-09,2020-05-09,170,170,1,0.0294117647058824,0.025398126574961,0.0278577417564011,0.000155364144936451,0.00588235294117647,0.0114952404835718,0.00289071976130938,5.06859171058472e-05,0.00190555095277548,0.000778019637812319,0.0276565324751982,0.0249380188376537,0.028766296749468,0.000150470127986466,0.0090986447812619,0.0127477477720593,0.00816718154742676,7.12316861832295e-05,0.00212408225476079,0.000841956865195752,-0.000535881098827694,-0.000828261068027614,-0.000157410268295376,-0.000128763504775566,1.28488499984337e-05
ZA,ZAF,South Africa,Eastern Cape,2020-05-10,2020-05-10,158,158,1,0.0189873417721519,0.0212808483568962,0.0239186104616612,0.000148645006179481,0.00632911392405063,0.0123655172261724,0.00628575220583916,7.68862573305448e-05,0.00188391495469633,0.000804989590595831,0.0272471037225157,0.0246500332786362,0.0281985552542063,0.00015000512379889,0.00892553807266783,0.0125823901861548,0.00813521875522657,7.16602019633131e-05,0.00213061255993906,0.000837703165872155,-0.000523884636970599,-0.000785306304039336,-0.000163840743710825,-0.000103484010188209,1.12810222160512e-05
ZA,ZAF,South Africa,Eastern Cape,2020-05-11,2020-05-11,155,155,1,0.0129032258064516,0.0177668835974755,0.0116029559106894,0.000102632208939516,0.00645161290322581,0.0126040728356257,0.00547804584985407,7.07381430693852e-05,0.00120459599703484,0.000654419298740065,0.0269553621786162,0.0244004372049457,0.0277991787109616,0.000149806985295059,0.00875823704416615,0.0124078509593422,0.00813214155817366,7.20632436987374e-05,0.00213518045479004,0.000832801344359521,-0.000483402753968929,-0.000706591837681603,-0.000167541765713487,-7.6164712072864e-05,9.51247624338161e-06
