"date","pct_cli_weighted","pct_cli","population"
2020-05-01,1.1856,1.2723,39309789
2020-05-02,3.6066,2.4024,39309789
2020-05-03,2.0717,2.0408,39309789
2020-05-04,1.8371,2.0228,39309789
2020-05-05,1.6046,1.238,39309789
2020-05-06,0.544,0.7246,39309789
2020-05-07,0.5847,1.1885,39309789
2020-05-08,0.9947,1.2121,39309789
2020-05-09,1.2527,0.8837,39309789
2020-05-10,1.6284,1.0014,39309789
2020-05-11,1.145,1.8779,39309789
2020-05-12,1.4543,1.2784,39309789
2020-05-13,1.4766,1.273,39309789
2020-05-14,1.6551,1.6971,39309789
2020-05-15,1.7019,1.8849,39309789
2020-05-16,1.3475,1.1996,39309789
2020-05-17,1.0596,1.2151,39309789
2020-05-18,2.5928,1.1628,39309789
2020-05-19,0.8477,1.1792,39309789
2020-05-20,1.8088,1.8494,39309789
2020-05-21,1.3738,1.9345,39309789
2020-05-22,1.2227,1.6827,39309789
2020-05-23,1.091,1.1351,39309789
2020-05-24,0.4855,0.927,39309789
2020-05-25,1.2679,1.5135,39309789
2020-05-26,1.4855,1.1334,39309789
2020-05-27,1.7869,1.2082,39309789
2020-05-28,1.7238,2.1654,39309789
2020-05-29,1.2442,1.8661,39309789
2020-05-30,1.4254,1.7033,39309789
2020-05-31,2.4541,1.7961,39309789
2020-06-01,3.6988,3.0964,39309789
2020-06-02,1.1567,1.3915,39309789
2020-06-03,1.8224,2.177,39309789
2020-06-04,1.6494,1.9104,39309789
2020-06-05,1.5805,1.7005,39309789
2020-06-06,3.321,2.0063,39309789
2020-06-07,2.5234,2.1919,39309789
2020-06-08,3.721,3.3634,39309789
2020-06-09,3.071,2.9812,39309789
2020-06-10,1.5894,2.1477,39309789
2020-06-11,1.8193,2.5161,39309789
2020-06-12,3.3733,2.8191,39309789
2020-06-13,1.9443,2.091,39309789
2020-06-14,2.8069,2.8858,39309789
2020-06-15,3.3937,3.6466,39309789
2020-06-16,2.9418,3.0629,39309789
2020-06-17,3.5619,2.8777,39309789
2020-06-18,3.7962,3.1227,39309789
2020-06-19,1.5757,2.1429,39309789
2020-06-20,1.9628,2.3866,39309789
2020-06-21,2.1722,2.279,39309789
2020-06-22,4.356,4.3269,39309789
2020-06-23,2.6687,3.6627,39309789
2020-06-24,5.106,4.6001,39309789
2020-06-25,3.7472,4.0418,39309789
2020-06-26,4.0287,4.1439,39309789
2020-06-27,3.2907,3.5328,39309789
2020-06-28,3.9553,3.3516,39309789
2020-06-29,3.6887,3.9946,39309789
2020-06-30,3.05,2.7309,39309789
2020-07-01,3.0883,3.4892,39309789
2020-07-02,4.1235,4.0462,39309789
2020-07-03,2.9846,3.2164,39309789
2020-07-04,3.1719,3.4983,39309789
2020-07-05,3.7218,3.6857,39309789
2020-07-06,3.103,3.1418,39309789
2020-07-07,4.6715,5.0256,39309789
2020-07-08,5.144,3.1792,39309789
2020-07-09,2.5371,2.2705,39309789
2020-07-10,3.7791,4.0109,39309789
2020-07-11,3.9845,2.7556,39309789
2020-07-12,3.1079,3.9326,39309789
2020-07-13,4.7575,4.649,39309789
2020-07-14,3.8632,3.3962,39309789
2020-07-15,5.388,3.8153,39309789
2020-07-16,4.1237,3.7924,39309789
2020-07-17,4.8482,3.7563,39309789
2020-07-18,5.9008,3.8797,39309789
2020-07-19,3.6158,4.2051,39309789
2020-07-20,3.6858,4.3803,39309789
2020-07-21,3.0019,3.692,39309789
2020-07-22,4.4432,3.9095,39309789
2020-07-23,2.9083,2.9381,39309789
2020-07-24,1.8165,2.5612,39309789
2020-07-25,4.8111,3.9354,39309789
2020-07-26,3.1815,4.6119,39309789
2020-07-27,3.1245,3.2864,39309789
2020-07-28,3.4628,3.972,39309789
2020-07-29,4.3425,4.8045,39309789
2020-07-30,5.5791,4.5244,39309789
