"country","region","date","Confirmed","Deaths","Recovered","Active","ISO2","ISO3"
"Sri Lanka",NA,2020-01-27,1,NA,NA,NA,"LK","LKA"
"Sri Lanka",NA,2020-01-28,1,NA,NA,NA,"LK","LKA"
"Sri Lanka",NA,2020-01-29,1,NA,NA,NA,"LK","LKA"
"Sri Lanka",NA,2020-01-30,1,NA,NA,NA,"LK","LKA"
"Sri Lanka",NA,2020-01-31,1,NA,NA,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-01,1,0,0,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-02,1,0,0,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-03,1,0,0,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-04,1,0,0,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-05,1,0,0,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-06,1,0,0,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-07,1,0,0,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-08,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-09,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-10,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-11,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-12,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-13,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-14,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-15,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-16,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-17,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-18,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-19,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-20,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-21,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-22,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-23,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-24,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-25,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-26,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-27,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-28,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-02-29,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-01,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-02,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-03,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-04,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-05,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-06,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-07,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-08,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-09,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-10,1,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-11,2,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-12,2,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-13,6,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-14,10,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-15,18,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-16,28,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-17,44,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-18,51,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-19,60,0,3,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-20,73,0,3,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-21,77,0,1,NA,"LK","LKA"
"Sri Lanka",NA,2020-03-22,82,0,3,79,"LK","LKA"
"Sri Lanka",NA,2020-03-23,97,0,2,95,"LK","LKA"
"Sri Lanka",NA,2020-03-24,102,0,2,100,"LK","LKA"
"Sri Lanka",NA,2020-03-25,102,0,3,99,"LK","LKA"
"Sri Lanka",NA,2020-03-26,106,0,7,99,"LK","LKA"
"Sri Lanka",NA,2020-03-27,106,0,7,99,"LK","LKA"
"Sri Lanka",NA,2020-03-28,113,1,9,103,"LK","LKA"
"Sri Lanka",NA,2020-03-29,117,1,11,105,"LK","LKA"
"Sri Lanka",NA,2020-03-30,122,2,15,105,"LK","LKA"
"Sri Lanka",NA,2020-03-31,143,2,17,124,"LK","LKA"
"Sri Lanka",NA,2020-04-01,146,3,21,122,"LK","LKA"
"Sri Lanka",NA,2020-04-02,151,4,21,126,"LK","LKA"
"Sri Lanka",NA,2020-04-03,159,4,24,131,"LK","LKA"
"Sri Lanka",NA,2020-04-04,166,5,27,134,"LK","LKA"
"Sri Lanka",NA,2020-04-05,176,5,33,138,"LK","LKA"
"Sri Lanka",NA,2020-04-06,178,5,38,135,"LK","LKA"
"Sri Lanka",NA,2020-04-07,185,6,42,137,"LK","LKA"
"Sri Lanka",NA,2020-04-08,189,7,44,138,"LK","LKA"
"Sri Lanka",NA,2020-04-09,190,7,49,134,"LK","LKA"
"Sri Lanka",NA,2020-04-10,190,7,54,129,"LK","LKA"
"Sri Lanka",NA,2020-04-11,198,7,54,137,"LK","LKA"
"Sri Lanka",NA,2020-04-12,210,7,56,147,"LK","LKA"
"Sri Lanka",NA,2020-04-13,217,7,56,154,"LK","LKA"
"Sri Lanka",NA,2020-04-14,233,7,61,165,"LK","LKA"
"Sri Lanka",NA,2020-04-15,238,7,63,168,"LK","LKA"
"Sri Lanka",NA,2020-04-16,238,7,68,163,"LK","LKA"
"Sri Lanka",NA,2020-04-17,244,7,77,160,"LK","LKA"
"Sri Lanka",NA,2020-04-18,254,7,86,161,"LK","LKA"
"Sri Lanka",NA,2020-04-19,271,7,96,168,"LK","LKA"
"Sri Lanka",NA,2020-04-20,304,7,98,199,"LK","LKA"
"Sri Lanka",NA,2020-04-21,310,7,102,201,"LK","LKA"
"Sri Lanka",NA,2020-04-22,330,7,105,218,"LK","LKA"
"Sri Lanka",NA,2020-04-23,368,7,107,254,"LK","LKA"
"Sri Lanka",NA,2020-04-24,420,7,109,304,"LK","LKA"
"Sri Lanka",NA,2020-04-25,460,7,118,335,"LK","LKA"
"Sri Lanka",NA,2020-04-26,523,7,120,396,"LK","LKA"
"Sri Lanka",NA,2020-04-27,588,7,126,455,"LK","LKA"
"Sri Lanka",NA,2020-04-28,619,7,134,478,"LK","LKA"
"Sri Lanka",NA,2020-04-29,649,7,136,506,"LK","LKA"
"Sri Lanka",NA,2020-04-30,663,7,154,502,"LK","LKA"
"Sri Lanka",NA,2020-05-01,690,7,162,521,"LK","LKA"
"Sri Lanka",NA,2020-05-02,705,7,172,526,"LK","LKA"
"Sri Lanka",NA,2020-05-03,718,7,184,527,"LK","LKA"
"Sri Lanka",NA,2020-05-04,751,8,194,549,"LK","LKA"
"Sri Lanka",NA,2020-05-05,771,9,213,549,"LK","LKA"
"Sri Lanka",NA,2020-05-06,797,9,215,573,"LK","LKA"
"Sri Lanka",NA,2020-05-07,824,9,232,583,"LK","LKA"
"Sri Lanka",NA,2020-05-08,835,9,240,586,"LK","LKA"
"Sri Lanka",NA,2020-05-09,847,9,260,578,"LK","LKA"
"Sri Lanka",NA,2020-05-10,863,9,321,533,"LK","LKA"
"Sri Lanka",NA,2020-05-11,869,9,343,517,"LK","LKA"
"Sri Lanka",NA,2020-05-12,889,9,366,514,"LK","LKA"
"Sri Lanka",NA,2020-05-13,915,9,382,524,"LK","LKA"
"Sri Lanka",NA,2020-05-14,925,9,445,471,"LK","LKA"
"Sri Lanka",NA,2020-05-15,935,9,477,449,"LK","LKA"
"Sri Lanka",NA,2020-05-16,960,9,520,431,"LK","LKA"
"Sri Lanka",NA,2020-05-17,981,9,538,434,"LK","LKA"
"Sri Lanka",NA,2020-05-18,992,9,559,424,"LK","LKA"
"Sri Lanka",NA,2020-05-19,1027,9,569,449,"LK","LKA"
"Sri Lanka",NA,2020-05-20,1028,9,584,435,"LK","LKA"
"Sri Lanka",NA,2020-05-21,1055,9,604,442,"LK","LKA"
"Sri Lanka",NA,2020-05-22,1068,9,620,439,"LK","LKA"
"Sri Lanka",NA,2020-05-23,1089,9,660,420,"LK","LKA"
"Sri Lanka",NA,2020-05-24,1141,9,674,458,"LK","LKA"
"Sri Lanka",NA,2020-05-25,1182,10,695,477,"LK","LKA"
"Sri Lanka",NA,2020-05-26,1319,10,712,597,"LK","LKA"
"Sri Lanka",NA,2020-05-27,1469,10,732,727,"LK","LKA"
"Sri Lanka",NA,2020-05-28,1530,10,745,775,"LK","LKA"
"Sri Lanka",NA,2020-05-29,1558,10,754,794,"LK","LKA"
"Sri Lanka",NA,2020-05-30,1620,10,781,829,"LK","LKA"
"Sri Lanka",NA,2020-05-31,1633,10,801,822,"LK","LKA"
"Sri Lanka",NA,2020-06-01,1643,11,811,821,"LK","LKA"
"Sri Lanka",NA,2020-06-02,1683,11,823,849,"LK","LKA"
"Sri Lanka",NA,2020-06-03,1749,11,836,902,"LK","LKA"
"Sri Lanka",NA,2020-06-04,1797,11,839,947,"LK","LKA"
"Sri Lanka",NA,2020-06-05,1801,11,858,932,"LK","LKA"
"Sri Lanka",NA,2020-06-06,1814,11,891,912,"LK","LKA"
"Sri Lanka",NA,2020-06-07,1835,11,941,883,"LK","LKA"
"Sri Lanka",NA,2020-06-08,1857,11,990,856,"LK","LKA"
"Sri Lanka",NA,2020-06-09,1859,11,1057,791,"LK","LKA"
"Sri Lanka",NA,2020-06-10,1869,11,1122,736,"LK","LKA"
"Sri Lanka",NA,2020-06-11,1877,11,1150,716,"LK","LKA"
"Sri Lanka",NA,2020-06-12,1880,11,1196,673,"LK","LKA"
"Sri Lanka",NA,2020-06-13,1884,11,1252,621,"LK","LKA"
"Sri Lanka",NA,2020-06-14,1889,11,1287,591,"LK","LKA"
"Sri Lanka",NA,2020-06-15,1905,11,1342,552,"LK","LKA"
"Sri Lanka",NA,2020-06-16,1915,11,1371,533,"LK","LKA"
"Sri Lanka",NA,2020-06-17,1924,11,1397,516,"LK","LKA"
"Sri Lanka",NA,2020-06-18,1947,11,1421,515,"LK","LKA"
"Sri Lanka",NA,2020-06-19,1950,11,1446,493,"LK","LKA"
"Sri Lanka",NA,2020-06-20,1950,11,1472,467,"LK","LKA"
"Sri Lanka",NA,2020-06-21,1950,11,1498,441,"LK","LKA"
"Sri Lanka",NA,2020-06-22,1951,11,1526,414,"LK","LKA"
"Sri Lanka",NA,2020-06-23,1991,11,1548,432,"LK","LKA"
"Sri Lanka",NA,2020-06-24,2001,11,1562,428,"LK","LKA"
"Sri Lanka",NA,2020-06-25,2010,11,1602,397,"LK","LKA"
"Sri Lanka",NA,2020-06-26,2014,11,1619,384,"LK","LKA"
"Sri Lanka",NA,2020-06-27,2033,11,1639,383,"LK","LKA"
"Sri Lanka",NA,2020-06-28,2037,11,1661,365,"LK","LKA"
"Sri Lanka",NA,2020-06-29,2039,11,1678,350,"LK","LKA"
"Sri Lanka",NA,2020-06-30,2047,11,1711,325,"LK","LKA"
"Sri Lanka",NA,2020-07-01,2054,11,1748,295,"LK","LKA"
"Sri Lanka",NA,2020-07-02,2066,11,1827,228,"LK","LKA"
"Sri Lanka",NA,2020-07-03,2069,11,1863,195,"LK","LKA"
"Sri Lanka",NA,2020-07-04,2074,11,1885,178,"LK","LKA"
"Sri Lanka",NA,2020-07-05,2076,11,1903,162,"LK","LKA"
"Sri Lanka",NA,2020-07-06,2077,11,1917,149,"LK","LKA"
"Sri Lanka",NA,2020-07-07,2081,11,1955,115,"LK","LKA"
"Sri Lanka",NA,2020-07-08,2094,11,1967,116,"LK","LKA"
"Sri Lanka",NA,2020-07-09,2154,11,1979,164,"LK","LKA"
"Sri Lanka",NA,2020-07-10,2454,11,1980,463,"LK","LKA"
"Sri Lanka",NA,2020-07-11,2511,11,1980,520,"LK","LKA"
"Sri Lanka",NA,2020-07-12,2617,11,1981,625,"LK","LKA"
"Sri Lanka",NA,2020-07-13,2646,11,1981,654,"LK","LKA"
"Sri Lanka",NA,2020-07-14,2665,11,1988,666,"LK","LKA"
"Sri Lanka",NA,2020-07-15,2671,11,2001,659,"LK","LKA"
"Sri Lanka",NA,2020-07-16,2687,11,2007,669,"LK","LKA"
"Sri Lanka",NA,2020-07-17,2697,11,2012,674,"LK","LKA"
"Sri Lanka",NA,2020-07-18,2703,11,2023,669,"LK","LKA"
"Sri Lanka",NA,2020-07-19,2724,11,2035,678,"LK","LKA"
"Sri Lanka",NA,2020-07-20,2730,11,2041,678,"LK","LKA"
"Sri Lanka",NA,2020-07-21,2730,11,2048,671,"LK","LKA"
"Sri Lanka",NA,2020-07-22,2752,11,2064,677,"LK","LKA"
"Sri Lanka",NA,2020-07-23,2753,11,2077,665,"LK","LKA"
"Sri Lanka",NA,2020-07-24,2764,11,2094,659,"LK","LKA"
"Sri Lanka",NA,2020-07-25,2770,11,2103,656,"LK","LKA"
"Sri Lanka",NA,2020-07-26,2782,11,2106,665,"LK","LKA"
"Sri Lanka",NA,2020-07-27,2805,11,2121,673,"LK","LKA"
"Sri Lanka",NA,2020-07-28,2810,11,2296,503,"LK","LKA"
"Sri Lanka",NA,2020-07-29,2810,11,2317,482,"LK","LKA"
"Sri Lanka",NA,2020-07-30,2814,11,2333,470,"LK","LKA"
"Sri Lanka",NA,2020-07-31,2815,11,2391,413,"LK","LKA"
"Sri Lanka",NA,2020-08-01,2815,11,2439,365,"LK","LKA"
"Sri Lanka",NA,2020-08-02,2823,11,2514,298,"LK","LKA"
"Sri Lanka",NA,2020-08-03,2828,11,2517,300,"LK","LKA"
"Sri Lanka",NA,2020-08-04,2834,11,2524,299,"LK","LKA"
"Sri Lanka",NA,2020-08-05,2839,11,2537,291,"LK","LKA"
"Sri Lanka",NA,2020-08-06,2839,11,2541,287,"LK","LKA"
"Sri Lanka",NA,2020-08-07,2839,11,2564,264,"LK","LKA"
"Sri Lanka",NA,2020-08-08,2841,11,2576,254,"LK","LKA"
"Sri Lanka",NA,2020-08-09,2844,11,2579,254,"LK","LKA"
"Sri Lanka",NA,2020-08-10,2871,11,2593,267,"LK","LKA"
"Sri Lanka",NA,2020-08-11,2880,11,2622,247,"LK","LKA"
"Sri Lanka",NA,2020-08-12,2881,11,2638,232,"LK","LKA"
"Sri Lanka",NA,2020-08-13,2882,11,2646,225,"LK","LKA"
"Sri Lanka",NA,2020-08-14,2886,11,2658,217,"LK","LKA"
"Sri Lanka",NA,2020-08-15,2890,11,2666,213,"LK","LKA"
"Sri Lanka",NA,2020-08-16,2893,11,2670,212,"LK","LKA"
"Sri Lanka",NA,2020-08-17,2900,11,2676,213,"LK","LKA"
"Sri Lanka",NA,2020-08-18,2902,11,2755,136,"LK","LKA"
"Sri Lanka",NA,2020-08-19,2902,11,2760,131,"LK","LKA"
"Sri Lanka",NA,2020-08-20,2918,11,2765,142,"LK","LKA"
"Sri Lanka",NA,2020-08-21,2941,11,2789,141,"LK","LKA"
"Sri Lanka",NA,2020-08-22,2947,12,2798,137,"LK","LKA"
"Sri Lanka",NA,2020-08-23,2953,12,2805,136,"LK","LKA"
"Sri Lanka",NA,2020-08-24,2959,12,2811,136,"LK","LKA"
"Sri Lanka",NA,2020-08-25,2971,12,2816,143,"LK","LKA"
"Sri Lanka",NA,2020-08-26,2984,12,2819,153,"LK","LKA"
"Sri Lanka",NA,2020-08-27,2986,12,2830,144,"LK","LKA"
"Sri Lanka",NA,2020-08-28,2989,12,2842,135,"LK","LKA"
"Sri Lanka",NA,2020-08-29,2995,12,2849,134,"LK","LKA"
"Sri Lanka",NA,2020-08-30,3012,12,2860,140,"LK","LKA"
"Sri Lanka",NA,2020-08-31,3049,12,2868,169,"LK","LKA"
"Sri Lanka",NA,2020-09-01,3092,12,2879,201,"LK","LKA"
"Sri Lanka",NA,2020-09-02,3101,12,2883,206,"LK","LKA"
"Sri Lanka",NA,2020-09-03,3111,12,2883,216,"LK","LKA"
"Sri Lanka",NA,2020-09-04,3115,12,2907,196,"LK","LKA"
"Sri Lanka",NA,2020-09-05,3121,12,2918,191,"LK","LKA"
"Sri Lanka",NA,2020-09-06,3123,12,2925,186,"LK","LKA"
"Sri Lanka",NA,2020-09-07,3123,12,2926,185,"LK","LKA"
"Sri Lanka",NA,2020-09-08,3140,12,2935,193,"LK","LKA"
"Sri Lanka",NA,2020-09-09,3147,12,2946,189,"LK","LKA"
"Sri Lanka",NA,2020-09-10,3155,12,2955,188,"LK","LKA"
"Sri Lanka",NA,2020-09-11,3169,12,2969,188,"LK","LKA"
"Sri Lanka",NA,2020-09-12,3195,12,2983,200,"LK","LKA"
"Sri Lanka",NA,2020-09-13,3234,12,2996,226,"LK","LKA"
"Sri Lanka",NA,2020-09-14,3262,13,3005,244,"LK","LKA"
"Sri Lanka",NA,2020-09-15,3271,13,3016,242,"LK","LKA"
"Sri Lanka",NA,2020-09-16,3271,13,3021,237,"LK","LKA"
"Sri Lanka",NA,2020-09-17,3276,13,3043,220,"LK","LKA"
"Sri Lanka",NA,2020-09-18,3281,13,3060,208,"LK","LKA"
"Sri Lanka",NA,2020-09-19,3283,13,3070,200,"LK","LKA"
"Sri Lanka",NA,2020-09-20,3287,13,3088,186,"LK","LKA"
"Sri Lanka",NA,2020-09-21,3299,13,3100,186,"LK","LKA"
"Sri Lanka",NA,2020-09-22,3313,13,3118,182,"LK","LKA"
"Sri Lanka",NA,2020-09-23,3324,13,3129,182,"LK","LKA"
"Sri Lanka",NA,2020-09-24,3333,13,3142,178,"LK","LKA"
"Sri Lanka",NA,2020-09-25,3345,13,3158,174,"LK","LKA"
"Sri Lanka",NA,2020-09-26,3349,13,3186,150,"LK","LKA"
"Sri Lanka",NA,2020-09-27,3360,13,3208,139,"LK","LKA"
"Sri Lanka",NA,2020-09-28,3363,13,3210,140,"LK","LKA"
"Sri Lanka",NA,2020-09-29,3374,13,3230,131,"LK","LKA"
"Sri Lanka",NA,2020-09-30,3380,13,3230,137,"LK","LKA"
"Sri Lanka",NA,2020-10-01,3382,13,3233,136,"LK","LKA"
"Sri Lanka",NA,2020-10-02,3388,13,3245,130,"LK","LKA"
"Sri Lanka",NA,2020-10-03,3395,13,3254,128,"LK","LKA"
"Sri Lanka",NA,2020-10-04,3402,13,3258,131,"LK","LKA"
"Sri Lanka",NA,2020-10-05,3513,13,3259,241,"LK","LKA"
"Sri Lanka",NA,2020-10-06,4252,13,3266,973,"LK","LKA"
"Sri Lanka",NA,2020-10-07,4459,13,3274,1172,"LK","LKA"
"Sri Lanka",NA,2020-10-08,4488,13,3278,1197,"LK","LKA"
"Sri Lanka",NA,2020-10-09,4523,13,3296,1214,"LK","LKA"
"Sri Lanka",NA,2020-10-10,4628,13,3306,1309,"LK","LKA"
"Sri Lanka",NA,2020-10-11,4752,13,3307,1432,"LK","LKA"
